tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-147094.529192,0.221528,228654000.0,-664000.0,-664000.0,76242000.0,86136000.0,158766000.0,227990000.0,141854000.0,-43916000.0,43916000.0,76758905.470808,86400000.0,367766000.0,141854000.0,213872403.0,209373239.0,0.4,0.41,86400000.0,86400000.0,86400000.0,86400000.0,10158000.0,76242000.0,21696000.0,97938000.0,-664000.0,-25000.0,0.0,25000.0,-639000.0,-43916000.0,43916000.0,142518000.0,134349000.0,969000.0,11485000.0,11485000.0,121895000.0,276867000.0,233417000.0,510284000.0,510284000.0,2022-12-31
-1937650.0,0.286,234751000.0,-6775000.0,-6775000.0,76271000.0,76329000.0,183184000.0,227976000.0,151647000.0,-44866000.0,44866000.0,81108350.0,210884000.0,407046000.0,151647000.0,209663985.0,206092169.0,1.0,1.02,210884000.0,210884000.0,210884000.0,210884000.0,134613000.0,76271000.0,30510000.0,106781000.0,-6775000.0,,,,-6775000.0,-44866000.0,44866000.0,158422000.0,164706000.0,-3359000.0,17173000.0,17173000.0,150892000.0,323128000.0,242340000.0,565468000.0,565468000.0,2023-03-31
-3710.0,0.265,248350000.0,-14000.0,-14000.0,87729000.0,81796000.0,189767000.0,248336000.0,166540000.0,-47246000.0,47246000.0,87739290.0,87729000.0,415535000.0,166540000.0,204326162.0,200946619.0,0.43,0.44,87729000.0,87729000.0,87729000.0,87729000.0,0.0,87729000.0,31565000.0,119294000.0,-14000.0,,,,-14000.0,-47246000.0,47246000.0,166554000.0,161318000.0,-2838000.0,17346000.0,17346000.0,146810000.0,327872000.0,254217000.0,582089000.0,582089000.0,2023-06-30
-25344.0,0.264,262997000.0,-96000.0,-96000.0,91516000.0,84802000.0,198190000.0,262901000.0,178099000.0,-53803000.0,53803000.0,91586656.0,91516000.0,426639000.0,178099000.0,199258304.0,196198638.0,0.46,0.47,91516000.0,91516000.0,91516000.0,91516000.0,0.0,91516000.0,32780000.0,124296000.0,-96000.0,,,,-96000.0,-53803000.0,53803000.0,178195000.0,161499000.0,-8336000.0,17852000.0,17852000.0,151983000.0,339694000.0,265140000.0,604834000.0,604834000.0,2023-09-30
35200.257522,0.268704,272769000.0,131000.0,131000.0,86328000.0,95727000.0,194023000.0,272900000.0,177173000.0,-59125000.0,59125000.0,86232200.257522,86328000.0,435334000.0,177173000.0,,,,,86328000.0,86328000.0,86328000.0,86328000.0,0.0,86328000.0,31720000.0,118048000.0,131000.0,,,,131000.0,-59125000.0,59125000.0,177042000.0,166134000.0,-821000.0,20550000.0,20550000.0,146405000.0,343176000.0,269200000.0,612376000.0,612376000.0,2023-12-31
