tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.004094,-208893000.0,-237195000.0,27389000.0,502677000.0,-208893000.0,-236282000.0,-1888000.0,1888000.0,-237195000.0,-237195000.0,1116952000.0,-249896000.0,139658000.0,139658000.0,-1.7,-1.7,-237195000.0,-237195000.0,-237195000.0,-237195000.0,-237195000.0,-975000.0,-238170000.0,13614000.0,13614000.0,-1888000.0,1888000.0,-249896000.0,614275000.0,220670000.0,393605000.0,297562000.0,96043000.0,96043000.0,,364379000.0,502677000.0,867056000.0,867056000.0,2022-12-31
0.0,0.21,-158422000.0,-193604000.0,30937000.0,403393000.0,-158422000.0,-189359000.0,-681000.0,681000.0,-193604000.0,-193604000.0,953450000.0,-212460000.0,140333000.0,140333000.0,-1.38,-1.38,-193604000.0,-193604000.0,-193604000.0,-193604000.0,-193604000.0,3564000.0,-190040000.0,23101000.0,23101000.0,-681000.0,681000.0,-212460000.0,550057000.0,220085000.0,329972000.0,233919000.0,96053000.0,96053000.0,,337597000.0,403393000.0,740990000.0,740990000.0,2023-03-31
0.0,0.21,-72185000.0,-107595000.0,33776000.0,468915000.0,-72185000.0,-105961000.0,-4000.0,4000.0,-107595000.0,-107595000.0,973146000.0,-125960000.0,141033000.0,141033000.0,-0.76,-0.76,-107595000.0,-107595000.0,-107595000.0,-107595000.0,-107595000.0,1630000.0,-105965000.0,19999000.0,19999000.0,-4000.0,4000.0,-125960000.0,504231000.0,192387000.0,311844000.0,227192000.0,84652000.0,84652000.0,53594000.0,378271000.0,468915000.0,847186000.0,847186000.0,2023-06-30
0.0,0.21,-293406000.0,-330071000.0,33471000.0,543195000.0,-293406000.0,-326877000.0,-10000.0,10000.0,-330071000.0,-330071000.0,1261807000.0,-349789000.0,141877000.0,141877000.0,-2.33,-2.33,-330071000.0,-330071000.0,-330071000.0,-330071000.0,-330071000.0,3184000.0,-326887000.0,22912000.0,22912000.0,-10000.0,10000.0,-349789000.0,718612000.0,282201000.0,436411000.0,307694000.0,128717000.0,128717000.0,,368823000.0,543195000.0,912018000.0,912018000.0,2023-09-30
0.0,0.21,-46661000.0,-78291000.0,29842000.0,546501000.0,-46661000.0,-76503000.0,-35000.0,35000.0,-78291000.0,-78291000.0,1088593000.0,-104168000.0,143011000.0,143011000.0,-0.55,-0.55,-78291000.0,-78291000.0,-78291000.0,-78291000.0,-78291000.0,1753000.0,-76538000.0,27665000.0,27665000.0,-35000.0,35000.0,-104168000.0,542092000.0,183801000.0,358291000.0,264554000.0,93737000.0,93737000.0,,437924000.0,546501000.0,984425000.0,984425000.0,2023-12-31
0.0,0.4,-17731000.0,-50855000.0,28349000.0,493178000.0,-17731000.0,-46080000.0,-10000.0,10000.0,-50855000.0,-50855000.0,953505000.0,-72036000.0,143751000.0,143751000.0,-0.35,-0.35,-50855000.0,-50855000.0,-50855000.0,-50855000.0,-50855000.0,4765000.0,-46090000.0,25956000.0,25956000.0,-10000.0,10000.0,-72036000.0,460327000.0,180459000.0,279868000.0,202124000.0,77744000.0,77744000.0,,388291000.0,493178000.0,881469000.0,881469000.0,2024-03-31
