tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
-7877812.923633,0.205151,394100000.0,-38400000.0,-38400000.0,174800000.0,62600000.0,355700000.0,293100000.0,-26100000.0,205322187.076367,174800000.0,5311700000.0,254700000.0,48263000.0,47480000.0,3.62,3.68,174800000.0,174800000.0,174800000.0,-1100000.0,175900000.0,175900000.0,45400000.0,221300000.0,-45700000.0,14300000.0,-38400000.0,38400000.0,-21600000.0,-26100000.0,26100000.0,293100000.0,5311700000.0,2699700000.0,62600000.0,62600000.0,2549400000.0,2549400000.0,2699700000.0,2549400000.0,5604800000.0,5604800000.0,2022-12-31
-7497000.0,0.21,146700000.0,-35700000.0,-35700000.0,-9200000.0,57500000.0,111000000.0,53500000.0,-26300000.0,19003000.0,-9200000.0,4662000000.0,17800000.0,47555000.0,47555000.0,-0.19,-0.19,-9200000.0,-9200000.0,-9200000.0,-500000.0,-8700000.0,-8700000.0,-2300000.0,-11000000.0,-38200000.0,100000.0,-35700000.0,35700000.0,-2600000.0,-26300000.0,26300000.0,53500000.0,4662000000.0,2351500000.0,57500000.0,57500000.0,2253000000.0,2253000000.0,2351500000.0,2253000000.0,4715500000.0,4715500000.0,2023-03-31
-2478000.0,0.21,232700000.0,-11800000.0,-11800000.0,2500000.0,59900000.0,220900000.0,161000000.0,-40500000.0,11822000.0,2500000.0,4891500000.0,149200000.0,48334000.0,47748000.0,0.05,0.05,2500000.0,2500000.0,2500000.0,-700000.0,3200000.0,3200000.0,800000.0,4000000.0,-116500000.0,-1200000.0,-11800000.0,11800000.0,-103500000.0,-40500000.0,40500000.0,161000000.0,4891500000.0,2414600000.0,59900000.0,59900000.0,2417000000.0,2417000000.0,2414600000.0,2417000000.0,5052500000.0,5052500000.0,2023-06-30
-6193600.0,0.196,241400000.0,-31600000.0,-31600000.0,59700000.0,59100000.0,209800000.0,150700000.0,-37100000.0,85106400.0,59700000.0,4960700000.0,119100000.0,48394000.0,47662000.0,1.23,1.25,59700000.0,59700000.0,59700000.0,400000.0,59300000.0,59300000.0,14500000.0,73800000.0,-39800000.0,3000000.0,-31600000.0,31600000.0,-11200000.0,-37100000.0,37100000.0,150700000.0,4960700000.0,2467000000.0,59100000.0,59100000.0,2434600000.0,2434600000.0,,2434600000.0,5111400000.0,5111400000.0,2023-09-30
-1482009.724473,0.068612,395500000.0,-21600000.0,-21600000.0,172400000.0,61900000.0,373900000.0,312000000.0,-31500000.0,192517990.275527,172400000.0,5569400000.0,290400000.0,,,,,172400000.0,172400000.0,172400000.0,0.0,172400000.0,172400000.0,12700000.0,185100000.0,-95400000.0,3000000.0,-21600000.0,21600000.0,-76800000.0,-31500000.0,31500000.0,312000000.0,5569400000.0,,61900000.0,61900000.0,5507500000.0,5507500000.0,2841400000.0,2666100000.0,5881400000.0,5881400000.0,2023-12-31
