tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,total_revenue,operating_revenue,date
0.0,0.156463,248000000.0,13000000.0,322000000.0,-28000000.0,28000000.0,248000000.0,248000000.0,2818000000.0,272300000.0,271300000.0,0.91,0.914117,248000000.0,248000000.0,248000000.0,248000000.0,248000000.0,46000000.0,294000000.0,409000000.0,-28000000.0,28000000.0,717000000.0,3112000000.0,3112000000.0,2022-12-31
0.0,0.199461,297000000.0,12000000.0,399000000.0,-28000000.0,28000000.0,297000000.0,297000000.0,2756000000.0,272300000.0,271300000.0,1.09,1.1,297000000.0,297000000.0,297000000.0,297000000.0,297000000.0,74000000.0,371000000.0,414000000.0,-28000000.0,28000000.0,721000000.0,3127000000.0,3127000000.0,2023-03-31
0.0,0.216066,283000000.0,16000000.0,392000000.0,-31000000.0,31000000.0,283000000.0,283000000.0,2888000000.0,272000000.0,271200000.0,1.04,1.04,283000000.0,283000000.0,283000000.0,283000000.0,283000000.0,78000000.0,361000000.0,414000000.0,-31000000.0,31000000.0,730000000.0,3249000000.0,3249000000.0,2023-06-30
0.0,0.208589,258000000.0,16000000.0,360000000.0,-34000000.0,34000000.0,258000000.0,258000000.0,2982000000.0,272300000.0,271200000.0,0.95,0.95,258000000.0,258000000.0,258000000.0,258000000.0,258000000.0,68000000.0,326000000.0,415000000.0,-34000000.0,34000000.0,724000000.0,3308000000.0,3308000000.0,2023-09-30
0.0,0.202174,367000000.0,29000000.0,494000000.0,-34000000.0,34000000.0,367000000.0,367000000.0,2981000000.0,,,,,367000000.0,367000000.0,367000000.0,367000000.0,367000000.0,93000000.0,460000000.0,411000000.0,-34000000.0,34000000.0,767000000.0,3441000000.0,3441000000.0,2023-12-31
