tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,gain_on_sale_of_ppe
19683300.0,0.21,273643000.0,93730000.0,93730000.0,185165000.0,135758000.0,127778000.0,367373000.0,231615000.0,-39768000.0,39768000.0,,111118300.0,185165000.0,279572000.0,228143000.0,64731222.0,64727333.0,2.86,2.86,185165000.0,,185165000.0,185165000.0,-9055000.0,194220000.0,194220000.0,-2373000.0,191847000.0,96004000.0,-1884000.0,0.0,1884000.0,2274000.0,95614000.0,-39768000.0,39768000.0,,135611000.0,151794000.0,,135758000.0,135758000.0,16036000.0,16036000.0,16036000.0,287405000.0,127778000.0,415183000.0,415183000.0,2022-12-31,
12494790.0,0.21,288587000.0,59499000.0,59499000.0,153532000.0,136347000.0,131844000.0,348086000.0,211739000.0,-38595000.0,51045000.0,12450000.0,106527790.0,153532000.0,283502000.0,187385000.0,64459689.0,64458535.0,2.38,2.38,153532000.0,,153532000.0,153532000.0,-8062000.0,161594000.0,161594000.0,-900000.0,160694000.0,70370000.0,-772000.0,433000.0,339000.0,10871000.0,60271000.0,-38595000.0,51045000.0,12450000.0,128919000.0,151658000.0,,136347000.0,136347000.0,15311000.0,15311000.0,15311000.0,280577000.0,131844000.0,412421000.0,412421000.0,2023-03-31,
13156.025268,0.016123,295991000.0,816000.0,816000.0,99620000.0,136718000.0,130675000.0,296807000.0,160089000.0,-40401000.0,52600000.0,12199000.0,98817156.025268,99620000.0,281206000.0,134832000.0,64183675.0,64182555.0,1.55,1.55,99620000.0,0.0,99620000.0,99620000.0,-6136000.0,105756000.0,105756000.0,1733000.0,107489000.0,13053000.0,-5000.0,,5000.0,12237000.0,821000.0,-40401000.0,52600000.0,12199000.0,134837000.0,150531000.0,,136718000.0,136718000.0,13813000.0,13813000.0,13813000.0,285368000.0,130675000.0,416043000.0,416043000.0,2023-06-30,
138390.0,0.21,283868000.0,659000.0,659000.0,87282000.0,137357000.0,135400000.0,284527000.0,147170000.0,-49755000.0,54161000.0,4406000.0,86761390.0,87282000.0,287772000.0,131784000.0,64186020.0,64184180.0,1.36,1.36,87282000.0,,87282000.0,87282000.0,-5727000.0,93009000.0,93009000.0,,93009000.0,11353000.0,-31000.0,,31000.0,10694000.0,690000.0,-49755000.0,54161000.0,4406000.0,131411000.0,152372000.0,404000.0,137357000.0,137357000.0,14611000.0,14611000.0,14611000.0,283783000.0,135400000.0,419183000.0,419183000.0,2023-09-30,
80640.0,0.21,263080000.0,384000.0,384000.0,65391000.0,138016000.0,133432000.0,263464000.0,125448000.0,-37895000.0,55099000.0,17204000.0,65087640.0,65391000.0,290647000.0,130341000.0,64188581.0,64187384.0,1.02,1.02,65391000.0,,65391000.0,65391000.0,-4958000.0,70349000.0,70349000.0,,70349000.0,-22857000.0,-220000.0,0.0,220000.0,-23241000.0,604000.0,-37895000.0,55099000.0,17204000.0,131101000.0,157215000.0,-540000.0,138016000.0,138016000.0,19739000.0,19739000.0,19739000.0,288316000.0,133432000.0,421748000.0,421748000.0,2023-12-31,0.0
