symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
ESS,Real Estate,12390682369.751947,64181614.0,2023-03-31,-0.009336390026375799,14208832545.715103,14076173343.248844,193.05657177384083,219.3178461241072
ESS,Real Estate,14208832545.715103,64183304.0,2023-06-30,0.13576523088787462,13570482651.480398,15412882361.918531,221.37895153722692,240.13850022302577
ESS,Real Estate,13570482651.480398,64184604.0,2023-09-30,-0.05297449873142274,15502818641.449652,14681564594.994701,211.42893787239692,228.7396615393109
ESS,Real Estate,15502818641.449652,64203497.0,2023-12-31,0.1980016783469868,,,241.4637732497601,
