free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_from_discontinued_investing_activities,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,purchase_of_business,capital_expenditure_reported,operating_cash_flow,cash_from_discontinued_operating_activities,cash_flow_from_continuing_operating_activities,change_in_working_capital,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,pension_and_employee_benefit_expense,net_income_from_continuing_operations,date
671300000.0,-300100000.0,-2100000.0,,-89000000.0,1220500000.0,1080200000.0,33800000.0,106500000.0,-439200000.0,-439200000.0,0.0,16200000.0,-153200000.0,-153200000.0,-300100000.0,-300100000.0,-2100000.0,,-2100000.0,-2100000.0,,-214600000.0,0.0,-214600000.0,-10200000.0,-125100000.0,-125100000.0,-89000000.0,760300000.0,-5000000.0,765300000.0,159900000.0,53400000.0,10300000.0,82600000.0,82600000.0,10200000.0,10200000.0,448900000.0,2022-12-31
-68600000.0,-300000000.0,-700000000.0,699100000.0,-77100000.0,692900000.0,1220500000.0,14100000.0,-541700000.0,-459200000.0,-459200000.0,-9300000.0,21300000.0,-170300000.0,-170300000.0,-300000000.0,-300000000.0,-900000.0,,-900000.0,-700000000.0,699100000.0,-91000000.0,0.0,-91000000.0,-13900000.0,,,-77100000.0,8500000.0,-8300000.0,16800000.0,-414400000.0,-3100000.0,24400000.0,79800000.0,79800000.0,13500000.0,13500000.0,316600000.0,2023-03-31
467100000.0,0.0,-7500000.0,0.0,-56900000.0,663600000.0,692900000.0,-20100000.0,-9200000.0,22800000.0,22800000.0,-4000000.0,7500000.0,-171100000.0,-171100000.0,0.0,0.0,190400000.0,,-7500000.0,-7500000.0,0.0,-556000000.0,0.0,-556000000.0,7100000.0,,,-56900000.0,524000000.0,-7300000.0,531300000.0,-180600000.0,-2300000.0,16100000.0,88400000.0,88400000.0,12900000.0,12900000.0,596800000.0,2023-06-30
839100000.0,-159800000.0,-1300000.0,0.0,-83200000.0,960000000.0,663600000.0,-21100000.0,317500000.0,-515700000.0,-515700000.0,-5400000.0,22200000.0,-171600000.0,-171600000.0,-159800000.0,-159800000.0,-201100000.0,-199800000.0,-1300000.0,-1300000.0,0.0,-89100000.0,0.0,-89100000.0,-1900000.0,-4000000.0,-4000000.0,-83200000.0,922300000.0,-12200000.0,934500000.0,182200000.0,-5000000.0,13400000.0,92000000.0,92000000.0,13000000.0,13000000.0,638900000.0,2023-09-30
851300000.0,-209500000.0,-45800000.0,100000.0,-83500000.0,1095300000.0,960000000.0,34800000.0,100500000.0,-398200000.0,-398200000.0,-600000.0,28300000.0,-170700000.0,-170700000.0,-209500000.0,-209500000.0,-45700000.0,0.0,-45700000.0,-45800000.0,100000.0,-436100000.0,0.0,-436100000.0,-9200000.0,-352600000.0,-352600000.0,-83500000.0,934800000.0,-9400000.0,944200000.0,340000000.0,-22300000.0,10400000.0,87900000.0,87900000.0,11600000.0,11600000.0,516600000.0,2023-12-31
