tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2743440.0,0.21,-175259000.0,-13064000.0,-13064000.0,-200936000.0,17696000.0,190721000.0,-188323000.0,-206019000.0,21857000.0,21857000.0,-190615440.0,-200936000.0,763047000.0,-206019000.0,320135000.0,320135000.0,-0.63,-0.63,-200936000.0,-200936000.0,-200936000.0,506000.0,-201442000.0,-201442000.0,4009000.0,-197433000.0,-13271000.0,-207000.0,-7482000.0,7482000.0,-5582000.0,21857000.0,21857000.0,-206019000.0,572326000.0,211387000.0,360939000.0,284477000.0,76462000.0,76462000.0,366307000.0,190721000.0,557028000.0,557028000.0,2022-10-31
-281190.0,0.21,-218685000.0,-1339000.0,-1339000.0,-207169000.0,19726000.0,205657000.0,-220024000.0,-239750000.0,35531000.0,35531000.0,-206111190.0,-207169000.0,828762000.0,-239750000.0,321924000.0,321924000.0,-0.64,-0.64,-207169000.0,-207169000.0,-207169000.0,315000.0,-207484000.0,-207484000.0,372000.0,-207112000.0,-2893000.0,-1554000.0,-3999000.0,3999000.0,2660000.0,35531000.0,35531000.0,-239750000.0,623105000.0,242125000.0,380980000.0,303473000.0,77507000.0,77507000.0,383355000.0,205657000.0,589012000.0,589012000.0,2023-01-31
-67592.0,0.028,-247661000.0,-2414000.0,-2414000.0,-225627000.0,23163000.0,209414000.0,-250075000.0,-273238000.0,43131000.0,43131000.0,-223280592.0,-225627000.0,896837000.0,-273238000.0,324157000.0,324157000.0,-0.7,-0.7,-225627000.0,-225627000.0,-225627000.0,437000.0,-226064000.0,-226064000.0,-6605000.0,-232669000.0,-2562000.0,-148000.0,,,-2414000.0,43131000.0,43131000.0,-273238000.0,687423000.0,277412000.0,410011000.0,331558000.0,78453000.0,78453000.0,414185000.0,209414000.0,623599000.0,623599000.0,2023-04-30
84944.0,0.016,-261432000.0,5309000.0,5309000.0,-226867000.0,29284000.0,218392000.0,-256123000.0,-285407000.0,50280000.0,50280000.0,-232091056.0,-226867000.0,959425000.0,-285407000.0,327335000.0,327335000.0,-0.69,-0.69,-226867000.0,-226867000.0,-226867000.0,453000.0,-227320000.0,-227320000.0,-3721000.0,-231041000.0,4086000.0,-1223000.0,-2101000.0,2101000.0,7410000.0,50280000.0,50280000.0,-285407000.0,741033000.0,313996000.0,427037000.0,343288000.0,83749000.0,83749000.0,455626000.0,218392000.0,674018000.0,674018000.0,2023-07-31
-375900.0,0.21,-226363000.0,-1790000.0,-1790000.0,-214251000.0,32470000.0,228948000.0,-228153000.0,-260623000.0,53491000.0,53491000.0,-212836900.0,-214251000.0,994796000.0,-260623000.0,329310000.0,329310000.0,-0.65,-0.65,-214251000.0,-214251000.0,-214251000.0,443000.0,-214694000.0,-214694000.0,3392000.0,-211302000.0,-4170000.0,-2380000.0,-1000000.0,1000000.0,-790000.0,53491000.0,53491000.0,-260623000.0,765848000.0,332065000.0,433783000.0,355079000.0,78704000.0,78704000.0,505225000.0,228948000.0,734173000.0,734173000.0,2023-10-31
1127836.336397,0.024677,-286223000.0,45704000.0,45704000.0,-169352000.0,34986000.0,241804000.0,-240519000.0,-275505000.0,53761000.0,53761000.0,-213928163.663603,-169352000.0,1050204000.0,-275505000.0,,,,,-169352000.0,-169352000.0,-169352000.0,560000.0,-169912000.0,-169912000.0,-4299000.0,-174211000.0,47533000.0,1829000.0,0.0,0.0,45704000.0,53761000.0,53761000.0,-275505000.0,808400000.0,364476000.0,443924000.0,361822000.0,82102000.0,82102000.0,532895000.0,241804000.0,774699000.0,774699000.0,2024-01-31
