treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,321497000.0,321497000.0,254276000.0,4565520000.0,5410777000.0,3079862000.0,4565520000.0,254276000.0,5410777000.0,5410777000.0,5423271000.0,12494000.0,5410777000.0,-69179000.0,-69179000.0,,-2508905000.0,7988829000.0,32000.0,32000.0,0.0,1732417000.0,253375000.0,21029000.0,7333000.0,7333000.0,225013000.0,225013000.0,1479042000.0,27960000.0,1199701000.0,1199701000.0,29263000.0,29263000.0,124136000.0,97982000.0,60682000.0,37300000.0,12543000.0,24757000.0,7155688000.0,2596784000.0,293855000.0,133939000.0,943081000.0,943081000.0,943081000.0,845257000.0,196165000.0,649092000.0,380652000.0,-39271000.0,419923000.0,54336000.0,62141000.0,234678000.0,68768000.0,0.0,4558904000.0,160221000.0,61738000.0,160221000.0,394063000.0,394063000.0,-2200000.0,396263000.0,3942882000.0,3123879000.0,819003000.0,516628000.0,302375000.0,2022-10-31
,323305000.0,323305000.0,251658000.0,4613053000.0,5456436000.0,2991173000.0,4613053000.0,251658000.0,5456436000.0,5456436000.0,5468615000.0,12179000.0,5456436000.0,-38272000.0,-38272000.0,,-2716074000.0,8210750000.0,32000.0,32000.0,0.0,2253707000.0,260190000.0,24370000.0,11463000.0,11463000.0,224357000.0,224357000.0,1993517000.0,23614000.0,1673475000.0,1673475000.0,27301000.0,27301000.0,159821000.0,109306000.0,65631000.0,43675000.0,20003000.0,23672000.0,7722322000.0,2737632000.0,283851000.0,145286000.0,1073023000.0,1073023000.0,1073023000.0,843383000.0,186013000.0,657370000.0,392089000.0,-46846000.0,438935000.0,59872000.0,68888000.0,231266000.0,78909000.0,0.0,4984690000.0,193100000.0,67901000.0,,715821000.0,715821000.0,-2200000.0,718021000.0,4007868000.0,3067966000.0,939902000.0,,,2023-01-31
500000.0,325812000.0,326312000.0,254843000.0,4318573000.0,5286243000.0,2682006000.0,4318573000.0,254843000.0,5286243000.0,5286243000.0,5297985000.0,11742000.0,5286243000.0,-30828000.0,-30828000.0,68299000.0,-3065096000.0,8450433000.0,33000.0,33000.0,0.0,2148789000.0,261248000.0,21443000.0,14152000.0,14152000.0,225653000.0,225653000.0,1887541000.0,41152000.0,1560445000.0,1560445000.0,29190000.0,29190000.0,122939000.0,133815000.0,95557000.0,38258000.0,16037000.0,22221000.0,7446774000.0,2877227000.0,270264000.0,142751000.0,1090715000.0,1090715000.0,1090715000.0,967670000.0,256419000.0,711251000.0,405827000.0,-54262000.0,460089000.0,60546000.0,83503000.0,229394000.0,86646000.0,0.0,4569547000.0,201821000.0,69205000.0,,352993000.0,352993000.0,-2100000.0,355093000.0,3945528000.0,3292514000.0,653014000.0,,,2023-04-30
500000.0,328878000.0,329378000.0,296852000.0,4166537000.0,5286938000.0,2491639000.0,4166537000.0,296852000.0,5286938000.0,5286938000.0,5298227000.0,11289000.0,5286938000.0,-32244000.0,-32244000.0,68299000.0,-3291963000.0,8679411000.0,33000.0,33000.0,0.0,2211589000.0,298277000.0,22794000.0,12477000.0,12477000.0,263006000.0,263006000.0,1913312000.0,46077000.0,1523085000.0,1523085000.0,33846000.0,33846000.0,166462000.0,143842000.0,92063000.0,51779000.0,10531000.0,41248000.0,7509816000.0,3104865000.0,281306000.0,146358000.0,1100748000.0,1100748000.0,1100748000.0,1120401000.0,346101000.0,774300000.0,456052000.0,-62694000.0,518746000.0,67590000.0,86391000.0,262229000.0,102536000.0,0.0,4404951000.0,174445000.0,71969000.0,,406404000.0,406404000.0,-1400000.0,407804000.0,3752133000.0,2996941000.0,755192000.0,,,2023-07-31
500000.0,329151000.0,329651000.0,286377000.0,3815749000.0,4929921000.0,2279611000.0,3815749000.0,286377000.0,4929921000.0,4929921000.0,4940767000.0,10846000.0,4929921000.0,-27208000.0,-27208000.0,68299000.0,-3906252000.0,8931647000.0,33000.0,33000.0,0.0,2323612000.0,290940000.0,25829000.0,12082000.0,12082000.0,253029000.0,253029000.0,2032672000.0,44299000.0,1605587000.0,1605587000.0,33348000.0,33348000.0,168512000.0,180926000.0,88276000.0,92650000.0,17194000.0,75456000.0,7264379000.0,2952096000.0,269117000.0,150362000.0,947829000.0,947829000.0,947829000.0,1114172000.0,329767000.0,784405000.0,470616000.0,-72183000.0,542799000.0,67366000.0,97316000.0,254236000.0,123881000.0,0.0,4312283000.0,178136000.0,74574000.0,,511034000.0,511034000.0,-6300000.0,517334000.0,3548539000.0,2566357000.0,982182000.0,,,2023-10-31
492000.0,333961000.0,334453000.0,287981000.0,3872991000.0,5180308000.0,2308034000.0,3872991000.0,287981000.0,5180308000.0,5180308000.0,5190594000.0,10286000.0,5180308000.0,-8220000.0,-8220000.0,67140000.0,-4075604000.0,9331238000.0,34000.0,34000.0,0.0,3032789000.0,301559000.0,33120000.0,14402000.0,14402000.0,254037000.0,254037000.0,2731230000.0,39652000.0,2198705000.0,2198705000.0,33944000.0,33944000.0,245697000.0,213232000.0,101924000.0,111308000.0,59587000.0,51721000.0,8223383000.0,3184119000.0,273810000.0,187093000.0,916307000.0,916307000.0,916307000.0,1307317000.0,331411000.0,975906000.0,499592000.0,-74641000.0,574233000.0,67804000.0,113627000.0,252128000.0,140674000.0,0.0,5039264000.0,180018000.0,86096000.0,,926902000.0,926902000.0,-2500000.0,929402000.0,3846248000.0,2083499000.0,1762749000.0,,,2024-01-31
