tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.21,68000000.0,22000000.0,62000000.0,-26000000.0,26000000.0,529000000.0,68000000.0,68000000.0,2523000000.0,271000000.0,270000000.0,0.25,0.25,68000000.0,68000000.0,68000000.0,-3000000.0,71000000.0,0.0,71000000.0,-1000000.0,-36000000.0,36000000.0,-26000000.0,26000000.0,392000000.0,22000000.0,734000000.0,734000000.0,734000000.0,2559000000.0,2559000000.0,2022-12-31
0.0,0.21,-59000000.0,134000000.0,-32000000.0,-42000000.0,42000000.0,552000000.0,-59000000.0,-59000000.0,2491000000.0,271000000.0,270000000.0,-0.22,-0.22,-59000000.0,-59000000.0,-59000000.0,29000000.0,-88000000.0,,-88000000.0,0.0,14000000.0,-74000000.0,-42000000.0,42000000.0,419000000.0,134000000.0,677000000.0,677000000.0,677000000.0,2417000000.0,2417000000.0,2023-03-31
0.0,0.2,219000000.0,151000000.0,375000000.0,-43000000.0,43000000.0,577000000.0,219000000.0,219000000.0,2691000000.0,271000000.0,270000000.0,0.81,0.81,219000000.0,219000000.0,219000000.0,-24000000.0,243000000.0,,243000000.0,1000000.0,90000000.0,332000000.0,-43000000.0,43000000.0,364000000.0,151000000.0,755000000.0,755000000.0,755000000.0,3023000000.0,3023000000.0,2023-06-30
0.0,0.19,426000000.0,153000000.0,647000000.0,-44000000.0,44000000.0,611000000.0,426000000.0,426000000.0,2106000000.0,271000000.0,270000000.0,1.57,1.58,426000000.0,426000000.0,426000000.0,-51000000.0,477000000.0,,477000000.0,15000000.0,141000000.0,603000000.0,-44000000.0,44000000.0,331000000.0,153000000.0,734000000.0,734000000.0,734000000.0,2709000000.0,2709000000.0,2023-09-30
0.0,0.315476,-69000000.0,155000000.0,-123000000.0,-45000000.0,45000000.0,635000000.0,-69000000.0,-69000000.0,3540000000.0,272000000.0,271000000.0,-0.25,-0.25,-69000000.0,-69000000.0,-69000000.0,45000000.0,-114000000.0,,-114000000.0,1000000.0,-53000000.0,-168000000.0,-45000000.0,45000000.0,387000000.0,155000000.0,742000000.0,742000000.0,742000000.0,3372000000.0,3372000000.0,2023-12-31
