free_cash_flow,repurchase_of_capital_stock,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,preferred_stock_dividend_paid,net_preferred_stock_issuance,preferred_stock_payments,preferred_stock_issuance,net_common_stock_issuance,common_stock_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_receivables,changes_in_account_receivables,stock_based_compensation,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
968221000.0,2863000.0,6660000.0,-13289000.0,1273328000.0,1258324000.0,30677000.0,-15673000.0,-1849000.0,-1849000.0,-1188000.0,-10184000.0,-10184000.0,0.0,0.0,0.0,9523000.0,2863000.0,-995334000.0,-995334000.0,-2949000.0,-979096000.0,2617191000.0,-3596287000.0,0.0,0.0,-13289000.0,-13289000.0,981510000.0,981510000.0,129761000.0,-170782000.0,-163927000.0,-163927000.0,-163927000.0,-13488000.0,-13488000.0,7599000.0,25722000.0,25722000.0,25722000.0,-44360000.0,46752000.0,-91112000.0,862788000.0,2022-12-31
952000000.0,-18000000.0,,-11000000.0,1215000000.0,1273000000.0,5000000.0,-63000000.0,-30000000.0,-30000000.0,-2000000.0,-10000000.0,-10000000.0,,,,-18000000.0,-18000000.0,-996000000.0,-996000000.0,-1000000.0,-984000000.0,3399000000.0,-4383000000.0,,,-11000000.0,-11000000.0,963000000.0,963000000.0,265000000.0,-212000000.0,279000000.0,279000000.0,279000000.0,-871000000.0,-871000000.0,41000000.0,23000000.0,23000000.0,23000000.0,-83000000.0,-66000000.0,-17000000.0,717000000.0,2023-03-31
1136000000.0,18000000.0,,-15000000.0,1353000000.0,1215000000.0,7000000.0,131000000.0,-15000000.0,-15000000.0,-23000000.0,-10000000.0,-10000000.0,,,,18000000.0,18000000.0,-1005000000.0,-1005000000.0,5000000.0,-995000000.0,4456000000.0,-5451000000.0,,,-15000000.0,-15000000.0,1151000000.0,1151000000.0,297000000.0,-102000000.0,373000000.0,373000000.0,373000000.0,-777000000.0,-777000000.0,17000000.0,24000000.0,24000000.0,24000000.0,144000000.0,17000000.0,127000000.0,669000000.0,2023-06-30
1959000000.0,0.0,,-11000000.0,1355000000.0,1353000000.0,-26000000.0,28000000.0,-7000000.0,-7000000.0,-2000000.0,-10000000.0,-10000000.0,,,,5000000.0,0.0,-1935000000.0,-1935000000.0,,-1920000000.0,2950000000.0,-4870000000.0,,,-11000000.0,-11000000.0,1970000000.0,1970000000.0,1006000000.0,-2000000.0,40000000.0,40000000.0,40000000.0,315000000.0,315000000.0,15000000.0,24000000.0,24000000.0,24000000.0,202000000.0,-55000000.0,257000000.0,723000000.0,2023-09-30
1650000000.0,-2000000.0,-5000000.0,-15000000.0,1498000000.0,1355000000.0,27000000.0,116000000.0,-17000000.0,-17000000.0,0.0,-10000000.0,-10000000.0,,,,-7000000.0,-2000000.0,-1532000000.0,-1532000000.0,,-1494000000.0,5187000000.0,-6681000000.0,,,-15000000.0,-15000000.0,1665000000.0,1665000000.0,-416000000.0,-937000000.0,-237000000.0,-237000000.0,-237000000.0,352000000.0,352000000.0,20000000.0,24000000.0,24000000.0,24000000.0,-296000000.0,-111000000.0,-185000000.0,2333000000.0,2023-12-31
