tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,research_and_development
0.0,0.281756,3201000000.0,-323500000.0,-323500000.0,2278700000.0,29000000.0,693300000.0,3201000000.0,3172000000.0,-402100000.0,-600000.0,-400000000.0,2278700000.0,2278700000.0,1327300000.0,3292900000.0,246079914.0,242931770.0,9.26,9.38,2278700000.0,2278700000.0,2278700000.0,2278700000.0,2278700000.0,893900000.0,3172600000.0,-323500000.0,-323500000.0,-402100000.0,0.0,-600000.0,-400000000.0,2951000000.0,634000000.0,496500000.0,,,137500000.0,6800000.0,130700000.0,-44300000.0,-10900000.0,45400000.0,3585000000.0,693300000.0,4278300000.0,4278300000.0,2022-12-31,
-23258000.0,0.29,809200000.0,-80200000.0,-80200000.0,502200000.0,31400000.0,430000000.0,729000000.0,729000000.0,58900000.0,29000000.0,60100000.0,559142000.0,502200000.0,548000000.0,654400000.0,244975610.0,242608696.0,2.05,2.07,502200000.0,502200000.0,502200000.0,502200000.0,502200000.0,205500000.0,707700000.0,-80200000.0,-80200000.0,58900000.0,1200000.0,29000000.0,60100000.0,729000000.0,118000000.0,-13600000.0,,,131600000.0,12200000.0,119400000.0,66000000.0,15400000.0,38000000.0,847000000.0,430000000.0,1277000000.0,1277000000.0,2023-03-31,
-8790000.0,0.15,-320400000.0,-58600000.0,-58600000.0,-190400000.0,31900000.0,512400000.0,-379000000.0,-410900000.0,151100000.0,1300000.0,152400000.0,-140590000.0,-190400000.0,672400000.0,-563300000.0,241012658.0,241012658.0,-0.79,-0.79,-190400000.0,-190400000.0,-190400000.0,-190400000.0,-190400000.0,-221800000.0,-412200000.0,-58600000.0,-58600000.0,151100000.0,,1300000.0,152400000.0,-504700000.0,136100000.0,-4700000.0,8000000.0,8000000.0,132800000.0,18100000.0,114700000.0,71600000.0,,43100000.0,-368600000.0,536300000.0,167700000.0,167700000.0,2023-06-30,
16156552.330695,0.293755,215700000.0,55000000.0,55000000.0,160600000.0,41300000.0,626500000.0,270700000.0,229400000.0,90500000.0,2000000.0,92500000.0,121756552.330695,160600000.0,813400000.0,73100000.0,239701493.0,239701493.0,0.67,0.67,160600000.0,160600000.0,160600000.0,160600000.0,160600000.0,66800000.0,227400000.0,55000000.0,55000000.0,90500000.0,,2000000.0,92500000.0,81900000.0,153700000.0,-5200000.0,8100000.0,8100000.0,150800000.0,14400000.0,136400000.0,92200000.0,,44200000.0,235600000.0,659700000.0,895300000.0,895300000.0,2023-09-30,
-16035193.003619,0.30956,507400000.0,-51800000.0,-51800000.0,457900000.0,78800000.0,179100000.0,455600000.0,376800000.0,117000000.0,,120400000.0,493664806.996381,457900000.0,881000000.0,526200000.0,,,,,457900000.0,457900000.0,457900000.0,457900000.0,457900000.0,205300000.0,663200000.0,-51800000.0,-22400000.0,117000000.0,,,120400000.0,598000000.0,701900000.0,-2300000.0,,,149400000.0,18000000.0,131400000.0,256700000.0,,,1299900000.0,179100000.0,1479000000.0,1479000000.0,2023-12-31,577800000.0
