tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,otherunder_preferred_stock_dividend
-99330.0,0.21,47755000.0,-473000.0,-473000.0,-252081000.0,131487000.0,3291631000.0,47282000.0,-84205000.0,-41706000.0,72761000.0,31055000.0,-251707330.0,-252081000.0,4410154000.0,-119890000.0,,,,,-264205000.0,,-252081000.0,-252081000.0,-84450000.0,-167631000.0,-167631000.0,10665000.0,-156966000.0,4157000.0,-13981000.0,-473000.0,-473000.0,0.0,,18611000.0,-41706000.0,72761000.0,31055000.0,-119417000.0,1118523000.0,79457000.0,131487000.0,131487000.0,907579000.0,,,999106000.0,3291631000.0,4290737000.0,4290737000.0,2022-12-31,
-6612488.240828,0.350423,291302000.0,-18870000.0,-18870000.0,-58102000.0,115185000.0,2115589000.0,272432000.0,157247000.0,-48902000.0,89215000.0,40313000.0,-45844488.240828,-58102000.0,2984110000.0,142776000.0,228162831.0,228162831.0,-0.25,-0.25,-58102000.0,,-58102000.0,-58102000.0,-102294000.0,44192000.0,44192000.0,23840000.0,68032000.0,-26346000.0,-11583000.0,-18870000.0,-504000.0,,18366000.0,4107000.0,-48902000.0,89215000.0,40313000.0,143280000.0,868521000.0,63015000.0,115185000.0,115185000.0,690321000.0,690321000.0,690321000.0,1011801000.0,2115589000.0,3127390000.0,3127390000.0,2023-03-31,
783080.88529,0.111661,584481000.0,7013000.0,7013000.0,237061000.0,136514000.0,4164778000.0,591494000.0,454980000.0,-25543000.0,81995000.0,56452000.0,230831080.88529,237061000.0,5251365000.0,386371000.0,243660186.0,228536179.0,1.02,1.04,247865000.0,10804000.0,237061000.0,237061000.0,-94276000.0,331337000.0,331337000.0,41648000.0,372985000.0,19170000.0,6599000.0,7013000.0,7013000.0,,,5558000.0,-25543000.0,81995000.0,56452000.0,379358000.0,1086587000.0,81478000.0,136514000.0,136514000.0,868595000.0,,,1465945000.0,4164778000.0,5630723000.0,5630723000.0,2023-06-30,
148265.527906,0.093661,811840000.0,1583000.0,1583000.0,422613000.0,130653000.0,6330465000.0,813423000.0,682770000.0,-8108000.0,86215000.0,78107000.0,421178265.527906,422613000.0,7535070000.0,618532000.0,244163678.0,228787263.0,1.78,1.85,433490000.0,10877000.0,422613000.0,422613000.0,-118068000.0,540681000.0,540681000.0,55874000.0,596555000.0,-12286000.0,-19251000.0,1583000.0,1583000.0,,,5382000.0,-8108000.0,86215000.0,78107000.0,616949000.0,1204605000.0,99802000.0,130653000.0,130653000.0,974150000.0,,,1821554000.0,6330465000.0,8152019000.0,8152019000.0,2023-09-30,
1124760.0,0.21,78880000.0,5356000.0,5356000.0,-210728000.0,134445000.0,4681184000.0,84236000.0,-50209000.0,-29873000.0,92819000.0,62946000.0,-214959240.0,-210728000.0,5926252000.0,-81476000.0,,,,,-293565000.0,,-285730000.0,-210728000.0,-28835000.0,-181893000.0,-181893000.0,38865000.0,-143028000.0,-25844000.0,-10698000.0,5356000.0,5835000.0,,138000.0,-20502000.0,-29873000.0,92819000.0,62946000.0,-87311000.0,1245068000.0,86522000.0,134445000.0,134445000.0,1024101000.0,,,1157757000.0,4681184000.0,5838941000.0,5838941000.0,2023-12-31,75002000.0
