treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,inventory,finished_goods,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,302669000.0,302669000.0,752079000.0,425702000.0,1414363000.0,585506000.0,425702000.0,178224000.0,840508000.0,840508000.0,840508000.0,840508000.0,-23753000.0,-23753000.0,-1611533000.0,2475764000.0,30000.0,30000.0,0.0,2412317000.0,789150000.0,40937000.0,601103000.0,601103000.0,147110000.0,147110000.0,,1623167000.0,2693000.0,660769000.0,660769000.0,604969000.0,31114000.0,573855000.0,573855000.0,159231000.0,195505000.0,82377000.0,113128000.0,10249000.0,102879000.0,3252825000.0,1044152000.0,51329000.0,165735000.0,414806000.0,53379000.0,361427000.0,412282000.0,-389878000.0,802160000.0,58931000.0,14795000.0,469764000.0,258670000.0,0.0,2208673000.0,,69397000.0,178838000.0,59716000.0,35245000.0,24471000.0,435618000.0,435618000.0,-1053000.0,436671000.0,1465104000.0,669173000.0,795931000.0,2022-10-31
,304076000.0,304076000.0,756118000.0,530584000.0,1515739000.0,724989000.0,530584000.0,181612000.0,941233000.0,941233000.0,941233000.0,941233000.0,-15504000.0,-15504000.0,-1537062000.0,2493769000.0,30000.0,30000.0,0.0,2602227000.0,852359000.0,42385000.0,667501000.0,667501000.0,142473000.0,142473000.0,,1749868000.0,3556000.0,735973000.0,735973000.0,613645000.0,39139000.0,574506000.0,574506000.0,232636000.0,164058000.0,80322000.0,83736000.0,16615000.0,67121000.0,3543460000.0,1068603000.0,49358000.0,177239000.0,410649000.0,49222000.0,361427000.0,431357000.0,-402153000.0,833510000.0,71235000.0,15806000.0,474202000.0,272267000.0,0.0,2474857000.0,161391000.0,68617000.0,,50152000.0,25256000.0,24896000.0,612491000.0,612491000.0,-1057000.0,613548000.0,1582206000.0,1001352000.0,580854000.0,2023-01-31
,306453000.0,306453000.0,283159000.0,499316000.0,1005807000.0,761561000.0,499316000.0,183159000.0,905807000.0,1005807000.0,905807000.0,905807000.0,-10906000.0,-10906000.0,-1604463000.0,2521145000.0,31000.0,31000.0,0.0,2053446000.0,947250000.0,44348000.0,663237000.0,663237000.0,239665000.0,139665000.0,100000000.0,1106196000.0,4428000.0,750046000.0,750046000.0,43494000.0,43494000.0,,,143204000.0,165024000.0,83817000.0,81207000.0,9873000.0,71334000.0,2959253000.0,1091496000.0,47544000.0,179362000.0,406491000.0,45064000.0,361427000.0,458099000.0,-422234000.0,880333000.0,90699000.0,19557000.0,487033000.0,283044000.0,0.0,1867757000.0,171824000.0,68826000.0,,51821000.0,28902000.0,22919000.0,391286000.0,391286000.0,-1062000.0,392348000.0,1184000000.0,805715000.0,378285000.0,2023-04-30
0.0,311839000.0,311839000.0,281111000.0,583995000.0,1086328000.0,837250000.0,583995000.0,181111000.0,986328000.0,1086328000.0,986328000.0,986328000.0,-12607000.0,-12607000.0,-1611578000.0,2610482000.0,31000.0,31000.0,0.0,2147594000.0,943782000.0,44419000.0,667172000.0,667172000.0,232191000.0,132191000.0,100000000.0,1203812000.0,5299000.0,787740000.0,787740000.0,48920000.0,48920000.0,,,165394000.0,196459000.0,88360000.0,108099000.0,10091000.0,98008000.0,3133922000.0,1092860000.0,47605000.0,184073000.0,402333000.0,40906000.0,361427000.0,458849000.0,-438685000.0,897534000.0,92782000.0,25663000.0,480376000.0,298713000.0,0.0,2041062000.0,168283000.0,71344000.0,,47498000.0,26448000.0,21050000.0,525260000.0,525260000.0,-1062000.0,526322000.0,1228677000.0,819777000.0,408900000.0,2023-07-31
,315986000.0,315986000.0,272265000.0,750160000.0,1248455000.0,1009125000.0,750160000.0,172265000.0,1148455000.0,1248455000.0,1148455000.0,1148455000.0,-10032000.0,-10032000.0,-1541189000.0,2699644000.0,32000.0,32000.0,0.0,2207054000.0,969153000.0,51820000.0,694945000.0,694945000.0,222388000.0,122388000.0,100000000.0,1237901000.0,,823555000.0,822555000.0,49877000.0,49877000.0,,,149705000.0,214764000.0,95540000.0,119224000.0,18132000.0,101092000.0,3355509000.0,1108483000.0,55457000.0,190614000.0,398295000.0,36868000.0,361427000.0,464117000.0,-466850000.0,930967000.0,95919000.0,30831000.0,485631000.0,318586000.0,0.0,2247026000.0,139129000.0,74303000.0,,46211000.0,25507000.0,20704000.0,636324000.0,636324000.0,-1178000.0,637502000.0,1351059000.0,821868000.0,529191000.0,2023-10-31
,319523000.0,319523000.0,272073000.0,875655000.0,1370094000.0,1132370000.0,875655000.0,172073000.0,1270094000.0,1370094000.0,1270094000.0,1270094000.0,-3782000.0,-3782000.0,-1475751000.0,2749595000.0,32000.0,32000.0,0.0,2385666000.0,1019982000.0,54506000.0,742275000.0,742275000.0,223201000.0,123201000.0,100000000.0,1365684000.0,,876781000.0,875781000.0,48872000.0,48872000.0,,,250257000.0,189774000.0,93920000.0,95854000.0,13097000.0,82757000.0,3655760000.0,1157706000.0,65101000.0,215620000.0,394439000.0,33012000.0,361427000.0,482546000.0,-480248000.0,962794000.0,92926000.0,36474000.0,501211000.0,332183000.0,0.0,2498054000.0,173407000.0,88712000.0,,42663000.0,23346000.0,19317000.0,662179000.0,662179000.0,-1060000.0,663239000.0,1531093000.0,828557000.0,702536000.0,2024-01-31
