tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-17118.402282,0.034237,192700000.0,-500000.0,-500000.0,135300000.0,28300000.0,510800000.0,192200000.0,163900000.0,-23000000.0,23700000.0,700000.0,135782881.597718,135300000.0,702100000.0,159400000.0,88300000.0,87900000.0,1.53,1.54,135300000.0,135300000.0,135300000.0,-100000.0,135400000.0,135400000.0,4800000.0,140200000.0,3800000.0,4100000.0,0.0,0.0,200000.0,-500000.0,-23000000.0,23700000.0,700000.0,159400000.0,191300000.0,191300000.0,350700000.0,510800000.0,861500000.0,861500000.0,2022-12-31
-228200.0,0.163,201000000.0,-1400000.0,-1400000.0,123500000.0,28300000.0,532000000.0,199600000.0,171300000.0,-22900000.0,23600000.0,700000.0,124671800.0,123500000.0,752000000.0,171000000.0,88400000.0,88000000.0,1.4,1.4,123500000.0,123500000.0,123500000.0,-100000.0,123600000.0,123600000.0,24100000.0,147700000.0,-400000.0,1000000.0,,,,-1400000.0,-22900000.0,23600000.0,700000.0,171000000.0,220000000.0,220000000.0,391000000.0,532000000.0,923000000.0,923000000.0,2023-03-31
-37800.0,0.126,213700000.0,-300000.0,-300000.0,142000000.0,27200000.0,510600000.0,213400000.0,186200000.0,-22500000.0,23700000.0,1200000.0,142262200.0,142000000.0,727900000.0,184600000.0,88300000.0,87900000.0,1.61,1.62,142000000.0,142000000.0,142000000.0,0.0,142000000.0,142000000.0,20500000.0,162500000.0,400000.0,700000.0,,,,-300000.0,-22500000.0,23700000.0,1200000.0,184600000.0,217300000.0,217300000.0,401900000.0,510600000.0,912500000.0,912500000.0,2023-06-30
-89100.0,0.081,222300000.0,-1100000.0,-1100000.0,156300000.0,28200000.0,514600000.0,221200000.0,193000000.0,-21400000.0,22900000.0,1500000.0,157310900.0,156300000.0,724800000.0,193100000.0,88200000.0,87900000.0,1.77,1.78,156300000.0,156300000.0,156300000.0,-100000.0,156400000.0,156400000.0,13700000.0,170100000.0,-1600000.0,-500000.0,0.0,0.0,,-1100000.0,-21400000.0,22900000.0,1500000.0,193100000.0,210200000.0,210200000.0,403300000.0,514600000.0,917900000.0,917900000.0,2023-09-30
-1149598.246896,0.133674,196300000.0,-8600000.0,-8600000.0,118600000.0,27900000.0,512100000.0,187700000.0,159800000.0,-19500000.0,22900000.0,3400000.0,126050401.753104,118600000.0,730200000.0,159700000.0,,,,,118600000.0,118600000.0,118600000.0,0.0,118600000.0,118600000.0,18300000.0,136900000.0,-10800000.0,-3200000.0,-7500000.0,0.0,,-1100000.0,-19500000.0,22900000.0,3400000.0,167200000.0,218100000.0,218100000.0,385300000.0,512100000.0,897400000.0,897400000.0,2023-12-31
-228000.0,0.19,205800000.0,-1200000.0,-1200000.0,123800000.0,28800000.0,502500000.0,204600000.0,175800000.0,-19300000.0,22900000.0,3600000.0,124772000.0,123800000.0,721800000.0,172100000.0,88100000.0,87600000.0,1.41,1.41,123800000.0,123800000.0,123800000.0,0.0,123800000.0,123800000.0,29100000.0,152900000.0,100000.0,1300000.0,,,,-1200000.0,-19300000.0,22900000.0,3600000.0,172100000.0,219300000.0,219300000.0,391400000.0,502500000.0,893900000.0,893900000.0,2024-03-31
