ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,inventory,finished_goods,work_in_process,raw_materials,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
87852777.0,87852777.0,1806500000.0,2094500000.0,-1080200000.0,3036300000.0,511000000.0,-1080200000.0,941800000.0,3023700000.0,944500000.0,2700000.0,941800000.0,-285800000.0,-285800000.0,1212800000.0,13900000.0,900000.0,900000.0,3046700000.0,2343100000.0,119500000.0,40100000.0,101600000.0,101600000.0,2081900000.0,2081900000.0,703600000.0,12600000.0,12600000.0,134700000.0,556300000.0,247900000.0,308400000.0,27700000.0,280700000.0,3991200000.0,2776600000.0,218300000.0,227600000.0,227600000.0,2022000000.0,608900000.0,1413100000.0,308700000.0,-566900000.0,875600000.0,60100000.0,624000000.0,173200000.0,18300000.0,0.0,1214600000.0,40200000.0,3500000.0,479000000.0,225100000.0,41700000.0,212200000.0,403900000.0,8300000.0,395600000.0,288000000.0,288000000.0,2022-12-31,
87946030.0,87946030.0,1829100000.0,2121900000.0,-1014400000.0,3163600000.0,584900000.0,-1014400000.0,1041700000.0,3151000000.0,1044600000.0,2900000.0,1041700000.0,-275600000.0,-275600000.0,1296800000.0,19600000.0,900000.0,900000.0,3079800000.0,2411300000.0,302000000.0,,,,2109300000.0,2109300000.0,668500000.0,12600000.0,12600000.0,,655900000.0,378100000.0,277800000.0,,277800000.0,4124400000.0,2871000000.0,495300000.0,,,2056100000.0,614800000.0,1441300000.0,319600000.0,,,,,,,,1253400000.0,42900000.0,0.0,472700000.0,201000000.0,46000000.0,225700000.0,445000000.0,,445000000.0,292800000.0,292800000.0,2023-03-31,
87776523.0,87776523.0,1736700000.0,2059300000.0,-904100000.0,3197900000.0,614400000.0,-904100000.0,1138600000.0,3185300000.0,1140500000.0,1900000.0,1138600000.0,-266800000.0,,1399200000.0,5300000.0,900000.0,900000.0,3023300000.0,2362500000.0,315800000.0,,,,2046700000.0,2046700000.0,660800000.0,12600000.0,12600000.0,,648200000.0,383000000.0,265200000.0,,265200000.0,4163800000.0,2888600000.0,516800000.0,,,2042700000.0,603600000.0,1439100000.0,329100000.0,,,,,,,,1275200000.0,46300000.0,0.0,483100000.0,205300000.0,45800000.0,232000000.0,423200000.0,,423200000.0,322600000.0,322600000.0,2023-06-30,
87787306.0,87787306.0,1653400000.0,2017700000.0,-776300000.0,3249800000.0,670300000.0,-776300000.0,1232100000.0,3237200000.0,1231400000.0,-700000.0,1232100000.0,-296700000.0,-296700000.0,1516100000.0,11800000.0,900000.0,900000.0,2951700000.0,2301900000.0,296800000.0,,,,2005100000.0,2005100000.0,649800000.0,12600000.0,12600000.0,,637200000.0,391500000.0,245700000.0,,245700000.0,4183100000.0,2863000000.0,519700000.0,,,2008400000.0,580300000.0,1428100000.0,334900000.0,,,,,,,,1320100000.0,47400000.0,0.0,468700000.0,195700000.0,43500000.0,229500000.0,439700000.0,,439700000.0,364300000.0,364300000.0,2023-09-30,
87504673.0,87504673.0,1546900000.0,2015000000.0,-697600000.0,3333300000.0,281200000.0,-697600000.0,1318300000.0,2920700000.0,1318300000.0,0.0,1318300000.0,-261500000.0,-261500000.0,1578900000.0,0.0,900000.0,900000.0,2993200000.0,1913500000.0,173400000.0,44100000.0,93600000.0,93600000.0,1602400000.0,1602400000.0,1079700000.0,412600000.0,412600000.0,134800000.0,532300000.0,258200000.0,274100000.0,14900000.0,259200000.0,4311500000.0,2950600000.0,283700000.0,292900000.0,292900000.0,2015900000.0,572800000.0,1443100000.0,358100000.0,-603300000.0,961400000.0,86200000.0,673100000.0,183000000.0,19100000.0,0.0,1360900000.0,32600000.0,0.0,438500000.0,178500000.0,41600000.0,218400000.0,421700000.0,8900000.0,412800000.0,468100000.0,468100000.0,2023-12-31,0.0
87440045.0,87440045.0,1621500000.0,2013300000.0,-651300000.0,3364200000.0,312900000.0,-651300000.0,1350900000.0,2951000000.0,1350900000.0,,1350900000.0,-285500000.0,-285500000.0,1635500000.0,,900000.0,900000.0,2936000000.0,1910600000.0,310500000.0,,,,1600100000.0,1600100000.0,1025400000.0,413200000.0,413200000.0,,612200000.0,364700000.0,247500000.0,,247500000.0,4286900000.0,2948600000.0,584400000.0,,,2002200000.0,565800000.0,1436400000.0,362000000.0,,,,,,,,1338300000.0,50200000.0,,448300000.0,188200000.0,47400000.0,212700000.0,448000000.0,,448000000.0,391800000.0,391800000.0,2024-03-31,
