tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,net_income_discontinuous_operations
-13266298.342541,0.072099,5426000000.0,-184000000.0,-184000000.0,3359000000.0,1216000000.0,2146000000.0,5242000000.0,4026000000.0,-306000000.0,406000000.0,3529733701.657459,3359000000.0,4929000000.0,3986000000.0,430075179.0,412030066.0,7.810425,8.03985,3087000000.0,3311000000.0,48000000.0,3359000000.0,3359000000.0,3359000000.0,261000000.0,3620000000.0,-75000000.0,109000000.0,-15000000.0,15000000.0,-306000000.0,406000000.0,4001000000.0,1925000000.0,358000000.0,358000000.0,358000000.0,358000000.0,1197000000.0,370000000.0,5926000000.0,3004000000.0,8930000000.0,8930000000.0,2022-10-31,
-171875.0,0.017188,5288000000.0,-10000000.0,-10000000.0,3774000000.0,1032000000.0,2227000000.0,5278000000.0,4246000000.0,-406000000.0,406000000.0,3783828125.0,3774000000.0,4802000000.0,4103000000.0,429000000.0,418000000.0,8.8,9.03,3774000000.0,3774000000.0,,3774000000.0,3774000000.0,3774000000.0,66000000.0,3840000000.0,133000000.0,143000000.0,-10000000.0,10000000.0,-406000000.0,406000000.0,4113000000.0,1891000000.0,348000000.0,348000000.0,348000000.0,348000000.0,1195000000.0,348000000.0,6004000000.0,2911000000.0,8915000000.0,8915000000.0,2023-01-31,
-569160.387513,0.06324,5069000000.0,-9000000.0,-9000000.0,3481000000.0,939000000.0,2027000000.0,5060000000.0,4121000000.0,-405000000.0,405000000.0,3489430839.612487,3481000000.0,4716000000.0,4008000000.0,427000000.0,415000000.0,8.15,8.39,3481000000.0,3481000000.0,,3481000000.0,3481000000.0,3481000000.0,235000000.0,3716000000.0,104000000.0,113000000.0,-9000000.0,9000000.0,-405000000.0,405000000.0,4017000000.0,2098000000.0,348000000.0,348000000.0,348000000.0,348000000.0,1312000000.0,438000000.0,6115000000.0,2618000000.0,8733000000.0,8733000000.0,2023-04-30,
-16074986.010073,0.075825,5124000000.0,-212000000.0,-212000000.0,3303000000.0,932000000.0,2130000000.0,4912000000.0,3980000000.0,-406000000.0,406000000.0,3498925013.989927,3303000000.0,4808000000.0,3856000000.0,427000000.0,413000000.0,7.74,8.0,3303000000.0,3303000000.0,,3303000000.0,3303000000.0,3303000000.0,271000000.0,3574000000.0,-88000000.0,124000000.0,-212000000.0,212000000.0,-406000000.0,406000000.0,4068000000.0,2096000000.0,350000000.0,350000000.0,350000000.0,350000000.0,1358000000.0,388000000.0,6164000000.0,2712000000.0,8876000000.0,8876000000.0,2023-07-31,
-223342.576254,0.111671,5306000000.0,-2000000.0,-2000000.0,3524000000.0,932000000.0,2304000000.0,5304000000.0,4372000000.0,130000000.0,405000000.0,3525776657.423746,3524000000.0,5042000000.0,4240000000.0,427000000.0,413000000.0,8.25,8.53,3524000000.0,3524000000.0,,3524000000.0,3524000000.0,3524000000.0,443000000.0,3967000000.0,-416000000.0,-414000000.0,-13000000.0,13000000.0,130000000.0,405000000.0,4253000000.0,2154000000.0,348000000.0,348000000.0,348000000.0,348000000.0,1388000000.0,418000000.0,6407000000.0,2888000000.0,9295000000.0,9295000000.0,2023-10-31,
-31415797.317437,0.050671,5233000000.0,-620000000.0,-620000000.0,1274000000.0,2345000000.0,3033000000.0,4613000000.0,2268000000.0,-926000000.0,926000000.0,1862584202.682563,1325000000.0,9258000000.0,2083000000.0,467000000.0,452000000.0,2.84,2.93,1325000000.0,1325000000.0,,1325000000.0,1325000000.0,1274000000.0,68000000.0,1342000000.0,-435000000.0,185000000.0,-620000000.0,620000000.0,-926000000.0,926000000.0,2703000000.0,4672000000.0,792000000.0,792000000.0,792000000.0,792000000.0,2308000000.0,1572000000.0,7375000000.0,4586000000.0,11961000000.0,11961000000.0,2024-01-31,51000000.0
