free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,operating_gains_losses,net_income_from_continuing_operations,date,interest_paid_supplemental_data,income_tax_paid_supplemental_data
4461000000.0,-274000000.0,-9000000.0,0.0,54000000.0,-122000000.0,12416000000.0,9977000000.0,2439000000.0,-2016000000.0,-2016000000.0,-5000000.0,-1782000000.0,-220000000.0,-274000000.0,54000000.0,-9000000.0,-9000000.0,-9000000.0,0.0,-128000000.0,-128000000.0,1000000.0,0.0,0.0,0.0,-7000000.0,-7000000.0,-122000000.0,-122000000.0,4583000000.0,4583000000.0,-353000000.0,-329000000.0,304000000.0,304000000.0,304000000.0,-87000000.0,-241000000.0,-241000000.0,203000000.0,387000000.0,-89000000.0,-89000000.0,1216000000.0,1216000000.0,1087000000.0,1087000000.0,129000000.0,-140000000.0,3359000000.0,2022-10-31,,
3933000000.0,-1521000000.0,-260000000.0,,,-103000000.0,12647000000.0,12416000000.0,231000000.0,-3702000000.0,-3702000000.0,5000000.0,-1926000000.0,-1521000000.0,-1521000000.0,,-260000000.0,-260000000.0,-260000000.0,,-103000000.0,-103000000.0,,0.0,,0.0,,,-103000000.0,-103000000.0,4036000000.0,4036000000.0,-581000000.0,-251000000.0,-80000000.0,-80000000.0,-80000000.0,26000000.0,-276000000.0,-276000000.0,-7000000.0,391000000.0,-573000000.0,-573000000.0,1032000000.0,1032000000.0,905000000.0,905000000.0,127000000.0,,3774000000.0,2023-01-31,,
4380000000.0,-3420000000.0,0.0,,,-122000000.0,11553000000.0,12647000000.0,-1094000000.0,-5278000000.0,-5278000000.0,-7000000.0,-1914000000.0,-3357000000.0,-3420000000.0,,0.0,0.0,0.0,,-318000000.0,-318000000.0,,-197000000.0,,-197000000.0,,,-122000000.0,-122000000.0,4502000000.0,4502000000.0,-169000000.0,-253000000.0,-114000000.0,-114000000.0,-114000000.0,13000000.0,185000000.0,185000000.0,54000000.0,513000000.0,-316000000.0,-316000000.0,939000000.0,939000000.0,810000000.0,810000000.0,129000000.0,,3481000000.0,2023-04-30,,
4597000000.0,-2167000000.0,0.0,0.0,0.0,-122000000.0,12055000000.0,11553000000.0,502000000.0,-4073000000.0,-4073000000.0,-5000000.0,-1901000000.0,-2167000000.0,-2167000000.0,0.0,0.0,0.0,0.0,0.0,-144000000.0,-144000000.0,12000000.0,-17000000.0,,-91000000.0,-17000000.0,-17000000.0,-122000000.0,-122000000.0,4719000000.0,4719000000.0,73000000.0,-294000000.0,188000000.0,188000000.0,188000000.0,44000000.0,135000000.0,135000000.0,33000000.0,629000000.0,-251000000.0,-251000000.0,932000000.0,932000000.0,810000000.0,810000000.0,122000000.0,,3303000000.0,2023-07-31,,
4723000000.0,-577000000.0,-143000000.0,0.0,59000000.0,-105000000.0,14189000000.0,12055000000.0,2134000000.0,-2570000000.0,-2570000000.0,-5000000.0,-1904000000.0,-518000000.0,-577000000.0,59000000.0,-143000000.0,-143000000.0,-143000000.0,0.0,-124000000.0,-124000000.0,-79000000.0,96000000.0,154000000.0,-58000000.0,-36000000.0,-36000000.0,-105000000.0,-105000000.0,4828000000.0,4828000000.0,-966000000.0,-894000000.0,215000000.0,215000000.0,215000000.0,-56000000.0,-231000000.0,-231000000.0,61000000.0,638000000.0,639000000.0,639000000.0,932000000.0,932000000.0,808000000.0,808000000.0,124000000.0,,3524000000.0,2023-10-31,,
4693000000.0,-8290000000.0,-934000000.0,30010000000.0,,-122000000.0,11864000000.0,14189000000.0,-2325000000.0,18337000000.0,18337000000.0,-14000000.0,-2435000000.0,-8290000000.0,-8290000000.0,,29076000000.0,29076000000.0,-934000000.0,30010000000.0,-25477000000.0,-25477000000.0,-15000000.0,76000000.0,89000000.0,-13000000.0,-25416000000.0,-25416000000.0,-122000000.0,-122000000.0,4815000000.0,4815000000.0,-283000000.0,-1951000000.0,-74000000.0,-74000000.0,-74000000.0,-14000000.0,1756000000.0,1756000000.0,140000000.0,1582000000.0,-294000000.0,-294000000.0,2345000000.0,2345000000.0,2206000000.0,2206000000.0,139000000.0,,1325000000.0,2024-01-31,750000000.0,904000000.0
