ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
536067352.0,536067352.0,3150000000.0,8217000000.0,4937000000.0,18815000000.0,6028000000.0,4937000000.0,1009000000.0,11607000000.0,18815000000.0,11872000000.0,265000000.0,11607000000.0,-219000000.0,-219000000.0,2985000000.0,8836000000.0,5000000.0,5000000.0,11254000000.0,8711000000.0,176000000.0,196000000.0,427000000.0,427000000.0,8108000000.0,900000000.0,7208000000.0,2543000000.0,385000000.0,148000000.0,148000000.0,109000000.0,109000000.0,,,1901000000.0,939000000.0,962000000.0,962000000.0,23126000000.0,14555000000.0,1181000000.0,3283000000.0,3283000000.0,772000000.0,6670000000.0,3114000000.0,3556000000.0,2649000000.0,,2649000000.0,,2649000000.0,,,,,8571000000.0,209000000.0,1300000000.0,1300000000.0,3004000000.0,3004000000.0,,,4058000000.0,4058000000.0,2022-12-31,
506120112.0,506120112.0,3064000000.0,8217000000.0,3531000000.0,17395000000.0,3321000000.0,3531000000.0,1007000000.0,10185000000.0,16146000000.0,10455000000.0,270000000.0,10185000000.0,-213000000.0,-213000000.0,2032000000.0,8361000000.0,5000000.0,5000000.0,11941000000.0,7539000000.0,222000000.0,,426000000.0,426000000.0,6891000000.0,930000000.0,5961000000.0,4402000000.0,392000000.0,186000000.0,186000000.0,1326000000.0,77000000.0,1249000000.0,1249000000.0,2498000000.0,1662000000.0,836000000.0,836000000.0,22396000000.0,14673000000.0,1226000000.0,3199000000.0,3199000000.0,954000000.0,6654000000.0,3097000000.0,3557000000.0,2640000000.0,,2640000000.0,,2640000000.0,,,,,7723000000.0,349000000.0,487000000.0,487000000.0,2741000000.0,2741000000.0,,,4146000000.0,4146000000.0,2023-03-31,
498480389.0,498480389.0,2938000000.0,8207000000.0,3735000000.0,17588000000.0,3494000000.0,3735000000.0,997000000.0,10378000000.0,16339000000.0,10658000000.0,280000000.0,10378000000.0,-149000000.0,-149000000.0,2269000000.0,8253000000.0,5000000.0,5000000.0,11208000000.0,7445000000.0,198000000.0,,361000000.0,361000000.0,6886000000.0,925000000.0,5961000000.0,3763000000.0,469000000.0,160000000.0,160000000.0,1321000000.0,72000000.0,1249000000.0,1249000000.0,1813000000.0,1028000000.0,785000000.0,785000000.0,21866000000.0,14609000000.0,1187000000.0,3090000000.0,3090000000.0,1034000000.0,6643000000.0,3084000000.0,3559000000.0,2655000000.0,-1966000000.0,4621000000.0,245000000.0,947000000.0,1904000000.0,1320000000.0,205000000.0,0.0,7257000000.0,265000000.0,543000000.0,543000000.0,2177000000.0,2177000000.0,-44000000.0,2221000000.0,4272000000.0,4272000000.0,2023-06-30,
484359762.0,484359762.0,3383000000.0,8189000000.0,3755000000.0,17596000000.0,3650000000.0,3755000000.0,977000000.0,10384000000.0,16346000000.0,10679000000.0,295000000.0,10384000000.0,-151000000.0,-151000000.0,2539000000.0,7991000000.0,5000000.0,5000000.0,10970000000.0,7381000000.0,178000000.0,,334000000.0,334000000.0,6869000000.0,907000000.0,5962000000.0,3589000000.0,354000000.0,254000000.0,254000000.0,1320000000.0,70000000.0,1250000000.0,1250000000.0,1661000000.0,812000000.0,849000000.0,849000000.0,21649000000.0,14410000000.0,1248000000.0,3042000000.0,3042000000.0,877000000.0,6629000000.0,3072000000.0,3557000000.0,2614000000.0,,2614000000.0,,2614000000.0,,,,,7239000000.0,239000000.0,751000000.0,751000000.0,2420000000.0,2420000000.0,,,3829000000.0,3829000000.0,2023-09-30,
476409839.0,476409839.0,4323000000.0,9410000000.0,3632000000.0,18697000000.0,4794000000.0,3632000000.0,965000000.0,10252000000.0,17447000000.0,10568000000.0,316000000.0,10252000000.0,-146000000.0,-146000000.0,2514000000.0,7879000000.0,5000000.0,5000000.0,12278000000.0,8571000000.0,187000000.0,,293000000.0,293000000.0,8091000000.0,896000000.0,7195000000.0,3707000000.0,312000000.0,167000000.0,167000000.0,1319000000.0,69000000.0,1250000000.0,1250000000.0,1909000000.0,925000000.0,984000000.0,984000000.0,22846000000.0,14345000000.0,1232000000.0,3065000000.0,3065000000.0,838000000.0,6620000000.0,3061000000.0,3559000000.0,2590000000.0,,2590000000.0,,2590000000.0,,,,,8501000000.0,340000000.0,1038000000.0,,3001000000.0,3001000000.0,,,4122000000.0,4122000000.0,2023-12-31,0.0
