tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement
0.0,0.21,-81549000.0,-205031000.0,15476000.0,155945000.0,-81549000.0,-97025000.0,1455000.0,7508000.0,8963000.0,-205031000.0,-205031000.0,971943000.0,-99239000.0,255874000.0,255874000.0,-0.8,-0.8,-205031000.0,-205031000.0,-205031000.0,-205031000.0,-205031000.0,100498000.0,-104533000.0,-6749000.0,-6749000.0,1455000.0,7508000.0,8963000.0,-99239000.0,815998000.0,473676000.0,342322000.0,186191000.0,156131000.0,156131000.0,716759000.0,155945000.0,872704000.0,817222000.0,2022-12-31,,,,
0.0,0.21,-131940000.0,-209037000.0,15523000.0,168652000.0,-131940000.0,-147463000.0,7069000.0,7978000.0,15047000.0,-209037000.0,-209037000.0,1077020000.0,-161567000.0,256825000.0,256825000.0,-0.81,-0.81,-209037000.0,-209037000.0,-209037000.0,-209037000.0,-209037000.0,53596000.0,-155441000.0,-943000.0,-943000.0,7069000.0,7978000.0,15047000.0,-161567000.0,908368000.0,522344000.0,386024000.0,220921000.0,165103000.0,165103000.0,746801000.0,168652000.0,915453000.0,854905000.0,2023-03-31,,,,
0.0,0.21,-21602000.0,-58952000.0,15304000.0,169776000.0,-21602000.0,-36906000.0,12039000.0,8540000.0,20579000.0,-58952000.0,-58952000.0,989487000.0,-50389000.0,257389000.0,257389000.0,-0.23,-0.23,-58952000.0,-58952000.0,-58952000.0,-58952000.0,-58952000.0,13506000.0,-45446000.0,-7096000.0,-7096000.0,12039000.0,8540000.0,20579000.0,-50389000.0,819711000.0,474855000.0,344856000.0,202621000.0,142235000.0,142235000.0,769322000.0,169776000.0,939098000.0,885638000.0,2023-06-30,,,,
0.0,0.21,13106000.0,-31883000.0,15084000.0,178029000.0,13106000.0,-1978000.0,16250000.0,8976000.0,25226000.0,-31883000.0,-31883000.0,996644000.0,-18869000.0,257907000.0,257907000.0,-0.12,-0.12,-31883000.0,-31883000.0,-31883000.0,-31883000.0,-31883000.0,20929000.0,-10954000.0,-8335000.0,-8335000.0,16250000.0,8976000.0,25226000.0,-18869000.0,818615000.0,481738000.0,336877000.0,193567000.0,143310000.0,143310000.0,799746000.0,178029000.0,977775000.0,930580000.0,2023-09-30,,,,
0.0,0.21,-14096000.0,-84469000.0,17012000.0,180236000.0,-14096000.0,-31108000.0,13592000.0,9001000.0,22593000.0,-84469000.0,-84469000.0,1109172000.0,-49062000.0,258601000.0,258601000.0,-0.33,-0.33,-84469000.0,-84469000.0,-84469000.0,-84469000.0,-84469000.0,44360000.0,-40109000.0,-4639000.0,-4639000.0,13592000.0,9001000.0,22593000.0,-49062000.0,914636000.0,536779000.0,375145000.0,217801000.0,157344000.0,157344000.0,865574000.0,194536000.0,1060110000.0,1001283000.0,2023-12-31,2712000.0,2712000.0,2712000.0,2712000.0
0.0,0.355145,51692000.0,12752000.0,23464000.0,213425000.0,51692000.0,28228000.0,12961000.0,8453000.0,21414000.0,12752000.0,12752000.0,1171324000.0,17804000.0,261778000.0,259717000.0,0.05,0.05,12752000.0,12752000.0,12752000.0,12752000.0,12752000.0,7023000.0,19775000.0,-10990000.0,-10990000.0,12961000.0,8453000.0,21414000.0,17804000.0,957899000.0,576490000.0,381409000.0,223814000.0,157595000.0,157595000.0,975703000.0,213425000.0,1189128000.0,1100885000.0,2024-03-31,,,,
