treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,dividends_payable,accounts_payable,total_assets,defined_pension_benefit,investments_and_advances,net_ppe,prepaid_assets,receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,minimum_pension_liabilities
22110132.0,52289868.0,74400000.0,0.0,1448408000.0,1448408000.0,1448408000.0,1448408000.0,1448408000.0,1448408000.0,1448408000.0,22859000.0,-7414000.0,-7414000.0,1168949000.0,2583261000.0,16481000.0,2170000.0,2170000.0,791048000.0,76984000.0,51224000.0,31970000.0,17895000.0,14075000.0,36547000.0,36547000.0,0.0,0.0,0.0,521362000.0,95166000.0,521362000.0,300028000.0,55419000.0,165915000.0,2239456000.0,,967221000.0,413874000.0,79201000.0,524937000.0,60537000.0,524937000.0,166357000.0,24267000.0,142090000.0,2022-12-31,
22110132.0,52289868.0,74400000.0,,1486967000.0,1486967000.0,1486967000.0,1486967000.0,1486967000.0,1486967000.0,1486967000.0,23265000.0,338000.0,338000.0,1169355000.0,2614083000.0,16466000.0,2170000.0,2170000.0,737002000.0,73501000.0,53522000.0,34223000.0,18142000.0,16081000.0,37187000.0,37187000.0,,,,546471000.0,20565000.0,546471000.0,322910000.0,55419000.0,168142000.0,2223969000.0,,988629000.0,417339000.0,62738000.0,533306000.0,59315000.0,533306000.0,179846000.0,57470000.0,122376000.0,2023-03-31,
22110132.0,52289868.0,74400000.0,,1544912000.0,1544912000.0,1544912000.0,1544912000.0,1544912000.0,1544912000.0,1544912000.0,22290000.0,-4150000.0,-4150000.0,1168380000.0,2676516000.0,16466000.0,2170000.0,2170000.0,780599000.0,76286000.0,55075000.0,34539000.0,18892000.0,15647000.0,39046000.0,39046000.0,,,,567932000.0,37443000.0,567932000.0,347795000.0,55419000.0,164718000.0,2325511000.0,,998172000.0,422903000.0,66399000.0,591008000.0,60367000.0,591008000.0,206506000.0,63510000.0,142996000.0,2023-06-30,
22110132.0,52289868.0,74400000.0,,1611889000.0,1611889000.0,1611889000.0,1611889000.0,1611889000.0,1611889000.0,1611889000.0,22671000.0,-12794000.0,-12794000.0,1168761000.0,2752137000.0,16466000.0,2170000.0,2170000.0,782660000.0,57291000.0,27744000.0,30698000.0,19653000.0,11045000.0,40831000.0,40831000.0,,,,578830000.0,,578830000.0,357614000.0,55419000.0,165797000.0,2394549000.0,65163000.0,994753000.0,434975000.0,71480000.0,620683000.0,59544000.0,620683000.0,172695000.0,69822000.0,102873000.0,2023-09-30,
22110132.0,52289868.0,74400000.0,,1662835000.0,1662835000.0,1662835000.0,1662835000.0,1662835000.0,1662835000.0,1662835000.0,23075000.0,9675000.0,-13400000.0,1169165000.0,2803689000.0,16466000.0,2170000.0,2170000.0,809129000.0,58178000.0,26260000.0,31391000.0,19910000.0,11481000.0,41210000.0,41210000.0,,,,588708000.0,,588708000.0,353709000.0,59377000.0,175622000.0,2471964000.0,34320000.0,1045494000.0,442610000.0,,625338000.0,58434000.0,,213530000.0,82017000.0,131513000.0,2023-12-31,23075000.0
22110132.0,52289868.0,74400000.0,,1726180000.0,1726180000.0,1726180000.0,1726180000.0,1726180000.0,1726180000.0,1726180000.0,,7997000.0,-15230000.0,1169317000.0,2868864000.0,16466000.0,2170000.0,2170000.0,829614000.0,49949000.0,23792000.0,26593000.0,20000000.0,6593000.0,40555000.0,40555000.0,,,,657052000.0,,657052000.0,384613000.0,59377000.0,213062000.0,2555794000.0,66270000.0,1056223000.0,461914000.0,,641691000.0,57470000.0,,208234000.0,76693000.0,131541000.0,2024-03-31,23227000.0
