tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.275,157608000.0,102064000.0,56902000.0,4047988000.0,157608000.0,100706000.0,19324000.0,7173000.0,26497000.0,102064000.0,102064000.0,5243365000.0,83409000.0,1793494000.0,1770929000.0,0.06,0.06,102064000.0,102064000.0,102064000.0,102064000.0,102064000.0,-8531000.0,93533000.0,-9200000.0,-18429000.0,19324000.0,7173000.0,26497000.0,83409000.0,1195377000.0,1195377000.0,1195377000.0,1195377000.0,1195377000.0,1278786000.0,4047988000.0,5326774000.0,4760512000.0,2022-12-31
0.0,0.266,196342000.0,90855000.0,64245000.0,4380603000.0,196342000.0,132097000.0,23583000.0,8278000.0,31861000.0,90855000.0,90855000.0,5693755000.0,106775000.0,1794453000.0,1774843000.0,0.05,0.05,90855000.0,90855000.0,90855000.0,90855000.0,90855000.0,32964000.0,123819000.0,-6539000.0,-6539000.0,23583000.0,8278000.0,31861000.0,106775000.0,1313152000.0,1313152000.0,1313152000.0,1313152000.0,1313152000.0,1419927000.0,4380603000.0,5800530000.0,5204800000.0,2023-03-31
0.0,0.152,250209000.0,145192000.0,66178000.0,4314101000.0,250209000.0,184031000.0,28817000.0,12813000.0,41630000.0,145192000.0,145192000.0,5690247000.0,147642000.0,1800102000.0,1779508000.0,0.08,0.08,145192000.0,145192000.0,145192000.0,145192000.0,145192000.0,26026000.0,171218000.0,-5241000.0,-5241000.0,28817000.0,12813000.0,41630000.0,147642000.0,1376146000.0,1376146000.0,1376146000.0,1376146000.0,1376146000.0,1523788000.0,4314101000.0,5837889000.0,5140346000.0,2023-06-30
0.0,0.217,197338000.0,91300000.0,67393000.0,4617768000.0,197338000.0,129945000.0,36942000.0,13295000.0,50237000.0,91300000.0,91300000.0,6096071000.0,87484000.0,1808311000.0,1784363000.0,0.05,0.05,91300000.0,91300000.0,91300000.0,91300000.0,91300000.0,25350000.0,116650000.0,-7776000.0,-7776000.0,36942000.0,13295000.0,50237000.0,87484000.0,1478303000.0,,1478303000.0,1478303000.0,1478303000.0,1565787000.0,4617768000.0,6183555000.0,5314683000.0,2023-09-30
0.0,0.21,263111000.0,1032653000.0,77184000.0,4880528000.0,263111000.0,185927000.0,40658000.0,13614000.0,54272000.0,1032653000.0,1032653000.0,6429927000.0,131099000.0,,,,,1032653000.0,1032653000.0,1032653000.0,1032653000.0,1032653000.0,-860340000.0,172313000.0,556000.0,556000.0,40658000.0,13614000.0,54272000.0,131099000.0,1549399000.0,1549399000.0,,,,1680498000.0,4880528000.0,6561026000.0,5563171000.0,2023-12-31
