treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,foreign_currency_translation_adjustments,treasury_stock,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,prepaid_assets,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
68000000.0,259000000.0,327000000.0,1608000000.0,5262000000.0,-8831000000.0,3049000000.0,1384000000.0,-8831000000.0,-2213000000.0,2472000000.0,-2212000000.0,1000000.0,-2213000000.0,-146000000.0,-6000000.0,-140000000.0,4254000000.0,-560000000.0,2747000000.0,2747000000.0,0.0,46694000000.0,13482000000.0,8797000000.0,,,4685000000.0,4685000000.0,33212000000.0,,577000000.0,577000000.0,32635000000.0,2552000000.0,30083000000.0,30083000000.0,44482000000.0,9886000000.0,927000000.0,6618000000.0,1632000000.0,4986000000.0,2341000000.0,,,,,,,34596000000.0,2258000000.0,,,17263000000.0,11421000000.0,11421000000.0,,,3654000000.0,3654000000.0,2022-12-31
72000000.0,255000000.0,327000000.0,744000000.0,4734000000.0,-8787000000.0,2514000000.0,994000000.0,-8787000000.0,-2220000000.0,2488000000.0,-2218000000.0,2000000.0,-2220000000.0,-142000000.0,-6000000.0,-136000000.0,4554000000.0,-342000000.0,2818000000.0,2818000000.0,0.0,45595000000.0,13092000000.0,,8384000000.0,8384000000.0,4708000000.0,4708000000.0,32503000000.0,,26000000.0,26000000.0,32477000000.0,2876000000.0,29601000000.0,29601000000.0,43377000000.0,9880000000.0,951000000.0,6567000000.0,1567000000.0,5000000000.0,2362000000.0,,,,,,,33497000000.0,1895000000.0,,,16620000000.0,10992000000.0,10992000000.0,,,3990000000.0,3990000000.0,2023-03-31
76000000.0,251000000.0,327000000.0,658000000.0,4701000000.0,-8933000000.0,1849000000.0,127000000.0,-8933000000.0,-2852000000.0,1057000000.0,-2851000000.0,1000000.0,-2852000000.0,-151000000.0,-151000000.0,,4914000000.0,-534000000.0,2747000000.0,2747000000.0,0.0,46268000000.0,12562000000.0,,8653000000.0,8653000000.0,3909000000.0,3909000000.0,33706000000.0,42000000.0,792000000.0,792000000.0,32872000000.0,3059000000.0,29813000000.0,29813000000.0,43417000000.0,9584000000.0,1041000000.0,6081000000.0,1472000000.0,4609000000.0,2462000000.0,-3857000000.0,6319000000.0,516000000.0,4018000000.0,1785000000.0,1785000000.0,33833000000.0,,144000000.0,2362000000.0,15940000000.0,11344000000.0,11344000000.0,-299000000.0,11643000000.0,4043000000.0,4043000000.0,2023-06-30
80000000.0,247000000.0,327000000.0,824000000.0,4678000000.0,-8923000000.0,1187000000.0,-377000000.0,-8923000000.0,-3491000000.0,399000000.0,-3490000000.0,1000000.0,-3491000000.0,-165000000.0,-17000000.0,-148000000.0,5400000000.0,-654000000.0,2728000000.0,2728000000.0,0.0,47200000000.0,12135000000.0,,8245000000.0,8245000000.0,3890000000.0,3890000000.0,35065000000.0,,788000000.0,788000000.0,34277000000.0,2737000000.0,31540000000.0,31540000000.0,43710000000.0,9022000000.0,1149000000.0,5432000000.0,1407000000.0,4025000000.0,2441000000.0,,,,,,,34688000000.0,2582000000.0,0.0,,16987000000.0,11265000000.0,11265000000.0,,,3854000000.0,3854000000.0,2023-09-30
83000000.0,243468133.0,326468133.0,132000000.0,4723000000.0,-8820000000.0,1274000000.0,-628000000.0,-8820000000.0,-3449000000.0,86000000.0,-3447000000.0,2000000.0,-3449000000.0,-155000000.0,-155000000.0,,5724000000.0,-425000000.0,2855000000.0,2855000000.0,0.0,50020000000.0,11734000000.0,8199000000.0,,,3535000000.0,3535000000.0,38286000000.0,,1188000000.0,1188000000.0,37098000000.0,2839000000.0,34259000000.0,34259000000.0,46573000000.0,8915000000.0,1098000000.0,5371000000.0,1347000000.0,4024000000.0,2446000000.0,,,,,,,37658000000.0,2816000000.0,12000000.0,,18451000000.0,11788000000.0,11788000000.0,,,4591000000.0,4591000000.0,2023-12-31
