tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.261,277100000.0,71100000.0,125200000.0,12399300000.0,277100000.0,151900000.0,-55700000.0,55700000.0,71100000.0,71100000.0,13754900000.0,144000000.0,156100000.0,154100000.0,0.46,0.46,71100000.0,71100000.0,71100000.0,71100000.0,71100000.0,25100000.0,96200000.0,7900000.0,7900000.0,-55700000.0,55700000.0,144000000.0,1355600000.0,1499600000.0,12399300000.0,13898900000.0,13898900000.0,2022-12-31
0.0,0.281,292500000.0,80300000.0,124800000.0,12259400000.0,292500000.0,167700000.0,-55900000.0,55900000.0,80300000.0,80300000.0,13602500000.0,168800000.0,156500000.0,154500000.0,0.51,0.52,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,31500000.0,111800000.0,-1100000.0,-1100000.0,-55900000.0,55900000.0,168800000.0,1343100000.0,1511900000.0,12259400000.0,13771300000.0,13771300000.0,2023-03-31
0.0,0.271713,389600000.0,150100000.0,127500000.0,13196900000.0,389600000.0,262100000.0,-56000000.0,56000000.0,150100000.0,150100000.0,14603400000.0,261800000.0,156600000.0,154500000.0,0.96,0.97,150100000.0,150100000.0,150100000.0,150100000.0,150100000.0,56000000.0,206100000.0,300000.0,300000.0,-56000000.0,56000000.0,261800000.0,1406500000.0,1668300000.0,13196900000.0,14865200000.0,14865200000.0,2023-06-30
0.0,0.261,348700000.0,120700000.0,129300000.0,13275700000.0,348700000.0,219400000.0,-56100000.0,56100000.0,120700000.0,120700000.0,14722400000.0,216200000.0,156600000.0,154800000.0,0.77,0.78,120700000.0,120700000.0,120700000.0,120700000.0,120700000.0,42600000.0,163300000.0,3200000.0,3200000.0,-56100000.0,56100000.0,216200000.0,1446700000.0,1662900000.0,13275700000.0,14938600000.0,14938600000.0,2023-09-30
0.0,0.299,316400000.0,78300000.0,143300000.0,12697600000.0,316400000.0,173100000.0,-61400000.0,61400000.0,78300000.0,78300000.0,14121800000.0,173900000.0,155700000.0,154200000.0,0.5,0.51,78300000.0,78300000.0,78300000.0,78300000.0,78300000.0,33400000.0,111700000.0,-800000.0,-800000.0,-61400000.0,61400000.0,173900000.0,1424200000.0,1598100000.0,12697600000.0,14295700000.0,14295700000.0,2023-12-31
