tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-756943.888445,0.084311,334646000.0,-8978000.0,-8978000.0,117445000.0,142228000.0,1380679000.0,325668000.0,183440000.0,-74567000.0,54643000.0,618000.0,125666056.111555,117445000.0,1749660000.0,203364000.0,82452097.0,81683430.0,1.42,1.44,117445000.0,117445000.0,117445000.0,117445000.0,117445000.0,-493000.0,10859000.0,128797000.0,-8978000.0,-8978000.0,8978000.0,-74567000.0,54643000.0,618000.0,212342000.0,368981000.0,142228000.0,142228000.0,,,,226753000.0,581323000.0,1380679000.0,1962002000.0,1962002000.0,2022-12-31
-2301099.0,0.109,384098000.0,-21111000.0,-21111000.0,116654000.0,145126000.0,1395546000.0,362987000.0,217861000.0,-85479000.0,86551000.0,1072000.0,135463901.0,116654000.0,1740678000.0,216789000.0,82605659.0,81784389.0,1.41,1.43,116654000.0,116654000.0,116654000.0,116654000.0,116654000.0,-383000.0,14273000.0,131310000.0,-21111000.0,-21111000.0,21111000.0,-85479000.0,86551000.0,1072000.0,237900000.0,345132000.0,145126000.0,145126000.0,,,,200006000.0,583032000.0,1395546000.0,1978578000.0,1978578000.0,2023-03-31
-3723874.0,0.077,403854000.0,-48362000.0,-48362000.0,115598000.0,145059000.0,1429540000.0,355492000.0,210433000.0,-84257000.0,85206000.0,949000.0,160236126.0,115598000.0,1762405000.0,209484000.0,82627933.0,81999746.0,1.4,1.41,115598000.0,115598000.0,115598000.0,115598000.0,115598000.0,0.0,9629000.0,125227000.0,-48362000.0,-48362000.0,48362000.0,-84257000.0,85206000.0,949000.0,257846000.0,332865000.0,145059000.0,145059000.0,,,,187806000.0,590711000.0,1429540000.0,2020251000.0,2020251000.0,2023-06-30
-1032867.0,0.099,422049000.0,-10433000.0,-10433000.0,163665000.0,146032000.0,1449136000.0,411616000.0,265584000.0,-82635000.0,83908000.0,1273000.0,173065133.0,163665000.0,1780355000.0,264311000.0,82972888.0,82215627.0,1.97,1.99,163665000.0,163665000.0,163665000.0,163665000.0,163665000.0,0.0,18011000.0,181676000.0,-10433000.0,-10433000.0,10433000.0,-82635000.0,83908000.0,1273000.0,274744000.0,331219000.0,146032000.0,146032000.0,114573000.0,114573000.0,31459000.0,185187000.0,605963000.0,1449136000.0,2055099000.0,2055099000.0,2023-09-30
-2028600.0,0.21,401001000.0,-9660000.0,-9660000.0,216418000.0,149733000.0,1445727000.0,391341000.0,241608000.0,-79314000.0,55354000.0,1720000.0,224049400.0,216418000.0,1791020000.0,265568000.0,83112757.0,82399478.0,2.6,2.63,216418000.0,216418000.0,216418000.0,216418000.0,216418000.0,0.0,-30164000.0,186254000.0,-9660000.0,-9660000.0,9660000.0,-79314000.0,55354000.0,1720000.0,275228000.0,345293000.0,149733000.0,149733000.0,,,,195560000.0,620521000.0,1445727000.0,2066248000.0,2066248000.0,2023-12-31
-917738.452554,0.131274,443599000.0,-6991000.0,-6991000.0,187438000.0,149181000.0,1471367000.0,436608000.0,287427000.0,-69735000.0,71665000.0,1930000.0,193511261.547446,187438000.0,1797898000.0,285497000.0,83249303.0,82579203.0,2.25,2.27,187438000.0,187438000.0,187438000.0,187438000.0,187438000.0,0.0,28324000.0,215762000.0,-6991000.0,-6991000.0,6991000.0,-69735000.0,71665000.0,1930000.0,292488000.0,326531000.0,149181000.0,149181000.0,,,,177350000.0,619019000.0,1471367000.0,2090386000.0,2090386000.0,2024-03-31
