ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
2701000000.0,2701000000.0,34617000000.0,65380000000.0,44116000000.0,118457000000.0,-13728000000.0,44116000000.0,19176000000.0,72253000000.0,106188000000.0,80383000000.0,8130000000.0,72253000000.0,-10780000000.0,-10780000000.0,77946000000.0,4817000000.0,270000000.0,270000000.0,167273000000.0,65865000000.0,14760000000.0,14760000000.0,14760000000.0,51105000000.0,17170000000.0,33935000000.0,101408000000.0,,,14275000000.0,2006000000.0,12269000000.0,12269000000.0,87133000000.0,27443000000.0,59690000000.0,1527000000.0,900000000.0,900000000.0,57263000000.0,247656000000.0,159976000000.0,16295000000.0,28137000000.0,28137000000.0,115544000000.0,,115544000000.0,,115544000000.0,,,,,87680000000.0,3169000000.0,3169000000.0,64706000000.0,8218000000.0,8218000000.0,11587000000.0,11587000000.0,2022-10-31
2700000000.0,2700000000.0,30587000000.0,58923000000.0,48519000000.0,115905000000.0,-16543000000.0,48519000000.0,19711000000.0,76693000000.0,111342000000.0,83991000000.0,7298000000.0,76693000000.0,-11680000000.0,-11680000000.0,83135000000.0,4969000000.0,269000000.0,269000000.0,159206000000.0,67008000000.0,14688000000.0,14688000000.0,14688000000.0,52320000000.0,17671000000.0,34649000000.0,92198000000.0,2488000000.0,2488000000.0,6603000000.0,2040000000.0,4563000000.0,4563000000.0,83107000000.0,25213000000.0,57894000000.0,,4152000000.0,727000000.0,53742000000.0,243197000000.0,167542000000.0,20134000000.0,28174000000.0,28174000000.0,119234000000.0,-101610000000.0,220844000000.0,10802000000.0,18474000000.0,67697000000.0,104554000000.0,19317000000.0,0.0,75655000000.0,2521000000.0,,56576000000.0,7933000000.0,7933000000.0,8625000000.0,8625000000.0,2023-01-31
2694000000.0,2694000000.0,33231000000.0,63867000000.0,44099000000.0,116211000000.0,-16994000000.0,44099000000.0,20061000000.0,72405000000.0,110525000000.0,79465000000.0,7060000000.0,72405000000.0,-11147000000.0,-11147000000.0,78035000000.0,5248000000.0,269000000.0,269000000.0,165588000000.0,70083000000.0,13999000000.0,,,56084000000.0,17964000000.0,38120000000.0,95505000000.0,,,7783000000.0,2097000000.0,5686000000.0,5686000000.0,87722000000.0,27527000000.0,60195000000.0,4602000000.0,1325000000.0,1325000000.0,54268000000.0,245053000000.0,166542000000.0,17098000000.0,28306000000.0,28306000000.0,121138000000.0,,121138000000.0,,121138000000.0,,,,,78511000000.0,3357000000.0,,56932000000.0,7647000000.0,7647000000.0,10575000000.0,10575000000.0,2023-04-30
2692000000.0,2692000000.0,30361000000.0,64801000000.0,51288000000.0,123805000000.0,-17188000000.0,51288000000.0,20552000000.0,79556000000.0,116362000000.0,85559000000.0,6003000000.0,79556000000.0,-10818000000.0,-10818000000.0,85470000000.0,4635000000.0,269000000.0,269000000.0,169562000000.0,70342000000.0,15109000000.0,,,55233000000.0,18427000000.0,36806000000.0,99220000000.0,,,9568000000.0,2125000000.0,7443000000.0,7443000000.0,89652000000.0,29239000000.0,60413000000.0,3067000000.0,770000000.0,770000000.0,56576000000.0,255121000000.0,173089000000.0,20826000000.0,28268000000.0,28268000000.0,123995000000.0,,123995000000.0,,123995000000.0,,,,,82032000000.0,3531000000.0,,56722000000.0,7891000000.0,7891000000.0,13888000000.0,13888000000.0,2023-07-31
2693000000.0,2693000000.0,36936000000.0,69739000000.0,51441000000.0,128546000000.0,-15839000000.0,51441000000.0,20649000000.0,79456000000.0,115798000000.0,85811000000.0,6355000000.0,79456000000.0,-11573000000.0,-11573000000.0,85831000000.0,4929000000.0,269000000.0,269000000.0,173363000000.0,69133000000.0,14304000000.0,,,54829000000.0,18487000000.0,36342000000.0,104230000000.0,,,14910000000.0,2162000000.0,12748000000.0,12748000000.0,89320000000.0,26132000000.0,63188000000.0,1533000000.0,606000000.0,606000000.0,61049000000.0,259174000000.0,170783000000.0,15944000000.0,28015000000.0,28015000000.0,126824000000.0,,126824000000.0,,126824000000.0,,,,,88391000000.0,3661000000.0,,63951000000.0,8625000000.0,8625000000.0,12154000000.0,12154000000.0,2023-10-31
8054000001.0,8054000001.0,30590000000.0,61321000000.0,55748000000.0,124318000000.0,-15538000000.0,55748000000.0,20864000000.0,83861000000.0,119993000000.0,90571000000.0,6710000000.0,83861000000.0,-11302000000.0,-11302000000.0,89814000000.0,4544000000.0,805000000.0,805000000.0,161828000000.0,69413000000.0,14629000000.0,,,54784000000.0,18652000000.0,36132000000.0,92415000000.0,2664000000.0,2664000000.0,6537000000.0,2212000000.0,4325000000.0,4325000000.0,83214000000.0,22636000000.0,60578000000.0,,3766000000.0,307000000.0,56812000000.0,252399000000.0,175522000000.0,17071000000.0,28113000000.0,28113000000.0,130338000000.0,-109049000000.0,239387000000.0,13390000000.0,19528000000.0,75140000000.0,111767000000.0,19562000000.0,0.0,76877000000.0,3322000000.0,,54892000000.0,8796000000.0,8796000000.0,9867000000.0,9867000000.0,2024-01-31
