tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-164194470.795501,0.161133,11253000000.0,-1019000000.0,-1019000000.0,6066000000.0,3134000000.0,50411000000.0,10234000000.0,7100000000.0,552000000.0,,,6920805529.204499,6066000000.0,78530000000.0,3330000000.0,3330000000.0,1.82,1.82,6066000000.0,6066000000.0,6066000000.0,-124000000.0,6190000000.0,6190000000.0,1189000000.0,7379000000.0,-623000000.0,130000000.0,-99000000.0,17000000.0,,552000000.0,-1632000000.0,,,7450000000.0,28119000000.0,3111000000.0,13217000000.0,11791000000.0,35569000000.0,50411000000.0,85980000000.0,85980000000.0,2022-12-31
-160680000.0,0.26,6704000000.0,-618000000.0,-618000000.0,1516000000.0,3092000000.0,38385000000.0,6086000000.0,2994000000.0,-348000000.0,865000000.0,517000000.0,1973320000.0,1516000000.0,59448000000.0,3334000000.0,3330000000.0,0.45,0.46,1516000000.0,1516000000.0,1516000000.0,-59000000.0,1575000000.0,1575000000.0,554000000.0,2129000000.0,-628000000.0,-49000000.0,49000000.0,-10000000.0,-569000000.0,-348000000.0,,865000000.0,517000000.0,3105000000.0,21063000000.0,-27000000.0,11972000000.0,9118000000.0,24168000000.0,38385000000.0,62553000000.0,62553000000.0,2023-03-31
-78640218.878249,0.183311,3453000000.0,-429000000.0,-429000000.0,-686000000.0,2813000000.0,40343000000.0,3024000000.0,211000000.0,-303000000.0,942000000.0,639000000.0,-335640218.878249,-686000000.0,64499000000.0,3337000000.0,3330000000.0,-0.21,-0.21,-686000000.0,-686000000.0,-686000000.0,-89000000.0,-597000000.0,-597000000.0,-134000000.0,-731000000.0,-373000000.0,-313000000.0,313000000.0,56000000.0,-116000000.0,-303000000.0,,942000000.0,639000000.0,-55000000.0,24156000000.0,-264000000.0,13777000000.0,10643000000.0,24101000000.0,40343000000.0,64444000000.0,64444000000.0,2023-06-30
-57886000.0,0.206,6579000000.0,-281000000.0,-281000000.0,-30670000000.0,34901000000.0,39745000000.0,6298000000.0,-28603000000.0,-553000000.0,1024000000.0,471000000.0,-30446886000.0,-30670000000.0,93290000000.0,3337000000.0,3330000000.0,-9.21,-9.21,-30670000000.0,-30670000000.0,-30670000000.0,-179000000.0,-30491000000.0,-30491000000.0,864000000.0,-29627000000.0,-257000000.0,-115000000.0,115000000.0,24000000.0,-166000000.0,-553000000.0,,1024000000.0,471000000.0,-28817000000.0,53545000000.0,32031000000.0,11897000000.0,9617000000.0,24728000000.0,39745000000.0,64473000000.0,64473000000.0,2023-09-30
-9801132586.558044,0.305703,37403000000.0,-32061000000.0,-32061000000.0,3394000000.0,-29649000000.0,43276000000.0,5342000000.0,5342000000.0,-833000000.0,432000000.0,270000000.0,25653867413.441956,3394000000.0,34131000000.0,3330000000.0,3330000000.0,1.02,1.02,3394000000.0,3394000000.0,3394000000.0,-15000000.0,3409000000.0,3409000000.0,1501000000.0,4910000000.0,-32007000000.0,-31671000000.0,-209000000.0,54000000.0,-390000000.0,-833000000.0,,432000000.0,270000000.0,37750000000.0,-9145000000.0,-32040000000.0,13018000000.0,9877000000.0,28605000000.0,43276000000.0,71881000000.0,71881000000.0,2023-12-31
-86800000.0,0.28,7650000000.0,-310000000.0,-310000000.0,2559000000.0,2612000000.0,30667000000.0,7340000000.0,4728000000.0,-418000000.0,1099000000.0,681000000.0,2782200000.0,2559000000.0,48954000000.0,3335000000.0,3331000000.0,0.77,0.77,2559000000.0,2559000000.0,2559000000.0,-54000000.0,2613000000.0,2613000000.0,1016000000.0,3629000000.0,-324000000.0,-257000000.0,257000000.0,-14000000.0,-53000000.0,-418000000.0,,1099000000.0,681000000.0,4371000000.0,18287000000.0,-1975000000.0,11571000000.0,8691000000.0,22658000000.0,30667000000.0,53325000000.0,53325000000.0,2024-03-31
