tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-268353113.91166,0.237061,21167000000.0,-1132000000.0,-1132000000.0,12471000000.0,3271000000.0,27607000000.0,20035000000.0,16764000000.0,-145000000.0,418000000.0,273000000.0,13334646886.08834,12471000000.0,50137000000.0,16425000000.0,166390927.0,166080703.0,74.95,75.09,12471000000.0,12471000000.0,12471000000.0,12471000000.0,12471000000.0,3875000000.0,16346000000.0,-1072000000.0,-1138000000.0,-1004000000.0,134000000.0,60000000.0,6000000.0,-145000000.0,,418000000.0,273000000.0,17563000000.0,22530000000.0,-272000000.0,4821000000.0,17981000000.0,40093000000.0,27607000000.0,67700000000.0,67700000000.0,2022-12-31
0.0,0.276349,16798000000.0,0.0,0.0,9592000000.0,3189000000.0,26971000000.0,16798000000.0,13609000000.0,120000000.0,354000000.0,474000000.0,9592000000.0,9592000000.0,49909000000.0,12380000000.0,166452843.0,166136010.0,57.68,57.79,9592000000.0,9592000000.0,9592000000.0,9592000000.0,9592000000.0,3663000000.0,13255000000.0,76000000.0,-679000000.0,-139000000.0,540000000.0,76000000.0,679000000.0,120000000.0,,354000000.0,474000000.0,13059000000.0,22938000000.0,-420000000.0,5366000000.0,17992000000.0,35997000000.0,26971000000.0,62968000000.0,62968000000.0,2023-03-31
197826680.387803,0.240373,21580000000.0,823000000.0,823000000.0,14025000000.0,3569000000.0,27831000000.0,22403000000.0,18834000000.0,-42000000.0,371000000.0,329000000.0,13399826680.387802,14025000000.0,49745000000.0,17636000000.0,166528141.0,166172986.0,84.22,84.4,14025000000.0,14025000000.0,14025000000.0,14025000000.0,14025000000.0,4438000000.0,18463000000.0,866000000.0,-3000000.0,8000000.0,11000000.0,43000000.0,826000000.0,-42000000.0,-784000000.0,371000000.0,329000000.0,17639000000.0,21914000000.0,-772000000.0,4984000000.0,17702000000.0,39553000000.0,27831000000.0,67384000000.0,67384000000.0,2023-06-30
281707000.0,0.227,22035000000.0,1241000000.0,1241000000.0,14800000000.0,3789000000.0,28434000000.0,23276000000.0,19487000000.0,366000000.0,353000000.0,719000000.0,13840707000.0,14800000000.0,51317000000.0,17867000000.0,166704213.0,166366906.0,88.78,88.96,14800000000.0,14800000000.0,14800000000.0,14800000000.0,14800000000.0,4334000000.0,19134000000.0,1283000000.0,382000000.0,437000000.0,55000000.0,42000000.0,859000000.0,366000000.0,,353000000.0,719000000.0,17485000000.0,22883000000.0,-1359000000.0,5447000000.0,18795000000.0,40368000000.0,28434000000.0,68802000000.0,68802000000.0,2023-09-30
278075000.0,0.245,21286000000.0,1135000000.0,1135000000.0,13789000000.0,3770000000.0,29945000000.0,22421000000.0,18651000000.0,189000000.0,394000000.0,583000000.0,12932075000.0,13789000000.0,55242000000.0,17267000000.0,166775520.0,166513706.0,82.68,82.81,13789000000.0,13789000000.0,13789000000.0,13789000000.0,13789000000.0,4468000000.0,18257000000.0,1162000000.0,361000000.0,471000000.0,110000000.0,27000000.0,774000000.0,189000000.0,,394000000.0,583000000.0,16906000000.0,25297000000.0,-496000000.0,5565000000.0,20228000000.0,42203000000.0,29945000000.0,72148000000.0,72148000000.0,2023-12-31
