tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,total_unusual_items,total_unusual_items_excluding_goodwill,special_income_charges,restructuring_and_mergern_acquisition
0.0,0.253146,440949000.0,251976000.0,87997000.0,3549959000.0,440949000.0,352952000.0,-15569000.0,15569000.0,251976000.0,251976000.0,5176091000.0,141972000.0,141049000.0,1.77,1.79,251976000.0,251976000.0,251976000.0,251976000.0,251976000.0,85407000.0,337383000.0,5393000.0,5393000.0,-15569000.0,15569000.0,347559000.0,1626132000.0,6252000.0,87997000.0,87997000.0,1531883000.0,1973691000.0,3549959000.0,5523650000.0,5523650000.0,2022-12-31,,,,
0.0,0.248,508485000.0,303957000.0,87215000.0,3751717000.0,508485000.0,421270000.0,-16864000.0,16864000.0,303957000.0,303957000.0,5355815000.0,141725000.0,140804000.0,2.14,2.16,303957000.0,303957000.0,303957000.0,303957000.0,303957000.0,100449000.0,404406000.0,11967000.0,11967000.0,-16864000.0,16864000.0,409303000.0,1604098000.0,5639000.0,87215000.0,87215000.0,1511244000.0,2013401000.0,3751717000.0,5765118000.0,5765118000.0,2023-03-31,,,,
0.0,0.241,561417000.0,344494000.0,90873000.0,3780263000.0,561417000.0,470544000.0,-16455000.0,16455000.0,344494000.0,344494000.0,5461111000.0,141247000.0,140574000.0,2.44,2.45,344494000.0,344494000.0,344494000.0,344494000.0,344494000.0,109595000.0,454089000.0,16649000.0,16649000.0,-16455000.0,16455000.0,453895000.0,1680848000.0,8322000.0,90873000.0,90873000.0,1581653000.0,2134743000.0,3780263000.0,5915006000.0,5915006000.0,2023-06-30,,,,
0.0,0.245,564747000.0,351198000.0,83860000.0,3715361000.0,564747000.0,480887000.0,-15827000.0,15827000.0,351198000.0,351198000.0,5359437000.0,140934000.0,140335000.0,2.49,2.5,351198000.0,351198000.0,351198000.0,351198000.0,351198000.0,113862000.0,465060000.0,15722000.0,15722000.0,-15827000.0,15827000.0,465165000.0,1644076000.0,8417000.0,83860000.0,83860000.0,1551799000.0,2109241000.0,3715361000.0,5824602000.0,5824602000.0,2023-09-30,,,,
0.0,0.243361,522697000.0,316875000.0,88581000.0,3552597000.0,522697000.0,434116000.0,-15323000.0,15323000.0,316875000.0,316875000.0,5167194000.0,140359000.0,139766000.0,2.26,2.27,316875000.0,316875000.0,316875000.0,316875000.0,316875000.0,101918000.0,418793000.0,15426000.0,15426000.0,-15323000.0,15323000.0,418690000.0,1614597000.0,3569000.0,88581000.0,88581000.0,1522447000.0,2033287000.0,3552597000.0,5585884000.0,5585884000.0,2023-12-31,,,,
-19514870.0,0.235,516523000.0,248894000.0,90610000.0,3708976000.0,433481000.0,342871000.0,-17690000.0,17690000.0,312421130.0,248894000.0,5380724000.0,140096000.0,139429000.0,1.78,1.79,248894000.0,248894000.0,248894000.0,248894000.0,248894000.0,76287000.0,325181000.0,-60036000.0,23006000.0,-17690000.0,17690000.0,402907000.0,1671748000.0,6211000.0,90610000.0,90610000.0,1574927000.0,2074655000.0,3708976000.0,5783631000.0,5783631000.0,2024-03-31,-83042000.0,-83042000.0,-83042000.0,83042000.0
