tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
-2723833.543506,0.181589,-15000000.0,-15000000.0,645000000.0,129000000.0,1462000000.0,392000000.0,1854000000.0,657276166.456494,645000000.0,617000000.0,617000000.0,28000000.0,645000000.0,-4000000.0,649000000.0,649000000.0,144000000.0,793000000.0,-15000000.0,15000000.0,0.0,22000000.0,22000000.0,13000000.0,13000000.0,9000000.0,666000000.0,22000000.0,644000000.0,14000000.0,630000000.0,1961000000.0,1961000000.0,2022-12-31
0.0,0.192,,,602000000.0,142000000.0,1409000000.0,619000000.0,2028000000.0,602000000.0,602000000.0,573000000.0,573000000.0,29000000.0,602000000.0,-4000000.0,606000000.0,606000000.0,144000000.0,750000000.0,,,1000000.0,21000000.0,21000000.0,13000000.0,13000000.0,8000000.0,694000000.0,25000000.0,669000000.0,20000000.0,649000000.0,1921000000.0,1921000000.0,2023-03-31
0.0,0.193,,,559000000.0,202000000.0,1346000000.0,879000000.0,2225000000.0,559000000.0,559000000.0,519000000.0,519000000.0,40000000.0,559000000.0,-6000000.0,565000000.0,565000000.0,134000000.0,699000000.0,,,-5000000.0,21000000.0,21000000.0,13000000.0,13000000.0,8000000.0,668000000.0,32000000.0,636000000.0,23000000.0,613000000.0,1841000000.0,1841000000.0,2023-06-30
-1581395.348837,0.197674,-8000000.0,-8000000.0,547000000.0,214000000.0,1368000000.0,945000000.0,2313000000.0,553418604.651163,547000000.0,510000000.0,510000000.0,37000000.0,547000000.0,-5000000.0,552000000.0,552000000.0,136000000.0,688000000.0,-8000000.0,8000000.0,0.0,18000000.0,18000000.0,12000000.0,12000000.0,6000000.0,676000000.0,29000000.0,647000000.0,25000000.0,622000000.0,1877000000.0,1877000000.0,2023-09-30
0.0,0.21,,,243000000.0,240000000.0,1316000000.0,1034000000.0,2350000000.0,243000000.0,243000000.0,215000000.0,215000000.0,36000000.0,243000000.0,-5000000.0,248000000.0,248000000.0,-1000000.0,247000000.0,,,-3000000.0,17000000.0,17000000.0,12000000.0,12000000.0,5000000.0,908000000.0,29000000.0,879000000.0,234000000.0,645000000.0,1778000000.0,1778000000.0,2023-12-31
