treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,current_notes_payable,payables_and_accrued_expenses,payables,other_payable,total_assets,investments_and_advances,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,645000000.0,645000000.0,14774000000.0,15326000000.0,8210000000.0,23536000000.0,8210000000.0,8210000000.0,22036000000.0,9149000000.0,939000000.0,8210000000.0,-15947000000.0,-15947000000.0,,16121000000.0,8030000000.0,6000000.0,6000000.0,355068000000.0,13826000000.0,13826000000.0,1500000000.0,1500000000.0,1500000000.0,26551000000.0,26551000000.0,26551000000.0,364217000000.0,165132000000.0,916000000.0,916000000.0,161745000000.0,161193000000.0,552000000.0,2022-12-31
,648129652.0,648129652.0,11594000000.0,12059000000.0,11555000000.0,23614000000.0,11555000000.0,11555000000.0,22114000000.0,12465000000.0,910000000.0,11555000000.0,-14067000000.0,-14067000000.0,,17592000000.0,8024000000.0,6000000.0,6000000.0,354226000000.0,10559000000.0,10559000000.0,1500000000.0,1500000000.0,1500000000.0,26633000000.0,26633000000.0,26633000000.0,366691000000.0,167361000000.0,745000000.0,745000000.0,163532000000.0,163067000000.0,465000000.0,2023-03-31
12187690.0,635957236.0,648144926.0,11276000000.0,12027000000.0,10561000000.0,22588000000.0,10561000000.0,10561000000.0,21088000000.0,11468000000.0,907000000.0,10561000000.0,-15182000000.0,-15182000000.0,202000000.0,17811000000.0,8128000000.0,6000000.0,6000000.0,356002000000.0,10527000000.0,10527000000.0,1500000000.0,1500000000.0,1500000000.0,26012000000.0,26012000000.0,26012000000.0,367470000000.0,165408000000.0,739000000.0,739000000.0,161725000000.0,160974000000.0,751000000.0,2023-06-30
14660410.0,633484516.0,648144926.0,11398000000.0,11967000000.0,8366000000.0,20333000000.0,8366000000.0,8366000000.0,19333000000.0,9256000000.0,890000000.0,8366000000.0,-19294000000.0,-19294000000.0,249000000.0,19765000000.0,8138000000.0,6000000.0,6000000.0,346336000000.0,10967000000.0,10967000000.0,1000000000.0,1000000000.0,1000000000.0,24335000000.0,24335000000.0,24335000000.0,355592000000.0,160420000000.0,717000000.0,717000000.0,156677000000.0,156108000000.0,569000000.0,2023-09-30
26484411.0,621664326.0,648148737.0,11260000000.0,11872000000.0,11766000000.0,23638000000.0,11766000000.0,11766000000.0,23388000000.0,12635000000.0,869000000.0,11766000000.0,-13458000000.0,-13458000000.0,503000000.0,17572000000.0,8149000000.0,6000000.0,6000000.0,366635000000.0,11622000000.0,11622000000.0,250000000.0,250000000.0,250000000.0,25957000000.0,25957000000.0,25957000000.0,379270000000.0,175504000000.0,594000000.0,594000000.0,171475000000.0,170863000000.0,612000000.0,2023-12-31
