tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.329186,60493836000.0,,,23807571000.0,36246835000.0,-44523191000.0,60493836000.0,24247001000.0,-21703199000.0,-12790641000.0,-33105111000.0,23807571000.0,13709687000.0,156322116000.0,46513048000.0,3175000000.0,3175000000.0,4.2,4.2,13709687000.0,13709687000.0,13709687000.0,-1037814000.0,14747501000.0,-10097884000.0,24845385000.0,,12192257000.0,37037642000.0,12227793000.0,,-1859446000.0,,-21703199000.0,,-12790641000.0,-33105111000.0,46513048000.0,200845307000.0,1823478000.0,,,40388043000.0,29467163000.0,14964203000.0,14964203000.0,247358355000.0,-44523191000.0,202835164000.0,202835164000.0,2022-12-31
2629033000.0,0.289,84134000000.0,9097000000.0,9097000000.0,30146000000.0,38583000000.0,79471000000.0,93231000000.0,54648000000.0,-8723000000.0,10732000000.0,2009000000.0,23678033000.0,30146000000.0,164801000000.0,44125000000.0,3161200000.0,3161200000.0,9.536252,9.536252,30146000000.0,30146000000.0,30146000000.0,-1093000000.0,31239000000.0,0.0,31239000000.0,,12677000000.0,43916000000.0,8514000000.0,,-583000000.0,9097000000.0,-8723000000.0,,10732000000.0,2009000000.0,44125000000.0,85330000000.0,2790000000.0,38583000000.0,38583000000.0,43957000000.0,,,,129455000000.0,79471000000.0,208926000000.0,208926000000.0,2023-03-31
3707996204.685251,0.263971,70666000000.0,14047000000.0,14047000000.0,25875000000.0,38391000000.0,78599000000.0,84713000000.0,46322000000.0,-16151000000.0,8117000000.0,,15535996204.685251,25875000000.0,160886000000.0,,3160000000.0,3160000000.0,8.2,8.2,25875000000.0,25875000000.0,25875000000.0,-1215000000.0,27090000000.0,0.0,27090000000.0,-1030000000.0,10085000000.0,38205000000.0,12710000000.0,-1337000000.0,,14047000000.0,-16151000000.0,8034000000.0,8117000000.0,,41646000000.0,82287000000.0,,38391000000.0,38391000000.0,43896000000.0,,,,123933000000.0,78599000000.0,202532000000.0,200309000000.0,2023-06-30
0.0,0.3,42108982000.0,,,2028373000.0,,117461556000.0,42108982000.0,42108982000.0,-29739711000.0,32424494000.0,2684783000.0,2028373000.0,2028373000.0,162299253000.0,41543026000.0,3155000000.0,3155000000.0,0.6,0.6,2028373000.0,2028373000.0,2028373000.0,-1305772000.0,3334145000.0,0.0,3334145000.0,,6350343000.0,9684488000.0,-2118827000.0,,-2118827000.0,,-29739711000.0,,32424494000.0,2684783000.0,41543026000.0,44837697000.0,1648249000.0,,,43189448000.0,28909959000.0,14279489000.0,14279489000.0,86380723000.0,117461556000.0,203842279000.0,203842279000.0,2023-09-30
