ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,fixed_assets_revaluation_reserve,foreign_currency_translation_adjustments,minimum_pension_liabilities,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,dueto_related_parties_current,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,prepaid_assets,inventory,other_inventories,raw_materials,receivables,duefrom_related_parties_current,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
63325000000.0,63325000000.0,476888531000.0,644738291000.0,103789917000.0,884394184000.0,-127873244000.0,103789917000.0,134148811000.0,373804704000.0,782369770000.0,437829273000.0,64024569000.0,373804704000.0,-226685902000.0,-10669956000.0,19389915000.0,-128299347000.0,-107106514000.0,0.0,505125277000.0,0.0,95365329000.0,95365329000.0,1180270071000.0,691393117000.0,408565066000.0,137923317000.0,,2556103000.0,32858163000.0,2556103000.0,30302060000.0,509811640000.0,101246574000.0,408565066000.0,10799997000.0,488876954000.0,25331346000.0,27878352000.0,27878352000.0,134926651000.0,32902237000.0,102024414000.0,,65325561000.0,36698853000.0,17342822000.0,35850857000.0,264889748000.0,6671247000.0,6671247000.0,258218501000.0,116234582000.0,7224218000.0,2459965000.0,63061711000.0,29174066000.0,69238025000.0,1618099344000.0,1257095634000.0,16309977000.0,13907963000.0,128717811000.0,128717811000.0,18088179000.0,30956611000.0,6981149000.0,6981149000.0,23975462000.0,,23975462000.0,0.0,270014787000.0,128893422000.0,141121365000.0,779100306000.0,-659965244000.0,1439065550000.0,9222438000.0,59819638000.0,151672132000.0,1068377417000.0,106219649000.0,43754276000.0,0.0,361003710000.0,328974000.0,2602680000.0,0.0,10236448000.0,23995133000.0,23995133000.0,23995133000.0,201711415000.0,2287213000.0,46947187000.0,199424202000.0,122129060000.0,88428111000.0,33700949000.0,2022-12-31
63224000000.0,63224000000.0,332860000000.0,435128000000.0,345951000000.0,678811000000.0,-188896000000.0,345951000000.0,102268000000.0,345951000000.0,678811000000.0,409271000000.0,63320000000.0,345951000000.0,-259202000000.0,-259202000000.0,,,,,509788000000.0,,95365000000.0,95365000000.0,1184070000000.0,618445000000.0,183316000000.0,146067000000.0,,,26751000000.0,2330000000.0,24421000000.0,435128000000.0,102268000000.0,332860000000.0,10499000000.0,565625000000.0,215958000000.0,,,202511000000.0,29494000000.0,173017000000.0,173017000000.0,,,,,147156000000.0,,,147156000000.0,,,,,,147156000000.0,1593341000000.0,1216612000000.0,,,175713000000.0,,,34269000000.0,,,34269000000.0,,,,261759000000.0,123504000000.0,138255000000.0,744872000000.0,-617995000000.0,1362867000000.0,,,120148000000.0,1242719000000.0,,,,376729000000.0,24585000000.0,,,,23399000000.0,23399000000.0,,198372000000.0,,,198372000000.0,130373000000.0,,,2023-03-31
63200000000.0,63200000000.0,489310000000.0,617578000000.0,96159000000.0,489310000000.0,-190343000000.0,96159000000.0,128268000000.0,352957000000.0,671307000000.0,416277000000.0,,352957000000.0,,,,,,,,,,,1156811000000.0,598340000000.0,180275000000.0,,,,,,,418065000000.0,99715000000.0,318350000000.0,,558471000000.0,217146000000.0,,,199513000000.0,28553000000.0,170960000000.0,170960000000.0,,,,,141812000000.0,,,141812000000.0,,,,,,141812000000.0,1573088000000.0,1204960000000.0,,,175433000000.0,,,34438000000.0,,,34438000000.0,,,,256798000000.0,119615000000.0,137183000000.0,738291000000.0,-616873000000.0,1355164000000.0,,,117147000000.0,1238017000000.0,,,,368128000000.0,20871000000.0,,,,21895000000.0,21895000000.0,,205124000000.0,,,205124000000.0,120238000000.0,,,2023-06-30
62900000000.0,62900000000.0,,131467840000.0,100849989000.0,367510091000.0,-174420926000.0,100849989000.0,131467840000.0,367510091000.0,367510091000.0,424544121000.0,57034030000.0,367510091000.0,-261573463000.0,-261573463000.0,,,,0.0,533719910000.0,0.0,95363644000.0,95363644000.0,1167597954000.0,633932991000.0,354122037000.0,137317089000.0,137317089000.0,2063337000.0,24684099000.0,,24684099000.0,105023825000.0,105023825000.0,,10722604000.0,533664963000.0,177420876000.0,,,26444015000.0,26444015000.0,,,,,22563159000.0,37861568000.0,269375345000.0,,,269375345000.0,,,,67139580000.0,,202235765000.0,1592142075000.0,1232898038000.0,30758960000.0,,133470022000.0,133470022000.0,17888594000.0,30521282000.0,14510542000.0,14510542000.0,16010740000.0,16010740000.0,,0.0,266660102000.0,120066266000.0,146593836000.0,753599078000.0,,753599078000.0,,,753599078000.0,,,,,359244037000.0,15624093000.0,,0.0,,20564752000.0,20564752000.0,,218487426000.0,,62718960000.0,155768466000.0,104567766000.0,76297904000.0,28269862000.0,2023-09-30
