tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
2399728.076139,0.239973,2098000000.0,10000000.0,10000000.0,1112000000.0,520000000.0,4627000000.0,2108000000.0,1588000000.0,-159000000.0,117000000.0,1104399728.076139,1112000000.0,5822000000.0,,517964000.0,516810000.0,2.15,2.15,1112000000.0,1112000000.0,1112000000.0,-6000000.0,1118000000.0,1118000000.0,353000000.0,1471000000.0,-81000000.0,-138000000.0,-26000000.0,21000000.0,-6000000.0,,11000000.0,47000000.0,36000000.0,-159000000.0,117000000.0,1711000000.0,1195000000.0,,190000000.0,976000000.0,844000000.0,132000000.0,191000000.0,-59000000.0,2906000000.0,4627000000.0,7533000000.0,7533000000.0,2022-12-31
5000000.0,0.25,1415000000.0,20000000.0,20000000.0,571000000.0,496000000.0,4194000000.0,1435000000.0,939000000.0,-170000000.0,170000000.0,556000000.0,571000000.0,5256000000.0,939000000.0,502220000.0,501175000.0,1.14,1.14,571000000.0,571000000.0,571000000.0,-5000000.0,576000000.0,576000000.0,193000000.0,769000000.0,88000000.0,31000000.0,-14000000.0,,9000000.0,,5000000.0,37000000.0,34000000.0,-170000000.0,170000000.0,851000000.0,1062000000.0,13000000.0,119000000.0,930000000.0,770000000.0,160000000.0,145000000.0,15000000.0,1913000000.0,4194000000.0,6107000000.0,6107000000.0,2023-03-31
-352800000.0,0.4,2566000000.0,-882000000.0,-882000000.0,440000000.0,556000000.0,8488000000.0,1684000000.0,1128000000.0,-204000000.0,204000000.0,969200000.0,440000000.0,9664000000.0,,495932000.0,495379000.0,0.89,0.89,440000000.0,440000000.0,440000000.0,-8000000.0,448000000.0,448000000.0,476000000.0,924000000.0,-862000000.0,-15000000.0,-738000000.0,,30000000.0,698000000.0,10000000.0,35000000.0,-144000000.0,-204000000.0,204000000.0,1990000000.0,1176000000.0,,104000000.0,1072000000.0,979000000.0,93000000.0,157000000.0,-64000000.0,3166000000.0,8488000000.0,11654000000.0,11654000000.0,2023-06-30
-45200000.0,0.4,1050000000.0,-113000000.0,-113000000.0,75000000.0,552000000.0,4004000000.0,937000000.0,385000000.0,-206000000.0,206000000.0,142800000.0,75000000.0,5092000000.0,,495056000.0,494517000.0,0.15,0.15,75000000.0,75000000.0,75000000.0,-7000000.0,82000000.0,82000000.0,97000000.0,179000000.0,-154000000.0,-69000000.0,-26000000.0,,12000000.0,0.0,14000000.0,28000000.0,-87000000.0,-206000000.0,206000000.0,539000000.0,1088000000.0,,96000000.0,992000000.0,799000000.0,193000000.0,151000000.0,42000000.0,1627000000.0,4004000000.0,5631000000.0,5631000000.0,2023-09-30
-34400000.0,0.4,915000000.0,-86000000.0,-86000000.0,172000000.0,565000000.0,3896000000.0,829000000.0,264000000.0,-213000000.0,184000000.0,223600000.0,172000000.0,5197000000.0,,494878000.0,494545000.0,0.35,0.35,172000000.0,172000000.0,172000000.0,-4000000.0,176000000.0,176000000.0,-96000000.0,80000000.0,-174000000.0,-89000000.0,-100000000.0,,778000000.0,,20000000.0,1000000.0,14000000.0,-213000000.0,184000000.0,467000000.0,1301000000.0,,79000000.0,1070000000.0,849000000.0,221000000.0,228000000.0,-7000000.0,1768000000.0,3896000000.0,5664000000.0,5664000000.0,2023-12-31
