tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
47607798.165138,0.21445,222000000.0,222000000.0,685000000.0,69000000.0,1401000000.0,151000000.0,1552000000.0,510607798.165138,685000000.0,941000000.0,934000000.0,0.7,0.71,660000000.0,660000000.0,25000000.0,685000000.0,685000000.0,685000000.0,187000000.0,872000000.0,222000000.0,-229000000.0,7000000.0,1000000.0,694000000.0,27000000.0,667000000.0,18000000.0,649000000.0,1997000000.0,1997000000.0,2022-12-31
-448000.0,0.224,-2000000.0,-2000000.0,612000000.0,63000000.0,1417000000.0,224000000.0,1641000000.0,613552000.0,612000000.0,942000000.0,935000000.0,0.62,0.63,588000000.0,588000000.0,24000000.0,612000000.0,612000000.0,612000000.0,177000000.0,789000000.0,-2000000.0,,2000000.0,-4000000.0,668000000.0,27000000.0,641000000.0,25000000.0,616000000.0,1949000000.0,1949000000.0,2023-03-31
0.0,0.202,,,581000000.0,61000000.0,1381000000.0,358000000.0,1739000000.0,581000000.0,581000000.0,939000000.0,939000000.0,0.59,0.59,556000000.0,556000000.0,25000000.0,581000000.0,581000000.0,581000000.0,147000000.0,728000000.0,,,,0.0,603000000.0,,603000000.0,,603000000.0,1957000000.0,1957000000.0,2023-06-30
-1045000.0,0.209,-5000000.0,-5000000.0,490000000.0,59000000.0,1291000000.0,475000000.0,1766000000.0,493955000.0,490000000.0,940000000.0,939000000.0,0.49,0.49,465000000.0,465000000.0,25000000.0,490000000.0,490000000.0,490000000.0,129000000.0,619000000.0,-5000000.0,,5000000.0,-1000000.0,639000000.0,26000000.0,613000000.0,27000000.0,586000000.0,1857000000.0,1857000000.0,2023-09-30
-23949044.585987,0.169851,-141000000.0,-141000000.0,391000000.0,53000000.0,1231000000.0,520000000.0,1751000000.0,508050955.414013,391000000.0,931000000.0,931000000.0,0.39,0.39,367000000.0,367000000.0,24000000.0,391000000.0,391000000.0,391000000.0,80000000.0,471000000.0,-141000000.0,,27000000.0,-2000000.0,639000000.0,31000000.0,608000000.0,28000000.0,580000000.0,1809000000.0,1809000000.0,2023-12-31
