tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,write_off,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2668000.0,0.232,1263400000.0,-11500000.0,-11500000.0,813100000.0,136800000.0,2450700000.0,1251900000.0,1115100000.0,159100000.0,57000000.0,216100000.0,821932000.0,813100000.0,3306400000.0,416200000.0,414300000.0,1.95,1.96,813100000.0,813100000.0,813100000.0,813100000.0,813100000.0,245000000.0,1058100000.0,1600000.0,13100000.0,0.0,0.0,0.0,-11500000.0,159100000.0,57000000.0,216100000.0,897400000.0,855700000.0,855700000.0,1753100000.0,2450700000.0,4203800000.0,4203800000.0,2022-12-31
-211500.0,0.235,1540200000.0,-900000.0,-900000.0,1043100000.0,137000000.0,2623800000.0,1539300000.0,1402300000.0,235200000.0,38300000.0,273500000.0,1043788500.0,1043100000.0,3561800000.0,415500000.0,413700000.0,2.51,2.52,1043100000.0,1043100000.0,1043100000.0,1043100000.0,1043100000.0,320900000.0,1364000000.0,12200000.0,13100000.0,0.0,0.0,0.0,-900000.0,235200000.0,38300000.0,273500000.0,1116600000.0,938000000.0,938000000.0,2054600000.0,2623800000.0,4678400000.0,4678400000.0,2023-03-31
-591825.775656,0.227625,1255500000.0,-2600000.0,-2600000.0,776700000.0,140400000.0,2485300000.0,1252900000.0,1112500000.0,195500000.0,106900000.0,302400000.0,778708174.224344,776700000.0,3442500000.0,414300000.0,412400000.0,1.87,1.88,776700000.0,776700000.0,776700000.0,776700000.0,776700000.0,228900000.0,1005600000.0,10500000.0,13100000.0,-1800000.0,0.0,1800000.0,-800000.0,195500000.0,106900000.0,302400000.0,799600000.0,957200000.0,957200000.0,1756800000.0,2485300000.0,4242100000.0,4242100000.0,2023-06-30
2717800.0,0.214,1313200000.0,12700000.0,12700000.0,859400000.0,141500000.0,2515400000.0,1325900000.0,1184400000.0,156600000.0,91600000.0,248200000.0,849417800.0,859400000.0,3395700000.0,413600000.0,411700000.0,2.08,2.09,859400000.0,859400000.0,859400000.0,859400000.0,859400000.0,233400000.0,1092800000.0,21200000.0,8500000.0,14600000.0,14600000.0,0.0,-1900000.0,156600000.0,91600000.0,248200000.0,915000000.0,880300000.0,880300000.0,1795300000.0,2515400000.0,4310700000.0,4310700000.0,2023-09-30
-139200.0,0.232,1389400000.0,-600000.0,-600000.0,878400000.0,140100000.0,2561600000.0,1388800000.0,1248700000.0,177300000.0,104900000.0,282200000.0,878860800.0,878400000.0,3484100000.0,412500000.0,411100000.0,2.13,2.14,878400000.0,878400000.0,878400000.0,878400000.0,878400000.0,265400000.0,1143800000.0,7900000.0,8500000.0,1400000.0,1400000.0,0.0,-2000000.0,177300000.0,104900000.0,282200000.0,958600000.0,922500000.0,922500000.0,1881100000.0,2561600000.0,4442700000.0,4442700000.0,2023-12-31
