tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.233,2932456000.0,,,1964950000.0,323558000.0,10561660000.0,2932456000.0,2608898000.0,37425000.0,7280000.0,44705000.0,1964950000.0,1964950000.0,13154702000.0,2593100000.0,638766821.0,630137262.0,3.08,3.12,1967035000.0,2085000.0,1964950000.0,1964950000.0,-31350000.0,1996300000.0,1996300000.0,605318000.0,2601618000.0,-28907000.0,-28907000.0,,,37425000.0,7280000.0,44705000.0,2593100000.0,2593042000.0,,2593042000.0,1550019000.0,1043023000.0,1043023000.0,5186142000.0,10561660000.0,15747802000.0,15747802000.0,2022-11-30
0.0,0.204,2301654000.0,,,1523648000.0,343114000.0,10979392000.0,2301654000.0,1958540000.0,38625000.0,11634000.0,50259000.0,1523648000.0,1523648000.0,13869577000.0,1944581000.0,637735390.0,630845147.0,2.39,2.42,1525252000.0,1604000.0,1523648000.0,1523648000.0,-27035000.0,1550683000.0,1550683000.0,396223000.0,1946906000.0,-36300000.0,-36300000.0,,,38625000.0,11634000.0,50259000.0,1944581000.0,2890185000.0,244390000.0,2645795000.0,1563567000.0,1082228000.0,1082228000.0,4834766000.0,10979392000.0,15814158000.0,15814158000.0,2023-02-28
0.0,0.221,3001236000.0,0.0,0.0,2009996000.0,358347000.0,11035515000.0,3001236000.0,2642889000.0,70610000.0,11208000.0,81818000.0,2009996000.0,2009996000.0,14205297000.0,2359288000.0,638743434.0,631535162.0,3.15,3.18,2012097000.0,2101000.0,2009996000.0,2009996000.0,-38339000.0,2048335000.0,2048335000.0,583346000.0,2631681000.0,201783000.0,201783000.0,0.0,0.0,70610000.0,11208000.0,81818000.0,2359288000.0,3169782000.0,346873000.0,2822909000.0,1738621000.0,1084288000.0,1084288000.0,5529070000.0,11035515000.0,16564585000.0,16564585000.0,2023-05-31
0.0,0.281204,2352266000.0,0.0,0.0,1372963000.0,375736000.0,10803571000.0,2352266000.0,1976530000.0,86224000.0,17403000.0,103627000.0,1372963000.0,1372963000.0,14072280000.0,1912920000.0,639249070.0,629922331.0,2.15,2.18,1374377000.0,1414000.0,1372963000.0,1372963000.0,-35249000.0,1408212000.0,1408212000.0,550915000.0,1959127000.0,-40017000.0,-40017000.0,0.0,0.0,86224000.0,17403000.0,103627000.0,1912920000.0,3268709000.0,471883000.0,2796826000.0,1730422000.0,1066404000.0,1066404000.0,5181629000.0,10803571000.0,15985200000.0,15985200000.0,2023-08-31
0.0,0.232,2974515000.0,,,1973444000.0,343367000.0,10776362000.0,2974515000.0,2631148000.0,87485000.0,14495000.0,101980000.0,1973444000.0,1973444000.0,13659416000.0,2564887000.0,637398361.0,627996111.0,3.1,3.14,1975460000.0,2016000.0,1973444000.0,1973444000.0,-36537000.0,2009981000.0,2009981000.0,606672000.0,2616653000.0,-35719000.0,-35719000.0,,,87485000.0,14495000.0,101980000.0,2564887000.0,2883054000.0,139664000.0,2743390000.0,1709891000.0,1033499000.0,1033499000.0,5447941000.0,10776362000.0,16224303000.0,16224303000.0,2023-11-30
0.0,0.184,2453531000.0,,,1674859000.0,347487000.0,10921045000.0,2453531000.0,2106044000.0,54964000.0,10305000.0,65269000.0,1674859000.0,1674859000.0,13753087000.0,2046427000.0,636797814.0,629016555.0,2.63,2.66,1676534000.0,1675000.0,1674859000.0,1674859000.0,-34343000.0,1709202000.0,1709202000.0,386537000.0,2095739000.0,-5652000.0,-5652000.0,,,54964000.0,10305000.0,65269000.0,2046427000.0,2832042000.0,115409000.0,2716633000.0,1631185000.0,1085448000.0,1085448000.0,4878469000.0,10921045000.0,15799514000.0,15799514000.0,2024-02-29
