tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-15390236.318408,0.162002,726100000.0,-95000000.0,-95000000.0,264400000.0,236500000.0,2254900000.0,631100000.0,394600000.0,-69500000.0,73000000.0,3500000.0,344009763.681592,264400000.0,3177000000.0,399200000.0,285800000.0,284600000.0,0.93,0.93,264400000.0,264400000.0,264400000.0,-5100000.0,269500000.0,269500000.0,52100000.0,321600000.0,-103100000.0,-8100000.0,-95000000.0,10500000.0,84500000.0,-69500000.0,73000000.0,3500000.0,494200000.0,922100000.0,922100000.0,1416300000.0,2254900000.0,3671200000.0,3671200000.0,2022-12-31
-4410000.0,0.18,629400000.0,-24500000.0,-24500000.0,233400000.0,234300000.0,2205200000.0,604900000.0,370600000.0,-74200000.0,80100000.0,5900000.0,253490000.0,233400000.0,3195500000.0,351600000.0,285900000.0,284600000.0,0.82,0.82,233400000.0,233400000.0,233400000.0,-4700000.0,238100000.0,238100000.0,52400000.0,290500000.0,-11400000.0,13100000.0,-24500000.0,6900000.0,17600000.0,-74200000.0,80100000.0,5900000.0,376100000.0,990300000.0,990300000.0,1366400000.0,2205200000.0,3571600000.0,3571600000.0,2023-03-31
-4326000.0,0.206,754400000.0,-21000000.0,-21000000.0,329700000.0,229400000.0,2334800000.0,733400000.0,504000000.0,-77800000.0,82700000.0,4900000.0,346374000.0,329700000.0,3346400000.0,484700000.0,286300000.0,284900000.0,1.15,1.16,329700000.0,329700000.0,329700000.0,-5000000.0,334700000.0,334700000.0,86600000.0,421300000.0,-6600000.0,14400000.0,-21000000.0,3800000.0,17200000.0,-77800000.0,82700000.0,4900000.0,505700000.0,1011600000.0,1011600000.0,1517300000.0,2334800000.0,3852100000.0,3852100000.0,2023-06-30
-7009700.0,0.191,863600000.0,-36700000.0,-36700000.0,404000000.0,229400000.0,2330500000.0,826900000.0,597500000.0,-74300000.0,91300000.0,17000000.0,433690300.0,404000000.0,3355400000.0,566000000.0,286900000.0,285100000.0,1.41,1.42,404000000.0,404000000.0,404000000.0,-5400000.0,409400000.0,409400000.0,96800000.0,506200000.0,-22200000.0,14500000.0,-36700000.0,13700000.0,23000000.0,-74300000.0,91300000.0,17000000.0,602700000.0,1024900000.0,1024900000.0,1627600000.0,2330500000.0,3958100000.0,3958100000.0,2023-09-30
-6883051.162791,0.235721,892000000.0,-29200000.0,-29200000.0,405200000.0,230500000.0,2284400000.0,862800000.0,632300000.0,-70400000.0,94800000.0,24400000.0,427516948.837209,405200000.0,3319200000.0,590000000.0,287100000.0,285300000.0,1.41,1.42,405200000.0,405200000.0,405200000.0,-5600000.0,410800000.0,410800000.0,126700000.0,537500000.0,-11300000.0,17900000.0,-29200000.0,7700000.0,21500000.0,-70400000.0,94800000.0,24400000.0,619200000.0,1034800000.0,1034800000.0,1654000000.0,2284400000.0,3938400000.0,3938400000.0,2023-12-31
