tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-27634000.0,0.082,779000000.0,-337000000.0,-337000000.0,118000000.0,203000000.0,3977000000.0,442000000.0,239000000.0,-75000000.0,69000000.0,4000000.0,427366000.0,118000000.0,5548000000.0,690300000.0,687000000.0,0.17,0.17,118000000.0,118000000.0,118000000.0,-38000000.0,156000000.0,156000000.0,14000000.0,170000000.0,-275000000.0,-345000000.0,345000000.0,62000000.0,8000000.0,-75000000.0,10000000.0,69000000.0,4000000.0,520000000.0,1571000000.0,1571000000.0,2091000000.0,3977000000.0,6068000000.0,6068000000.0,2022-12-31
-90200000.0,0.22,910000000.0,-410000000.0,-410000000.0,133000000.0,206000000.0,4445000000.0,500000000.0,294000000.0,-79000000.0,71000000.0,3000000.0,452800000.0,133000000.0,6024000000.0,689700000.0,686800000.0,0.19,0.19,133000000.0,133000000.0,133000000.0,-41000000.0,174000000.0,174000000.0,49000000.0,223000000.0,-360000000.0,-418000000.0,418000000.0,50000000.0,8000000.0,-79000000.0,11000000.0,71000000.0,3000000.0,662000000.0,1579000000.0,1579000000.0,2241000000.0,4445000000.0,6686000000.0,6686000000.0,2023-03-31
-16590000.0,0.21,1163000000.0,-79000000.0,-79000000.0,1049000000.0,212000000.0,4702000000.0,1084000000.0,872000000.0,-82000000.0,79000000.0,10000000.0,1111410000.0,1049000000.0,6257000000.0,686200000.0,683300000.0,1.53,1.535197,1049000000.0,1049000000.0,1049000000.0,-73000000.0,1122000000.0,1122000000.0,-329000000.0,793000000.0,-1000000.0,-81000000.0,81000000.0,78000000.0,2000000.0,-82000000.0,13000000.0,79000000.0,10000000.0,876000000.0,1555000000.0,1555000000.0,2431000000.0,4702000000.0,7133000000.0,7133000000.0,2023-06-30
,,,,,,,,,,,,,,,,683300000.0,680300000.0,0.8,0.806997,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-30
-5880000.0,0.21,753000000.0,-28000000.0,-28000000.0,374000000.0,231000000.0,4102000000.0,725000000.0,494000000.0,-110000000.0,91000000.0,5000000.0,396120000.0,374000000.0,5615000000.0,682400000.0,680700000.0,0.55,0.55,374000000.0,374000000.0,374000000.0,-30000000.0,404000000.0,404000000.0,-1000000.0,403000000.0,34000000.0,-39000000.0,39000000.0,62000000.0,11000000.0,-110000000.0,24000000.0,91000000.0,5000000.0,479000000.0,1513000000.0,1513000000.0,1992000000.0,4102000000.0,6094000000.0,6094000000.0,2023-12-31
