treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,unrealized_gain_loss,treasury_stock,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,duefrom_related_parties_non_current,non_current_note_receivables,non_current_accounts_receivable,financial_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,inventory,other_inventories,raw_materials,receivables,other_receivables,duefrom_related_parties_current,taxes_receivable,loans_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,other_equity_interest,dividends_payable
,2301227763.0,2301227763.0,49656998000.0,61149292000.0,30524215000.0,170900920000.0,23182251000.0,30524215000.0,753168000.0,110504796000.0,162086548000.0,111028636000.0,523840000.0,110504796000.0,40799242000.0,40799242000.0,,,,69705554000.0,69705554000.0,159188826000.0,132747950000.0,67412254000.0,,4947234000.0,4947234000.0,1096136000.0,6508268000.0,213921000.0,6294347000.0,52110601000.0,528849000.0,51581752000.0,209099000.0,26440876000.0,5558132000.0,1653122000.0,1653122000.0,9038691000.0,224319000.0,8814372000.0,8814372000.0,1171081000.0,1912423000.0,7107427000.0,2318554000.0,4788873000.0,1271700000.0,0.0,3517173000.0,270217462000.0,220594335000.0,13046753000.0,0.0,,,1223316000.0,328806000.0,57609813000.0,485507000.0,34403170000.0,0.0,2178906000.0,2178906000.0,32224264000.0,79980581000.0,79887942000.0,92639000.0,34739705000.0,-47625517000.0,82365222000.0,2716242000.0,79648980000.0,45167678000.0,11214819000.0,0.0,49623127000.0,3153582000.0,501355000.0,688359000.0,3098401000.0,429310000.0,429310000.0,0.0,18429902000.0,707875000.0,,2885138000.0,692839000.0,4794924000.0,-2142074000.0,6936998000.0,23322218000.0,12583092000.0,10739126000.0,10679687000.0,59439000.0,2022-12-31,,
,2307099811.0,2307099811.0,47740428000.0,60062286000.0,31260500000.0,170242414000.0,24879195000.0,31260500000.0,703988000.0,110884116000.0,161773889000.0,111017341000.0,133225000.0,110884116000.0,40562451000.0,40562451000.0,,,498193000.0,69823472000.0,69823472000.0,156813536000.0,133173091000.0,38130853000.0,,4820715000.0,4820715000.0,7369060000.0,179024000.0,179024000.0,,51370700000.0,480927000.0,50889773000.0,31302739000.0,23640445000.0,5388856000.0,1628041000.0,1628041000.0,8691586000.0,223061000.0,8468525000.0,8468525000.0,1205807000.0,1939862000.0,4786293000.0,1792815000.0,2993478000.0,536297000.0,,2457181000.0,267830877000.0,219311237000.0,13162481000.0,0.0,,,0.0,198134000.0,56370453000.0,316755000.0,34885356000.0,,2148612000.0,2148612000.0,32736744000.0,79623616000.0,,,34754442000.0,,,,,,,,48519640000.0,3936453000.0,437191000.0,608652000.0,3162308000.0,447028000.0,447028000.0,,19783316000.0,693573000.0,918673000.0,2865647000.0,669292000.0,5001319000.0,,,20144692000.0,8526822000.0,11617870000.0,,,2023-03-31,,
53412610.0,2253687201.0,2307099811.0,46632395000.0,58713391000.0,32157878000.0,169462801000.0,13908917000.0,32157878000.0,652430000.0,111401840000.0,153246840000.0,111464404000.0,62564000.0,111401840000.0,41195362000.0,41195362000.0,0.0,1980261000.0,2195099000.0,69991640000.0,69991640000.0,151999637000.0,122159331000.0,37582591000.0,681211000.0,4813721000.0,4813721000.0,1040850000.0,6938576000.0,209099000.0,6498058000.0,42266876000.0,421876000.0,41845000000.0,28835506000.0,29840306000.0,6562776000.0,162794000.0,,16446515000.0,230554000.0,16215961000.0,16215961000.0,346904000.0,2474572000.0,3846745000.0,1826345000.0,2020400000.0,602000.0,,2019798000.0,263464041000.0,219714818000.0,4710319000.0,0.0,3475864000.0,3475864000.0,0.0,55015000.0,52828762000.0,18117000.0,44477456000.0,,11236881000.0,11236881000.0,33240575000.0,79243962000.0,,,34905323000.0,,,,,,,,43749223000.0,3724932000.0,371791000.0,641302000.0,1567591000.0,465961000.0,465961000.0,,18351779000.0,473302000.0,0.0,3055076000.0,372567000.0,4525786000.0,,,18625867000.0,7197301000.0,11428566000.0,,,2023-06-30,,
,2253687201.0,2253687201.0,52641909000.0,74246351000.0,34030990000.0,186765027000.0,27122801000.0,34030990000.0,599439000.0,113118115000.0,167691583000.0,113173796000.0,55681000.0,113118115000.0,41025541000.0,41025541000.0,,1972514000.0,4073448000.0,69991640000.0,69991640000.0,163633213000.0,132720934000.0,39154650000.0,478821000.0,4809692000.0,4809692000.0,1158993000.0,5865059000.0,209099000.0,5456098000.0,54944754000.0,371286000.0,54573468000.0,26308965000.0,30912279000.0,3400484000.0,159332000.0,,19301597000.0,228153000.0,19073444000.0,19073444000.0,350188000.0,2540596000.0,5160082000.0,1568705000.0,3591377000.0,1077939000.0,108599000.0,2513438000.0,276807009000.0,218771929000.0,4474101000.0,0.0,3502430000.0,3502430000.0,0.0,93739000.0,50013092000.0,94939000.0,42724792000.0,,9237148000.0,9237148000.0,33487644000.0,79087125000.0,,,38781711000.0,,,,,,,,58035080000.0,2790400000.0,378695000.0,277754000.0,674649000.0,452858000.0,,,22184371000.0,372019000.0,0.0,4598342000.0,328470000.0,5257407000.0,,,31276353000.0,10271350000.0,21005003000.0,,,2023-09-30,,
61142970.0,2245956841.0,2307099811.0,49887956000.0,63151074000.0,31081652000.0,175267699000.0,20737340000.0,31081652000.0,216747000.0,112333372000.0,161782815000.0,112464644000.0,131272000.0,112333372000.0,44455988000.0,44455988000.0,,2114256000.0,,70099826000.0,70099826000.0,154593010000.0,127433219000.0,39178452000.0,657514000.0,5293808000.0,5293808000.0,1140953000.0,5906694000.0,86612000.0,5721830000.0,49622170000.0,172727000.0,49449443000.0,25201287000.0,27159791000.0,4002904000.0,138690000.0,138690000.0,13528904000.0,44020000.0,13484884000.0,13484884000.0,301387000.0,2420105000.0,6767801000.0,1700533000.0,5067268000.0,948565000.0,21278000.0,2963867000.0,267057654000.0,219160523000.0,9624505000.0,,,,0.0,260409000.0,58581061000.0,0.0,33637407000.0,,1537105000.0,1537105000.0,32100302000.0,81251720000.0,81251720000.0,,35805421000.0,-46318082000.0,82123503000.0,4500092000.0,77623411000.0,,,,47897131000.0,2679030000.0,373606000.0,3187141000.0,447688000.0,426690000.0,,,21816434000.0,871558000.0,,4207227000.0,367741000.0,5210482000.0,-2911525000.0,8122007000.0,18966542000.0,5920171000.0,13046371000.0,12995101000.0,51270000.0,2023-12-31,-108186000.0,1154836000.0
