tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
364403160.0,0.34,1212323000.0,1071774000.0,1071774000.0,-478623000.0,879649000.0,-8814771000.0,2284097000.0,-249863000.0,-2410843000.0,888030000.0,230384000.0,-1185993840.0,-478623000.0,9427307000.0,,,,,,-478623000.0,-478623000.0,-478623000.0,,-478623000.0,0.0,-478623000.0,-659270000.0,-1137893000.0,1688829000.0,-84852000.0,-62000.0,62000.0,701907000.0,1071836000.0,-2410843000.0,1753197000.0,888030000.0,230384000.0,-418029000.0,18242078000.0,11693130000.0,340964000.0,2533960000.0,2533960000.0,3674024000.0,3674024000.0,3674024000.0,17824049000.0,-8814771000.0,9009278000.0,9009278000.0,2022-12-31
0.0,0.34,4392891000.0,,,405963000.0,903383000.0,4014975000.0,4392891000.0,3489508000.0,-3132821000.0,,,405963000.0,405963000.0,5720325000.0,3489508000.0,2307099811.0,2307099811.0,0.175962,0.175962,405963000.0,405963000.0,405963000.0,0.0,405963000.0,,405963000.0,448093000.0,854056000.0,497369000.0,-11457000.0,,,508826000.0,,-3132821000.0,3132821000.0,,,3489508000.0,1705350000.0,1705350000.0,,,,,,,5194858000.0,4014975000.0,9209833000.0,9209833000.0,2023-03-31
0.0,0.211566,4275175000.0,,,2099895000.0,894206000.0,4411148000.0,4275175000.0,3380969000.0,-3698179000.0,,,2099895000.0,2099895000.0,4374627000.0,4993903000.0,,,,,2099895000.0,2099895000.0,2099895000.0,148977000.0,1950918000.0,,1950918000.0,523503000.0,2474421000.0,1301730000.0,72991000.0,,,630739000.0,,-3698179000.0,309179000.0,,,4870903000.0,-36521000.0,-159521000.0,,,,,,,4834382000.0,4411148000.0,9245530000.0,9245530000.0,2023-06-30
157080000.0,0.34,2886900000.0,462000000.0,462000000.0,1483898000.0,924666000.0,4716330000.0,3348900000.0,2424234000.0,-3183000000.0,1653000000.0,16000000.0,1178978000.0,1151884000.0,6733116000.0,,,,,,1151884000.0,1151884000.0,1151884000.0,7311000.0,1144573000.0,,1476587000.0,-705353000.0,771234000.0,1907079000.0,786253000.0,,,658826000.0,462000000.0,-3183000000.0,1546000000.0,1653000000.0,16000000.0,2048314000.0,2016786000.0,1619786000.0,397000000.0,,,,,,4065100000.0,4716330000.0,8781430000.0,8781430000.0,2023-09-30
472402460.0,0.34,-1593081000.0,1389419000.0,1389419000.0,892032000.0,899087000.0,-7617460000.0,-203662000.0,-1102749000.0,-2920713000.0,1268585000.0,-15542000.0,-24984540.0,892032000.0,10169571000.0,,,,,,892032000.0,892032000.0,892032000.0,-1375000.0,893407000.0,0.0,893407000.0,-3264741000.0,-2371334000.0,795643000.0,-857475000.0,,,263699000.0,450755000.0,-2920713000.0,1636586000.0,1268585000.0,-15542000.0,-247456000.0,17787031000.0,8834956000.0,58163000.0,,,,,,17539575000.0,-7617460000.0,9922115000.0,9922115000.0,2023-12-31
