tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
28400000.0,0.207299,137000000.0,137000000.0,543000000.0,381000000.0,1056000000.0,2141000000.0,3197000000.0,434400000.0,543000000.0,815846000.0,811586000.0,0.62,0.63,509000000.0,509000000.0,34000000.0,543000000.0,0.0,543000000.0,543000000.0,142000000.0,685000000.0,137000000.0,,,0.0,,-491000000.0,16000000.0,16000000.0,16000000.0,16000000.0,1802000000.0,1802000000.0,1802000000.0,3832000000.0,3832000000.0,2022-12-31
0.0,0.21,,,976000000.0,351000000.0,1128000000.0,2814000000.0,3942000000.0,976000000.0,976000000.0,807718000.0,803340000.0,1.12,1.13,905000000.0,905000000.0,71000000.0,976000000.0,0.0,976000000.0,976000000.0,260000000.0,1236000000.0,,,,,,-30000000.0,14000000.0,14000000.0,14000000.0,14000000.0,1791000000.0,1791000000.0,1791000000.0,4278000000.0,4278000000.0,2023-03-31
0.0,0.202,,,1067000000.0,379000000.0,1100000000.0,4124000000.0,5224000000.0,1067000000.0,1067000000.0,790725000.0,787718000.0,1.3,1.31,1031000000.0,1031000000.0,36000000.0,1067000000.0,-1000000.0,1068000000.0,1068000000.0,270000000.0,1338000000.0,,,,,,-19000000.0,14000000.0,14000000.0,14000000.0,14000000.0,1718000000.0,1718000000.0,1718000000.0,4361000000.0,4361000000.0,2023-06-30
-8272000.0,0.188,-44000000.0,-44000000.0,1038000000.0,392000000.0,1016000000.0,4503000000.0,5519000000.0,1073728000.0,1038000000.0,781781000.0,777813000.0,1.22,1.23,956000000.0,956000000.0,82000000.0,1038000000.0,-3000000.0,1041000000.0,1041000000.0,241000000.0,1282000000.0,-44000000.0,2000000.0,5000000.0,0.0,41000000.0,-33000000.0,15000000.0,15000000.0,15000000.0,15000000.0,1755000000.0,1755000000.0,1755000000.0,4285000000.0,4285000000.0,2023-09-30
-128000000.0,0.125,-1024000000.0,-1024000000.0,205000000.0,626000000.0,1101000000.0,4862000000.0,5963000000.0,1101000000.0,205000000.0,772102000.0,767146000.0,0.33,0.33,159000000.0,159000000.0,46000000.0,205000000.0,2000000.0,203000000.0,203000000.0,29000000.0,232000000.0,-1024000000.0,,680000000.0,0.0,200000000.0,26000000.0,14000000.0,14000000.0,14000000.0,14000000.0,1831000000.0,1831000000.0,1831000000.0,4367000000.0,4367000000.0,2023-12-31
