treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,106150661.0,106150661.0,397860000.0,1740854000.0,1249350000.0,2064830000.0,450727000.0,1249350000.0,1333200000.0,1657176000.0,2062727000.0,1657176000.0,1657176000.0,4337000.0,4337000.0,1170421000.0,482312000.0,106000.0,106000.0,0.0,2694066000.0,1687308000.0,12730000.0,41520000.0,41520000.0,1633058000.0,1227507000.0,405551000.0,1006758000.0,10060000.0,10060000.0,107796000.0,105693000.0,2103000.0,2103000.0,23561000.0,52919000.0,812422000.0,169871000.0,642551000.0,51668000.0,,590883000.0,4351242000.0,2893757000.0,10974000.0,11265000.0,11265000.0,407826000.0,152353000.0,255473000.0,2463692000.0,-452149000.0,2915841000.0,653151000.0,145709000.0,16646000.0,509075000.0,1305298000.0,285962000.0,0.0,1457485000.0,53298000.0,1292336000.0,102057000.0,7325000.0,94732000.0,-400000.0,95132000.0,9794000.0,9794000.0,2022-12-31
,106271016.0,106271016.0,298817000.0,1669216000.0,1321354000.0,2032268000.0,321944000.0,1321354000.0,1365365000.0,1728417000.0,2030165000.0,1728417000.0,1728417000.0,3488000.0,3488000.0,1241945000.0,482878000.0,106000.0,106000.0,0.0,2606776000.0,1600247000.0,10116000.0,36816000.0,36816000.0,1553315000.0,1251567000.0,301748000.0,1006529000.0,14418000.0,14418000.0,115901000.0,113798000.0,2103000.0,2103000.0,,,876210000.0,285557000.0,590653000.0,18178000.0,18178000.0,572475000.0,4335193000.0,3006720000.0,9088000.0,14073000.0,14073000.0,407063000.0,151590000.0,255473000.0,2576496000.0,,2576496000.0,,,2576496000.0,,,,,1328473000.0,54300000.0,1181147000.0,87992000.0,0.0,87992000.0,,,5034000.0,5034000.0,2023-03-31
,106390951.0,106390951.0,228077000.0,1628135000.0,1395185000.0,2042027000.0,219350000.0,1395185000.0,1395887000.0,1809779000.0,2039924000.0,1809779000.0,1809779000.0,3362000.0,3362000.0,1313397000.0,492914000.0,106000.0,106000.0,0.0,2665691000.0,1549508000.0,10343000.0,32093000.0,32093000.0,1507072000.0,1276927000.0,230145000.0,1116183000.0,14384000.0,14384000.0,121063000.0,118960000.0,2103000.0,2103000.0,,,980736000.0,316057000.0,664679000.0,,,664679000.0,4475470000.0,3139937000.0,8497000.0,15658000.0,15658000.0,414594000.0,155733000.0,258861000.0,2701188000.0,,2701188000.0,,,2701188000.0,,,,,1335533000.0,56590000.0,1172486000.0,102286000.0,14085000.0,88201000.0,,,4171000.0,4171000.0,2023-06-30
0.0,106569892.0,106569892.0,135517000.0,1647719000.0,1472750000.0,2082621000.0,161719000.0,1472750000.0,1450574000.0,1885476000.0,2080518000.0,1885476000.0,1885476000.0,2455000.0,2455000.0,1379320000.0,503594000.0,107000.0,107000.0,0.0,2752606000.0,1578223000.0,11038000.0,46917000.0,46917000.0,1520268000.0,1325226000.0,195042000.0,1174383000.0,13383000.0,13383000.0,127451000.0,125348000.0,2103000.0,2103000.0,,,1033549000.0,327224000.0,706325000.0,,,706325000.0,4638082000.0,3301980000.0,7717000.0,12446000.0,12446000.0,412726000.0,154786000.0,257940000.0,2869091000.0,,2869091000.0,,,2869091000.0,,,,,1336102000.0,55134000.0,1105450000.0,113890000.0,16157000.0,97733000.0,,,61628000.0,61628000.0,2023-09-30
0.0,106737532.0,106737532.0,162660000.0,1625224000.0,1519181000.0,2128032000.0,164627000.0,1519181000.0,1428182000.0,1930990000.0,2125929000.0,1930990000.0,1930990000.0,1422000.0,1422000.0,1416401000.0,513060000.0,107000.0,107000.0,0.0,2731560000.0,1579547000.0,15666000.0,67188000.0,67188000.0,1496693000.0,1301754000.0,194939000.0,1152013000.0,11277000.0,11277000.0,128531000.0,126428000.0,2103000.0,2103000.0,22417000.0,49056000.0,940732000.0,237403000.0,703329000.0,24064000.0,,679265000.0,4662550000.0,3345910000.0,7332000.0,14227000.0,14227000.0,411809000.0,153869000.0,257940000.0,2912542000.0,-622371000.0,3534913000.0,758462000.0,168198000.0,1282625000.0,660341000.0,567926000.0,97361000.0,0.0,1316640000.0,48725000.0,1106150000.0,127383000.0,27870000.0,99513000.0,-200000.0,99713000.0,34382000.0,34382000.0,2023-12-31
