tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,excise_taxes,operating_revenue,date
-5177.514793,0.005178,3064000000.0,-1000000.0,-1000000.0,2690000000.0,63000000.0,1573000000.0,3063000000.0,3000000000.0,-226000000.0,296000000.0,2690994822.485207,2690000000.0,2265000000.0,2818000000.0,,,,,2686000000.0,2686000000.0,4000000.0,2690000000.0,0.0,2690000000.0,2690000000.0,14000000.0,2704000000.0,112000000.0,47000000.0,0.0,66000000.0,-1000000.0,-226000000.0,296000000.0,2818000000.0,692000000.0,692000000.0,,,,,3510000000.0,1573000000.0,5083000000.0,1028000000.0,6128000000.0,2022-12-31
0.0,0.279,2760000000.0,,,1787000000.0,52000000.0,1434000000.0,2760000000.0,2708000000.0,-229000000.0,229000000.0,1787000000.0,1787000000.0,1975000000.0,2757000000.0,1786145660.0,1786145660.0,1.0,1.000478,1784000000.0,1784000000.0,3000000.0,1787000000.0,,1787000000.0,1787000000.0,692000000.0,2479000000.0,-80000000.0,31000000.0,,-80000000.0,,-229000000.0,229000000.0,2788000000.0,541000000.0,541000000.0,,541000000.0,572000000.0,-31000000.0,3329000000.0,1434000000.0,4763000000.0,956000000.0,5718000000.0,2023-03-31
0.0,0.246,3125000000.0,,,2117000000.0,62000000.0,1681000000.0,3125000000.0,3063000000.0,-257000000.0,257000000.0,2117000000.0,2117000000.0,2502000000.0,2905000000.0,1782000000.0,1782000000.0,1.19,1.19,2113000000.0,2113000000.0,4000000.0,2117000000.0,,2117000000.0,2117000000.0,689000000.0,2806000000.0,127000000.0,31000000.0,,127000000.0,,-257000000.0,257000000.0,2936000000.0,821000000.0,821000000.0,852000000.0,-31000000.0,,-31000000.0,3757000000.0,1681000000.0,5438000000.0,1070000000.0,6500000000.0,2023-06-30
0.0,0.255,3260000000.0,,,2166000000.0,80000000.0,1578000000.0,3260000000.0,3180000000.0,-272000000.0,272000000.0,2166000000.0,2166000000.0,2155000000.0,3089000000.0,1773000000.0,1769880820.0,1.22,1.223811,2161000000.0,2161000000.0,5000000.0,2166000000.0,,2166000000.0,2166000000.0,742000000.0,2908000000.0,58000000.0,,,58000000.0,,-272000000.0,272000000.0,3122000000.0,577000000.0,577000000.0,610000000.0,-33000000.0,,-33000000.0,3699000000.0,1578000000.0,5277000000.0,1004000000.0,6257000000.0,2023-09-30
0.0,0.246801,3204000000.0,,,2060000000.0,78000000.0,1525000000.0,3204000000.0,3126000000.0,-231000000.0,391000000.0,2060000000.0,2060000000.0,2323000000.0,2796000000.0,,,,,2055000000.0,2055000000.0,5000000.0,2060000000.0,,2060000000.0,2060000000.0,675000000.0,2735000000.0,265000000.0,,,138000000.0,,-231000000.0,391000000.0,2701000000.0,798000000.0,798000000.0,,,,,3499000000.0,1525000000.0,5024000000.0,951000000.0,6008000000.0,2023-12-31
0.0,0.223,3058000000.0,,,2129000000.0,65000000.0,1437000000.0,3058000000.0,2993000000.0,-254000000.0,254000000.0,2129000000.0,2129000000.0,2043000000.0,2674000000.0,1758000000.0,1758000000.0,1.21,1.21,2124000000.0,2124000000.0,5000000.0,2129000000.0,,2129000000.0,2129000000.0,610000000.0,2739000000.0,319000000.0,24000000.0,,295000000.0,,-254000000.0,254000000.0,2674000000.0,606000000.0,606000000.0,606000000.0,,,,3280000000.0,1437000000.0,4717000000.0,859000000.0,5557000000.0,2024-03-31
