tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,gain_on_sale_of_security,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,total_revenue,operating_revenue,date
0.0,0.09375,174000000.0,328000000.0,128000000.0,456000000.0,174000000.0,174000000.0,534000000.0,514000000.0,0.34,0.34,161000000.0,,174000000.0,174000000.0,174000000.0,174000000.0,18000000.0,192000000.0,1000000.0,22000000.0,13000000.0,9000000.0,9000000.0,214000000.0,214000000.0,2022-12-31
0.0,0.007143,278000000.0,343000000.0,127000000.0,470000000.0,278000000.0,278000000.0,555000000.0,534000000.0,0.51,0.52,282000000.0,4000000.0,278000000.0,278000000.0,278000000.0,278000000.0,2000000.0,280000000.0,-20000000.0,22000000.0,12000000.0,10000000.0,10000000.0,302000000.0,302000000.0,2023-03-31
0.0,0.017804,331000000.0,348000000.0,128000000.0,476000000.0,331000000.0,331000000.0,567000000.0,547000000.0,0.59,0.61,335000000.0,4000000.0,331000000.0,331000000.0,331000000.0,331000000.0,6000000.0,337000000.0,-68000000.0,24000000.0,13000000.0,11000000.0,11000000.0,361000000.0,361000000.0,2023-06-30
0.0,0.005964,500000000.0,363000000.0,132000000.0,495000000.0,500000000.0,500000000.0,582000000.0,562000000.0,0.87,0.89,504000000.0,4000000.0,500000000.0,500000000.0,500000000.0,500000000.0,3000000.0,503000000.0,-72000000.0,25000000.0,13000000.0,12000000.0,12000000.0,528000000.0,528000000.0,2023-09-30
0.0,0.021327,413000000.0,377000000.0,144000000.0,521000000.0,413000000.0,413000000.0,,,,,417000000.0,4000000.0,413000000.0,413000000.0,413000000.0,413000000.0,9000000.0,422000000.0,5000000.0,22000000.0,13000000.0,9000000.0,9000000.0,444000000.0,444000000.0,2023-12-31
