ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,payables,other_payable,accounts_payable,total_assets,investments_and_advances,investmentin_financial_assets,financial_assets_designatedas_fair_value_through_profitor_loss_total,net_ppe,receivables,cash_and_cash_equivalents,date,treasury_shares_number
519000000.0,519000000.0,11986000000.0,12320000000.0,9555000000.0,21844000000.0,9555000000.0,9555000000.0,21844000000.0,9555000000.0,9555000000.0,-2000000.0,9556000000.0,1000000.0,1000000.0,12843000000.0,12320000000.0,523000000.0,229000000.0,294000000.0,22398000000.0,21780000000.0,21780000000.0,21780000000.0,20000000.0,180000000.0,303000000.0,2022-12-31,
544581080.0,544581080.0,10885000000.0,11272000000.0,10049000000.0,21293000000.0,10049000000.0,10049000000.0,21293000000.0,10049000000.0,10049000000.0,15000000.0,10033000000.0,1000000.0,1000000.0,11763000000.0,11272000000.0,491000000.0,283000000.0,208000000.0,21812000000.0,21148000000.0,21148000000.0,21148000000.0,18000000.0,194000000.0,359000000.0,2023-03-31,
557378846.0,557378846.0,10995000000.0,11430000000.0,10354000000.0,21760000000.0,10354000000.0,10354000000.0,21760000000.0,10354000000.0,10354000000.0,80000000.0,10273000000.0,1000000.0,1000000.0,11877000000.0,11430000000.0,447000000.0,233000000.0,214000000.0,22231000000.0,21496000000.0,21496000000.0,21496000000.0,15000000.0,186000000.0,411000000.0,2023-06-30,
569436640.0,569436640.0,11024000000.0,11571000000.0,10815000000.0,22366000000.0,10815000000.0,10815000000.0,22366000000.0,10815000000.0,10815000000.0,309000000.0,10505000000.0,1000000.0,1000000.0,12105000000.0,11571000000.0,534000000.0,316000000.0,218000000.0,22920000000.0,21929000000.0,21929000000.0,21929000000.0,13000000.0,259000000.0,527000000.0,2023-09-30,
582311109.0,582311109.0,11383000000.0,11935000000.0,11201000000.0,23119000000.0,11201000000.0,11201000000.0,23119000000.0,11201000000.0,11201000000.0,462000000.0,10738000000.0,1000000.0,1000000.0,12599000000.0,11935000000.0,664000000.0,291000000.0,373000000.0,23800000000.0,22874000000.0,22874000000.0,22874000000.0,10000000.0,261000000.0,535000000.0,2023-12-31,0.0
