tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,earnings_from_equity_interest,gain_on_sale_of_security,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-22669583.94244,0.235847,1991333000.0,-96120000.0,-96120000.0,1322444000.0,29154000.0,8228235000.0,1895213000.0,1866059000.0,1395894416.05756,1322444000.0,8308308000.0,287362000.0,287362000.0,4.55,4.56,1307861000.0,-1038000.0,1308899000.0,13545000.0,1322444000.0,-21490000.0,1343934000.0,1343934000.0,414789000.0,1758723000.0,-107336000.0,-11214000.0,-20064000.0,20064000.0,-2000.0,-96120000.0,1866059000.0,80073000.0,80073000.0,80073000.0,80073000.0,1946132000.0,8228235000.0,10174367000.0,10174367000.0,2022-11-30
-5677098.0,0.237,874192000.0,-23954000.0,-23954000.0,596534000.0,20305000.0,5534390000.0,850238000.0,829933000.0,614810902.0,596534000.0,5660496000.0,286074000.0,286074000.0,2.06,2.06,588877000.0,-1038000.0,589915000.0,6619000.0,596534000.0,-2774000.0,599308000.0,599308000.0,185145000.0,784453000.0,-45480000.0,8403000.0,-13659000.0,13659000.0,-29929000.0,-23954000.0,829933000.0,126106000.0,126106000.0,126106000.0,126106000.0,956039000.0,5534390000.0,6490429000.0,6490429000.0,2023-02-28
6221268.0,0.244,1208150000.0,25497000.0,25497000.0,871694000.0,23734000.0,6710486000.0,1233647000.0,1209913000.0,852418268.0,871694000.0,6835238000.0,284910000.0,284910000.0,3.01,3.01,858187000.0,0.0,858187000.0,13507000.0,871694000.0,-6048000.0,877742000.0,877742000.0,280879000.0,1158621000.0,-51292000.0,-27034000.0,,,-49755000.0,25497000.0,1209913000.0,124752000.0,124752000.0,124752000.0,124752000.0,1334665000.0,6710486000.0,8045151000.0,8045151000.0,2023-05-31
-3833972.0,0.244,1542091000.0,-15713000.0,-15713000.0,1108996000.0,37107000.0,7126188000.0,1526378000.0,1489271000.0,1120875028.0,1108996000.0,7240332000.0,282854000.0,282854000.0,3.87,3.87,1095775000.0,0.0,1095775000.0,13221000.0,1108996000.0,-7956000.0,1116952000.0,1116952000.0,358209000.0,1475161000.0,-14110000.0,25592000.0,,,-23989000.0,-15713000.0,1489271000.0,114144000.0,114144000.0,114144000.0,114144000.0,1603415000.0,7126188000.0,8729603000.0,8729603000.0,2023-08-31
,,,,,,,,,,,,,279438000.0,279438000.0,4.82,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-30
-1166099.0,0.227,950170000.0,-5137000.0,-5137000.0,719334000.0,27139000.0,6237715000.0,945033000.0,917894000.0,723304901.0,719334000.0,6395036000.0,,,,,712434000.0,0.0,712434000.0,6900000.0,719334000.0,-587000.0,719921000.0,719921000.0,210865000.0,930786000.0,12892000.0,48574000.0,,,-30545000.0,-5137000.0,917894000.0,157321000.0,157321000.0,157321000.0,157321000.0,1075215000.0,6237715000.0,7312930000.0,7312930000.0,2024-02-29
