tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
43940.0,0.13,131826000.0,338000.0,338000.0,75035000.0,29382000.0,74434000.0,132164000.0,102782000.0,-16358000.0,16358000.0,74740940.0,75035000.0,361347000.0,104901000.0,118788000.0,117819000.0,0.63,0.64,75035000.0,75035000.0,75035000.0,75035000.0,75035000.0,11389000.0,86424000.0,-1781000.0,-2119000.0,338000.0,-338000.0,-338000.0,-16358000.0,16358000.0,104563000.0,265557000.0,8026000.0,8026000.0,8026000.0,8026000.0,88177000.0,169354000.0,118383000.0,50971000.0,50971000.0,370120000.0,95790000.0,465910000.0,465910000.0,2022-12-31
-220.0,0.22,158814000.0,-1000.0,-1000.0,63504000.0,36219000.0,87943000.0,158813000.0,122594000.0,-41525000.0,41525000.0,63504780.0,63504000.0,419641000.0,122539000.0,119041000.0,118260000.0,0.53,0.54,63504000.0,63504000.0,63504000.0,63504000.0,63504000.0,17565000.0,81069000.0,54000.0,55000.0,-1000.0,,1000.0,-41525000.0,41525000.0,122540000.0,306135000.0,10656000.0,10656000.0,10656000.0,10656000.0,100349000.0,195130000.0,129207000.0,65923000.0,65923000.0,428675000.0,113506000.0,542181000.0,542181000.0,2023-03-31
7800.0,0.2,148370000.0,39000.0,39000.0,61398000.0,36047000.0,90477000.0,148409000.0,112362000.0,-35836000.0,35836000.0,61366800.0,61398000.0,432481000.0,109900000.0,119392000.0,118483000.0,0.51,0.52,61398000.0,61398000.0,61398000.0,61398000.0,61398000.0,15128000.0,76526000.0,2501000.0,2462000.0,39000.0,,-39000.0,-35836000.0,35836000.0,109861000.0,316627000.0,10670000.0,10670000.0,10670000.0,10670000.0,103819000.0,202138000.0,145083000.0,57055000.0,57055000.0,426488000.0,115854000.0,542342000.0,542342000.0,2023-06-30
17640.0,0.21,159675000.0,84000.0,84000.0,45603000.0,35514000.0,91012000.0,159759000.0,124245000.0,-30298000.0,35698000.0,45536640.0,45603000.0,425570000.0,121134000.0,120112000.0,118803000.0,0.38,0.38,45603000.0,45603000.0,45603000.0,45603000.0,45603000.0,42944000.0,88547000.0,-2214000.0,-2298000.0,84000.0,,-84000.0,-30298000.0,35698000.0,121050000.0,309714000.0,10670000.0,10670000.0,10670000.0,10670000.0,102025000.0,197019000.0,137452000.0,59567000.0,59567000.0,430764000.0,115856000.0,546620000.0,546620000.0,2023-09-30
174900.0,0.22,155084000.0,795000.0,795000.0,66387000.0,34946000.0,85437000.0,155879000.0,120933000.0,-35334000.0,35334000.0,65766900.0,66387000.0,432296000.0,118713000.0,120250000.0,119124000.0,0.55,0.56,66387000.0,66387000.0,66387000.0,66387000.0,66387000.0,19212000.0,85599000.0,3015000.0,2220000.0,795000.0,,-795000.0,-35334000.0,35334000.0,117918000.0,322276000.0,10363000.0,10363000.0,10363000.0,10363000.0,105783000.0,206130000.0,136924000.0,69206000.0,69206000.0,440194000.0,110020000.0,550214000.0,550214000.0,2023-12-31
