tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.233,261000000.0,91000000.0,56000000.0,926000000.0,261000000.0,205000000.0,-86000000.0,86000000.0,91000000.0,91000000.0,1402000000.0,202000000.0,229000000.0,228000000.0,0.4,0.4,91000000.0,91000000.0,91000000.0,91000000.0,0.0,91000000.0,28000000.0,119000000.0,3000000.0,3000000.0,-86000000.0,86000000.0,202000000.0,476000000.0,476000000.0,476000000.0,476000000.0,476000000.0,678000000.0,926000000.0,1604000000.0,1604000000.0,2022-10-31
0.0,0.256944,721000000.0,428000000.0,59000000.0,1639000000.0,721000000.0,662000000.0,-86000000.0,86000000.0,428000000.0,434000000.0,2236000000.0,652000000.0,230000000.0,229000000.0,1.89,1.895197,434000000.0,434000000.0,434000000.0,434000000.0,6000000.0,428000000.0,148000000.0,576000000.0,10000000.0,10000000.0,-86000000.0,86000000.0,652000000.0,597000000.0,597000000.0,,597000000.0,597000000.0,1249000000.0,1639000000.0,2888000000.0,2888000000.0,2023-01-31
0.0,0.277,264000000.0,81000000.0,63000000.0,800000000.0,264000000.0,201000000.0,-89000000.0,89000000.0,81000000.0,81000000.0,1215000000.0,181000000.0,230000000.0,229000000.0,0.35,0.36,81000000.0,81000000.0,81000000.0,81000000.0,,81000000.0,31000000.0,112000000.0,20000000.0,20000000.0,-89000000.0,89000000.0,181000000.0,415000000.0,415000000.0,,415000000.0,415000000.0,596000000.0,800000000.0,1396000000.0,1396000000.0,2023-04-30
0.0,0.219,279000000.0,99000000.0,66000000.0,937000000.0,279000000.0,213000000.0,-86000000.0,86000000.0,99000000.0,99000000.0,1371000000.0,188000000.0,229000000.0,228000000.0,0.43,0.43,99000000.0,99000000.0,99000000.0,99000000.0,,99000000.0,28000000.0,127000000.0,25000000.0,25000000.0,-86000000.0,86000000.0,188000000.0,434000000.0,434000000.0,434000000.0,,,622000000.0,937000000.0,1559000000.0,1559000000.0,2023-07-31
0.0,0.253,313000000.0,119000000.0,70000000.0,880000000.0,313000000.0,243000000.0,-84000000.0,84000000.0,119000000.0,119000000.0,1341000000.0,221000000.0,228000000.0,227000000.0,0.52,0.52,119000000.0,119000000.0,119000000.0,119000000.0,,119000000.0,40000000.0,159000000.0,22000000.0,22000000.0,-84000000.0,84000000.0,221000000.0,461000000.0,461000000.0,461000000.0,,,682000000.0,880000000.0,1562000000.0,1562000000.0,2023-10-31
0.0,0.070626,779000000.0,579000000.0,70000000.0,1575000000.0,779000000.0,709000000.0,-86000000.0,86000000.0,579000000.0,579000000.0,2216000000.0,696000000.0,,,,,579000000.0,579000000.0,579000000.0,579000000.0,,579000000.0,44000000.0,623000000.0,13000000.0,13000000.0,-86000000.0,86000000.0,696000000.0,641000000.0,641000000.0,,,,1337000000.0,1575000000.0,2912000000.0,2912000000.0,2024-01-31
