treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,138864000.0,138864000.0,2903752000.0,3489418000.0,-45232000.0,7946763000.0,1654868000.0,-45232000.0,505221000.0,4962566000.0,7940408000.0,4962566000.0,4962566000.0,703510000.0,4257667000.0,1389000.0,1389000.0,0.0,5632594000.0,3789815000.0,137850000.0,269660000.0,269660000.0,3382305000.0,404463000.0,2977842000.0,1842779000.0,193178000.0,193178000.0,107113000.0,100758000.0,6355000.0,6355000.0,79252000.0,1463236000.0,582319000.0,34327000.0,880917000.0,77438000.0,,803479000.0,10595160000.0,7097513000.0,36380000.0,5007798000.0,1550944000.0,3456854000.0,2053335000.0,-837746000.0,2891081000.0,206129000.0,493672000.0,1243008000.0,605042000.0,343230000.0,0.0,3497647000.0,124201000.0,1426196000.0,1866805000.0,418666000.0,1448139000.0,-67980000.0,1516119000.0,80445000.0,80445000.0,2022-12-31
,131767000.0,131767000.0,3054451000.0,3703616000.0,-331172000.0,7856090000.0,1515358000.0,-331172000.0,504758000.0,4657232000.0,7851660000.0,4657232000.0,4657232000.0,409763000.0,4246151000.0,1318000.0,1318000.0,0.0,5819684000.0,3987753000.0,141322000.0,248191000.0,248191000.0,3598240000.0,403812000.0,3194428000.0,1831931000.0,194195000.0,194195000.0,105376000.0,100946000.0,4430000.0,4430000.0,88941000.0,1443419000.0,389758000.0,24848000.0,1053661000.0,114723000.0,49153000.0,938938000.0,10476916000.0,7129627000.0,50938000.0,4988404000.0,1493049000.0,3495355000.0,2090285000.0,,2090285000.0,,2090285000.0,,,,,3347289000.0,116059000.0,1336163000.0,1750660000.0,320721000.0,1429939000.0,-58993000.0,1488932000.0,144407000.0,144407000.0,2023-03-31
,125032000.0,125032000.0,3585398000.0,4183637000.0,-570136000.0,8016774000.0,1649361000.0,-570136000.0,508923000.0,4342060000.0,8012460000.0,4342060000.0,4342060000.0,91757000.0,4249053000.0,1250000.0,1250000.0,0.0,6391052000.0,4435196000.0,123807000.0,231758000.0,231758000.0,4079631000.0,409231000.0,3670400000.0,1955856000.0,190262000.0,190262000.0,104006000.0,99692000.0,4314000.0,4314000.0,83861000.0,1577727000.0,446563000.0,39101000.0,1131164000.0,69199000.0,,1061965000.0,10733112000.0,7127895000.0,55464000.0,4912196000.0,1412377000.0,3499819000.0,2160235000.0,,2160235000.0,,2160235000.0,,,,,3605217000.0,98578000.0,1362250000.0,2055073000.0,436407000.0,1618666000.0,-59762000.0,1678428000.0,89316000.0,89316000.0,2023-06-30
0.0,123400000.0,123400000.0,3311150000.0,3914321000.0,-289228000.0,7979931000.0,1547425000.0,-289228000.0,515075000.0,4580685000.0,7976034000.0,4580685000.0,4580685000.0,318344000.0,4261107000.0,1234000.0,1234000.0,0.0,6156072000.0,4129390000.0,120205000.0,196972000.0,196972000.0,3812213000.0,416864000.0,3395349000.0,2026682000.0,180576000.0,180576000.0,102108000.0,98211000.0,3897000.0,3897000.0,87699000.0,1656299000.0,537221000.0,24965000.0,1119078000.0,86985000.0,,1032093000.0,10736757000.0,7162650000.0,40122000.0,4869913000.0,1348779000.0,3521134000.0,2252615000.0,,2252615000.0,,2252615000.0,,,,,3574107000.0,100974000.0,1331512000.0,2053525000.0,435418000.0,1618107000.0,-47147000.0,1665254000.0,88096000.0,88096000.0,2023-09-30
0.0,121857000.0,121857000.0,3114904000.0,3713358000.0,-122378000.0,7913411000.0,1437291000.0,-122378000.0,532298000.0,4732351000.0,7909762000.0,4732351000.0,4732351000.0,460184000.0,4270948000.0,1219000.0,1219000.0,0.0,5767101000.0,3903664000.0,124973000.0,167199000.0,167199000.0,3611492000.0,434081000.0,3177411000.0,1863437000.0,162659000.0,162659000.0,101866000.0,98217000.0,3649000.0,3649000.0,89987000.0,1508925000.0,568431000.0,34537000.0,940494000.0,59110000.0,,881384000.0,10499452000.0,7198724000.0,37987000.0,4854729000.0,1298173000.0,3556556000.0,2306008000.0,-1011989000.0,3317997000.0,207826000.0,509452000.0,1516378000.0,714767000.0,369574000.0,0.0,3300728000.0,113403000.0,1228265000.0,1892904000.0,455987000.0,1436917000.0,-42488000.0,1479405000.0,66156000.0,66156000.0,2023-12-31
