tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-16821957.556818,0.159574,354410000.0,-105418000.0,-105418000.0,39832000.0,160424000.0,2968983000.0,248992000.0,88568000.0,14925000.0,18168000.0,28112000.0,128428042.443182,39832000.0,3404370000.0,43113000.0,196307678.0,196307678.0,0.203762,0.203762,39832000.0,39832000.0,39832000.0,-19334000.0,59166000.0,59166000.0,11234000.0,70400000.0,-86638000.0,,,18780000.0,-6418000.0,14925000.0,-4981000.0,18168000.0,28112000.0,142113000.0,285345000.0,10801000.0,41325000.0,-476000.0,10382000.0,10382000.0,6661000.0,6661000.0,3721000.0,221315000.0,118859000.0,102456000.0,33026000.0,69430000.0,427458000.0,3119025000.0,3546483000.0,3546483000.0,2022-12-31
-3406800.0,0.3,578241000.0,-11356000.0,-11356000.0,374374000.0,150593000.0,2841339000.0,566885000.0,416292000.0,19183000.0,16200000.0,41446000.0,382323200.0,374374000.0,3265981000.0,357390000.0,196307678.0,196307678.0,1.9,1.9,374374000.0,374374000.0,374374000.0,-105146000.0,479520000.0,479520000.0,-79428000.0,400092000.0,23519000.0,,,34875000.0,-11356000.0,19183000.0,6063000.0,16200000.0,41446000.0,357390000.0,285230000.0,-7694000.0,38390000.0,11014000.0,11181000.0,11181000.0,7432000.0,7432000.0,3749000.0,230519000.0,118114000.0,112405000.0,34558000.0,77847000.0,642620000.0,2980751000.0,3623371000.0,3623371000.0,2023-03-31
0.0,0.006975,909500000.0,,,626930000.0,150906000.0,2839419000.0,909500000.0,758594000.0,-17990000.0,17542000.0,42033000.0,626930000.0,626930000.0,3139531000.0,731741000.0,196307678.0,196307678.0,3.2,3.2,626930000.0,626930000.0,626930000.0,-108953000.0,735883000.0,735883000.0,5169000.0,741052000.0,27301000.0,,,27301000.0,,-17990000.0,42481000.0,17542000.0,42033000.0,731741000.0,300112000.0,-4159000.0,,,,,,,,304271000.0,,,,,1031853000.0,2839419000.0,3871272000.0,3871272000.0,2023-06-30
-331797300.0,0.3,788694000.0,-1105991000.0,-1105991000.0,-739134000.0,165194000.0,4192014000.0,-317297000.0,-482491000.0,30213000.0,47328000.0,77740000.0,35059700.0,-739134000.0,4657394000.0,527316000.0,196307678.0,196307678.0,-3.8,-3.8,-739134000.0,-739134000.0,-739134000.0,43705000.0,-782839000.0,-782839000.0,253020000.0,-529819000.0,-1087348000.0,-1105991000.0,1105991000.0,18643000.0,,30213000.0,199000.0,47328000.0,77740000.0,527316000.0,465380000.0,22431000.0,,,,,,,,442949000.0,,,,,992696000.0,4192014000.0,5184710000.0,5184710000.0,2023-09-30
22760941.549664,0.219389,841015000.0,103747000.0,103747000.0,413873000.0,190999000.0,3866434000.0,944762000.0,753763000.0,16990000.0,44306000.0,93790000.0,332886941.549664,413873000.0,4366506000.0,581567000.0,196307678.0,196307678.0,2.11,2.11,413873000.0,413873000.0,413873000.0,-139937000.0,553810000.0,553810000.0,155647000.0,709457000.0,128233000.0,17333000.0,0.0,24486000.0,86414000.0,16990000.0,32494000.0,44306000.0,93790000.0,564234000.0,327952000.0,5114000.0,30026000.0,75000.0,18879000.0,18879000.0,14033000.0,14033000.0,4846000.0,271024000.0,231559000.0,39465000.0,47784000.0,-8319000.0,892186000.0,4038554000.0,4930739000.0,4930739000.0,2023-12-31
0.0,0.08,748000000.0,,,361000000.0,171000000.0,3675000000.0,748000000.0,577000000.0,-162000000.0,45000000.0,83000000.0,361000000.0,361000000.0,4104000000.0,675000000.0,196307678.0,196307678.0,1.84,1.84,361000000.0,361000000.0,361000000.0,-130000000.0,491000000.0,492000000.0,40000000.0,532000000.0,20000000.0,,,20000000.0,,-162000000.0,200000000.0,45000000.0,83000000.0,675000000.0,429000000.0,-2000000.0,,,,,,,,431000000.0,,,,,1104000000.0,3675000000.0,4778000000.0,4778000000.0,2024-03-31
