tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-46153.846154,0.153846,266400000.0,-300000.0,-300000.0,165000000.0,73500000.0,119300000.0,266100000.0,192600000.0,6000000.0,-2400000.0,6700000.0,165253846.153846,165000000.0,131100000.0,188900000.0,,,,,165000000.0,165000000.0,165000000.0,165000000.0,165000000.0,30000000.0,195000000.0,-300000.0,-400000.0,-400000.0,100000.0,6000000.0,-2400000.0,6700000.0,189300000.0,11800000.0,11800000.0,11800000.0,6400000.0,5400000.0,201100000.0,119300000.0,320400000.0,277800000.0,2022-12-31
989462.248778,0.149919,239200000.0,6600000.0,6600000.0,156500000.0,61000000.0,99200000.0,245800000.0,184800000.0,9800000.0,700000.0,10500000.0,150889462.248778,156500000.0,108600000.0,172100000.0,192200000.0,191900000.0,0.81,0.82,156500000.0,156500000.0,156500000.0,156500000.0,156500000.0,27600000.0,184100000.0,6600000.0,4400000.0,4400000.0,2200000.0,9800000.0,700000.0,10500000.0,167700000.0,9400000.0,9400000.0,9400000.0,6200000.0,3200000.0,177100000.0,99200000.0,276300000.0,276300000.0,2023-03-31
395744.680851,0.12766,284200000.0,3100000.0,3100000.0,184500000.0,75100000.0,122200000.0,287300000.0,212200000.0,9300000.0,700000.0,10000000.0,181795744.680851,184500000.0,130800000.0,200500000.0,192200000.0,191900000.0,0.96,0.96,184500000.0,184500000.0,184500000.0,184500000.0,184500000.0,27000000.0,211500000.0,3100000.0,1400000.0,1400000.0,1700000.0,9300000.0,700000.0,10000000.0,199100000.0,8600000.0,8600000.0,8600000.0,6200000.0,2400000.0,207700000.0,122200000.0,329900000.0,329900000.0,2023-06-30
-199200.0,0.1245,270400000.0,-1600000.0,-1600000.0,175100000.0,68100000.0,117000000.0,268800000.0,200700000.0,14800000.0,700000.0,15500000.0,176500800.0,175100000.0,122700000.0,187000000.0,192400000.0,192100000.0,0.91,0.91,175100000.0,175100000.0,175100000.0,175100000.0,175100000.0,24900000.0,200000000.0,-1600000.0,200000.0,200000.0,-1800000.0,14800000.0,700000.0,15500000.0,186800000.0,5700000.0,5700000.0,5700000.0,5000000.0,700000.0,192500000.0,117000000.0,309500000.0,309500000.0,2023-09-30
-463760000.0,0.4,266500000.0,-1159400000.0,-1159400000.0,-982500000.0,68900000.0,114000000.0,-892900000.0,-961800000.0,15500000.0,-2000000.0,16300000.0,-286860000.0,-982500000.0,119200000.0,-987600000.0,,,,,-982500000.0,-982500000.0,-982500000.0,-982500000.0,-982500000.0,22700000.0,-959800000.0,-1159400000.0,-1171700000.0,1600000.0,12300000.0,15500000.0,-2000000.0,16300000.0,184100000.0,5200000.0,5200000.0,5200000.0,7100000.0,-1900000.0,189300000.0,114000000.0,303300000.0,255900000.0,2023-12-31
