treasury_shares_number,ordinary_shares_number,share_issued,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,current_liabilities,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,investments_and_advances,long_term_equity_investment,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,current_assets,other_current_assets,prepaid_assets,inventory,receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,non_current_note_receivables
,191892691.0,191892691.0,6417600000.0,6417600000.0,1332900000.0,6417600000.0,6417600000.0,6417600000.0,6417600000.0,6417600000.0,-233700000.0,-233700000.0,940400000.0,15600000.0,5695300000.0,5695300000.0,209200000.0,159000000.0,6000000.0,153000000.0,153000000.0,50200000.0,50200000.0,36100000.0,14100000.0,7100000.0,7100000.0,7000000.0,6626800000.0,5243700000.0,1500000.0,40900000.0,39900000.0,39900000.0,2600000.0,224600000.0,224600000.0,4934200000.0,-3603600000.0,8537800000.0,900000.0,200000.0,1383100000.0,28700000.0,22100000.0,100000.0,135700000.0,0.0,135700000.0,1196500000.0,1196500000.0,655100000.0,541400000.0,2022-12-31,
,191958597.0,191958597.0,6525600000.0,6525600000.0,1396100000.0,6525600000.0,6525600000.0,6525600000.0,6525600000.0,6525600000.0,-227300000.0,-227300000.0,1031500000.0,17000000.0,5704400000.0,5704400000.0,215300000.0,165000000.0,5800000.0,159200000.0,159200000.0,50300000.0,50300000.0,,50300000.0,3500000.0,3500000.0,46800000.0,6740900000.0,5294500000.0,49000000.0,,37000000.0,37000000.0,,235200000.0,,4973300000.0,,4973300000.0,,,1446400000.0,46200000.0,,,151800000.0,,151800000.0,1248400000.0,1248400000.0,,,2023-03-31,
,192055603.0,192055603.0,6679500000.0,6679500000.0,1447000000.0,6679500000.0,6679500000.0,6679500000.0,6679500000.0,6679500000.0,-203200000.0,-203200000.0,1150900000.0,18200000.0,5713600000.0,5713600000.0,227700000.0,171400000.0,6000000.0,165400000.0,165400000.0,56300000.0,56300000.0,,56300000.0,4100000.0,4100000.0,52200000.0,6907200000.0,5403900000.0,49800000.0,,35200000.0,35200000.0,,232300000.0,,5086600000.0,,5086600000.0,,,1503300000.0,63800000.0,,,144400000.0,,144400000.0,1295100000.0,1295100000.0,,,2023-06-30,
0.0,192119414.0,192119414.0,6771300000.0,6771300000.0,1476300000.0,6771300000.0,6771300000.0,6771300000.0,6771300000.0,6771300000.0,-231400000.0,-231400000.0,1260700000.0,19900000.0,5722100000.0,5722100000.0,214600000.0,174400000.0,5700000.0,168700000.0,168700000.0,40200000.0,40200000.0,,40200000.0,5200000.0,5200000.0,35000000.0,6985900000.0,5469400000.0,34900000.0,,37900000.0,37900000.0,,239700000.0,,5156900000.0,,5156900000.0,,,1516500000.0,84600000.0,,,134800000.0,,134800000.0,1297100000.0,1297100000.0,,,2023-09-30,
,192175042.0,192175042.0,5769100000.0,5769100000.0,1576100000.0,5769100000.0,5769100000.0,5769100000.0,5769100000.0,5769100000.0,-192000000.0,-192000000.0,212300000.0,20600000.0,5728200000.0,5728200000.0,225000000.0,185800000.0,5700000.0,180100000.0,180100000.0,39200000.0,39200000.0,25400000.0,13800000.0,8300000.0,8300000.0,5500000.0,5994100000.0,4378800000.0,1100000.0,27700000.0,37000000.0,37000000.0,8100000.0,246400000.0,246400000.0,4033700000.0,-3888100000.0,7921800000.0,600000.0,200000.0,1615300000.0,51900000.0,30000000.0,500000.0,111000000.0,,111000000.0,1421900000.0,1421900000.0,850500000.0,571400000.0,2023-12-31,24800000.0
