tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-80727272.727273,0.090909,368000000.0,-888000000.0,-888000000.0,-428000000.0,69000000.0,778000000.0,-520000000.0,-589000000.0,-753000000.0,753000000.0,379272727.272727,-428000000.0,1013000000.0,2000000.0,-428000000.0,-428000000.0,-428000000.0,792000000.0,-1220000000.0,-1220000000.0,-122000000.0,-1342000000.0,-1388000000.0,-2000000.0,2000000.0,-500000000.0,-886000000.0,-753000000.0,753000000.0,799000000.0,235000000.0,235000000.0,235000000.0,130000000.0,105000000.0,1034000000.0,778000000.0,1812000000.0,1383000000.0,2022-12-31
-8335540.838852,0.130243,889000000.0,-64000000.0,-64000000.0,-83000000.0,111000000.0,1165000000.0,825000000.0,714000000.0,-1167000000.0,1167000000.0,-27335540.838852,-83000000.0,1486000000.0,4000000.0,-83000000.0,-83000000.0,-83000000.0,311000000.0,-394000000.0,-394000000.0,-59000000.0,-453000000.0,-40000000.0,-11000000.0,11000000.0,24000000.0,-53000000.0,-1167000000.0,1167000000.0,754000000.0,321000000.0,321000000.0,321000000.0,175000000.0,146000000.0,1075000000.0,1165000000.0,2240000000.0,1727000000.0,2023-03-31
-11270871.985158,0.150278,815000000.0,-75000000.0,-75000000.0,-191000000.0,105000000.0,1084000000.0,740000000.0,635000000.0,-1174000000.0,1174000000.0,-127270871.985158,-191000000.0,1419000000.0,5000000.0,-191000000.0,-191000000.0,-191000000.0,267000000.0,-458000000.0,-458000000.0,-81000000.0,-539000000.0,-273000000.0,-17000000.0,17000000.0,-198000000.0,-58000000.0,-1174000000.0,1174000000.0,908000000.0,335000000.0,335000000.0,335000000.0,163000000.0,172000000.0,1243000000.0,1084000000.0,2327000000.0,1890000000.0,2023-06-30
-4410000.0,0.21,1118000000.0,-21000000.0,-21000000.0,-63000000.0,112000000.0,1265000000.0,1097000000.0,985000000.0,-1222000000.0,1222000000.0,-46410000.0,-63000000.0,1588000000.0,5000000.0,-63000000.0,-63000000.0,-63000000.0,304000000.0,-367000000.0,-367000000.0,130000000.0,-237000000.0,140000000.0,-16000000.0,16000000.0,161000000.0,-5000000.0,-1222000000.0,1222000000.0,845000000.0,323000000.0,323000000.0,323000000.0,160000000.0,163000000.0,1168000000.0,1265000000.0,2433000000.0,1964000000.0,2023-09-30
-233433108.758422,0.393648,926000000.0,-593000000.0,-593000000.0,-105000000.0,112000000.0,1216000000.0,333000000.0,221000000.0,-1260000000.0,1260000000.0,254566891.241578,-105000000.0,1561000000.0,4000000.0,-105000000.0,-105000000.0,-105000000.0,525000000.0,-630000000.0,-630000000.0,-409000000.0,-1039000000.0,-701000000.0,-36000000.0,36000000.0,-108000000.0,-557000000.0,-1260000000.0,1260000000.0,922000000.0,345000000.0,345000000.0,345000000.0,178000000.0,167000000.0,1267000000.0,1216000000.0,2483000000.0,1970000000.0,2023-12-31
