ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,construction_in_progress
421413565.0,421413565.0,12674543000.0,13621530000.0,-530068000.0,13690121000.0,-3181982000.0,-530068000.0,,68591000.0,12698993000.0,68591000.0,68591000.0,-477079000.0,-477079000.0,-7066315000.0,7611564000.0,421000.0,421000.0,18489103000.0,13434252000.0,803850000.0,12630402000.0,,12630402000.0,5054851000.0,2516521000.0,2516521000.0,991128000.0,,991128000.0,,1547202000.0,1318460000.0,228742000.0,228742000.0,18557694000.0,16684825000.0,1569800000.0,598659000.0,500525000.0,98134000.0,14516366000.0,-5764551000.0,20280917000.0,880056000.0,19342491000.0,58370000.0,0.0,1872869000.0,450893000.0,148717000.0,326272000.0,326272000.0,-14000000.0,340272000.0,946987000.0,0.0,946987000.0,2022-12-31,
424158982.0,424158982.0,12430152000.0,13130752000.0,-698207000.0,13031204000.0,-4054866000.0,-698207000.0,,-99548000.0,11820956000.0,-99548000.0,-99548000.0,-505364000.0,-505364000.0,-7225636000.0,7631028000.0,424000.0,424000.0,18450239000.0,12750703000.0,830199000.0,11920504000.0,,11920504000.0,5699536000.0,3177026000.0,3177026000.0,1210248000.0,,1210248000.0,,1312262000.0,1109029000.0,203233000.0,203233000.0,18350691000.0,16706021000.0,1598936000.0,598659000.0,500525000.0,98134000.0,14508426000.0,,,,,,,1644670000.0,538833000.0,145948000.0,259289000.0,259289000.0,,,700600000.0,,700600000.0,2023-03-31,
425155523.0,425155523.0,12221174000.0,13757514000.0,-583438000.0,13135530000.0,-3969656000.0,-583438000.0,637205000.0,15221000.0,12009776000.0,15221000.0,15221000.0,-507330000.0,-507330000.0,-7139520000.0,7661646000.0,425000.0,425000.0,18632991000.0,12814756000.0,223145000.0,12591611000.0,597056000.0,11994555000.0,5818235000.0,3345767000.0,3345767000.0,1165903000.0,40149000.0,1125754000.0,1125754000.0,1306565000.0,1158237000.0,148328000.0,148328000.0,18648212000.0,16799633000.0,430727000.0,598659000.0,500525000.0,98134000.0,15770247000.0,,15770247000.0,15770247000.0,,,,1848579000.0,576478000.0,153850000.0,219116000.0,219116000.0,,,899135000.0,,899135000.0,2023-06-30,
425424934.0,425424934.0,13193139000.0,13874697000.0,-159971000.0,14313385000.0,-3791064000.0,-159971000.0,,438688000.0,13073297000.0,438688000.0,438688000.0,-455945000.0,-455945000.0,-6793652000.0,7687860000.0,425000.0,425000.0,18813136000.0,13410776000.0,776167000.0,12634609000.0,,12634609000.0,5402360000.0,2965280000.0,2965280000.0,1240088000.0,,1240088000.0,,1196992000.0,1038578000.0,158414000.0,158414000.0,19251824000.0,17640528000.0,1067597000.0,598659000.0,500525000.0,98134000.0,15974272000.0,,,,,,,1611296000.0,524259000.0,166063000.0,239416000.0,239416000.0,,,681558000.0,,681558000.0,2023-09-30,
425546570.0,425546570.0,13656510000.0,14058925000.0,-297852000.0,14359732000.0,-4725553000.0,-297852000.0,,300807000.0,12614954000.0,300807000.0,300807000.0,-508438000.0,-508438000.0,-6900137000.0,7708957000.0,425000.0,425000.0,19192183000.0,13153482000.0,839335000.0,12314147000.0,,12314147000.0,6038701000.0,3060666000.0,3060666000.0,1744778000.0,,1744778000.0,,1233257000.0,1058919000.0,174338000.0,174338000.0,19492990000.0,18179842000.0,1147891000.0,598659000.0,500525000.0,98134000.0,16433292000.0,-6534095000.0,22967387000.0,999471000.0,21361364000.0,58370000.0,0.0,1313148000.0,472816000.0,157646000.0,280271000.0,280271000.0,-13200000.0,293471000.0,402415000.0,,402415000.0,2023-12-31,548182000.0
