tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-5838383.838384,0.224553,187500000.0,-26000000.0,-26000000.0,103000000.0,31100000.0,446600000.0,161500000.0,130400000.0,1200000.0,1700000.0,2900000.0,123161616.161616,103000000.0,548200000.0,129700000.0,75600000.0,74400000.0,1.36,1.38,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,3200000.0,28900000.0,128700000.0,-33000000.0,-7000000.0,-27000000.0,,1200000.0,25800000.0,1000000.0,1200000.0,1700000.0,2900000.0,160500000.0,101600000.0,15900000.0,85700000.0,262100000.0,446600000.0,708700000.0,708700000.0,2022-12-31
-1922100.0,0.149,204600000.0,-12900000.0,-12900000.0,140000000.0,31600000.0,445300000.0,191700000.0,160100000.0,2600000.0,2200000.0,4800000.0,150977900.0,140000000.0,548400000.0,155300000.0,75700000.0,74500000.0,1.85,1.88,140000000.0,140000000.0,140000000.0,140000000.0,140000000.0,5700000.0,23600000.0,157900000.0,-12900000.0,,-11400000.0,,11300000.0,100000.0,-1500000.0,2600000.0,2200000.0,4800000.0,168200000.0,103100000.0,17100000.0,86000000.0,271300000.0,445300000.0,716600000.0,716600000.0,2023-03-31
-770800.0,0.188,225800000.0,-4100000.0,-4100000.0,155100000.0,34100000.0,462400000.0,221700000.0,187600000.0,2300000.0,2700000.0,5000000.0,158429200.0,155100000.0,567300000.0,182500000.0,75400000.0,74300000.0,2.06,2.08,155100000.0,155100000.0,155100000.0,155100000.0,155100000.0,5000000.0,34800000.0,184900000.0,-3900000.0,200000.0,-3400000.0,-2200000.0,1500000.0,-300000.0,-700000.0,2300000.0,2700000.0,5000000.0,186500000.0,104900000.0,16500000.0,88400000.0,291400000.0,462400000.0,753800000.0,753800000.0,2023-06-30
-863500.0,0.157,231100000.0,-5500000.0,-5500000.0,161300000.0,35700000.0,459100000.0,225600000.0,189900000.0,5900000.0,2900000.0,8800000.0,165936500.0,161300000.0,564500000.0,177300000.0,75300000.0,74300000.0,2.14,2.17,161300000.0,161300000.0,161300000.0,161300000.0,161300000.0,3700000.0,29400000.0,187000000.0,-1800000.0,3700000.0,-4200000.0,0.0,3500000.0,700000.0,-1300000.0,5900000.0,2900000.0,8800000.0,182900000.0,105400000.0,16400000.0,89000000.0,288300000.0,459100000.0,747400000.0,747400000.0,2023-09-30
-1784482.758621,0.205113,214000000.0,-8700000.0,-8700000.0,137000000.0,35900000.0,453800000.0,205300000.0,169400000.0,8200000.0,1200000.0,9400000.0,143915517.241379,137000000.0,562200000.0,160900000.0,75000000.0,74100000.0,1.83,1.85,137000000.0,137000000.0,137000000.0,137000000.0,137000000.0,3300000.0,34500000.0,168200000.0,-9800000.0,-1100000.0,-1500000.0,0.0,2700000.0,-1200000.0,-7200000.0,8200000.0,1200000.0,9400000.0,169800000.0,108400000.0,18400000.0,90000000.0,278200000.0,453800000.0,732000000.0,732000000.0,2023-12-31
-361200.0,0.129,167400000.0,-2800000.0,-2800000.0,115300000.0,35600000.0,465200000.0,164600000.0,129000000.0,4600000.0,1600000.0,6200000.0,117738800.0,115300000.0,569500000.0,122800000.0,74300000.0,73500000.0,1.55,1.57,115300000.0,115300000.0,115300000.0,115300000.0,115300000.0,4300000.0,16400000.0,127400000.0,-3100000.0,-300000.0,-1600000.0,0.0,600000.0,1000000.0,-1200000.0,4600000.0,1600000.0,6200000.0,125900000.0,104300000.0,17600000.0,86700000.0,230200000.0,465200000.0,695400000.0,695400000.0,2024-03-31
