tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,total_other_finance_cost
50020.0,0.205,122181000.0,244000.0,244000.0,79375000.0,22362000.0,34450000.0,122425000.0,100063000.0,4797000.0,81000.0,4878000.0,79181020.0,79375000.0,241077000.0,94088000.0,97047000.0,95905000.0,0.82,0.83,79375000.0,79375000.0,79375000.0,-73000.0,79448000.0,79448000.0,20534000.0,99982000.0,1341000.0,1097000.0,244000.0,-244000.0,4797000.0,81000.0,4878000.0,93844000.0,206627000.0,64450000.0,142177000.0,82205000.0,59972000.0,59972000.0,300471000.0,34450000.0,334921000.0,334921000.0,2022-12-31,
-6006.0,0.182,133881000.0,-33000.0,-33000.0,95696000.0,24591000.0,41049000.0,133848000.0,109257000.0,6807000.0,,6807000.0,95722994.0,95696000.0,266634000.0,109224000.0,97298000.0,95820000.0,0.98,1.0,95696000.0,95696000.0,95696000.0,-187000.0,95883000.0,95883000.0,21398000.0,117281000.0,1217000.0,1250000.0,-33000.0,33000.0,6807000.0,,6807000.0,109257000.0,225585000.0,67951000.0,157634000.0,95695000.0,61939000.0,61939000.0,334842000.0,41049000.0,375891000.0,375891000.0,2023-03-31,
-5152884.0,0.309,64851000.0,-16676000.0,-16676000.0,16399000.0,24304000.0,41515000.0,48175000.0,23871000.0,7202000.0,114000.0,7316000.0,27922116.0,16399000.0,265759000.0,15935000.0,97459000.0,95658000.0,0.17,0.17,16399000.0,16399000.0,16399000.0,-6000.0,16405000.0,16405000.0,7352000.0,23757000.0,-16056000.0,620000.0,-16676000.0,16676000.0,7202000.0,114000.0,7316000.0,32611000.0,224244000.0,68696000.0,155548000.0,85594000.0,69954000.0,69954000.0,256855000.0,41515000.0,298370000.0,298370000.0,2023-06-30,
-6425160.0,0.21,76486000.0,-30596000.0,-30596000.0,9186000.0,24257000.0,35552000.0,45890000.0,21633000.0,9280000.0,,,33356840.0,9186000.0,263460000.0,-3494000.0,97678000.0,95701000.0,0.09,0.1,9186000.0,9186000.0,9186000.0,-722000.0,9908000.0,9908000.0,-875000.0,9033000.0,-27349000.0,3247000.0,-30596000.0,30596000.0,9280000.0,,,27102000.0,227908000.0,70426000.0,157482000.0,90870000.0,66612000.0,66612000.0,255010000.0,35552000.0,290562000.0,290562000.0,2023-09-30,
-998924.0,0.164,99363000.0,-6091000.0,-6091000.0,66981000.0,20960000.0,32060000.0,93272000.0,72312000.0,9187000.0,,,72073076.0,66981000.0,243262000.0,66221000.0,97439000.0,95376000.0,0.69,0.7,66981000.0,66981000.0,66981000.0,-600000.0,67581000.0,67581000.0,13252000.0,80833000.0,-666000.0,5425000.0,-6091000.0,6091000.0,9187000.0,,,72312000.0,211202000.0,67033000.0,144169000.0,79003000.0,65166000.0,65166000.0,283514000.0,32060000.0,315574000.0,315574000.0,2023-12-31,-9187000.0
