tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-14301000.0,0.21,156100000.0,-68100000.0,-68100000.0,1000000.0,36400000.0,348800000.0,88000000.0,51600000.0,-54700000.0,54700000.0,54799000.0,1000000.0,400300000.0,11700000.0,76200000.0,75200000.0,0.015,0.015,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,-4100000.0,-3100000.0,-28200000.0,2600000.0,-68100000.0,0.0,33400000.0,34700000.0,37300000.0,-54700000.0,54700000.0,79800000.0,51500000.0,51500000.0,131300000.0,348800000.0,480100000.0,479400000.0,2022-12-31
29083006.223073,0.254667,199500000.0,114200000.0,114200000.0,155700000.0,40100000.0,387500000.0,313700000.0,273600000.0,-64700000.0,64700000.0,70583006.223073,155700000.0,439800000.0,119900000.0,76200000.0,75200000.0,2.045,2.07,155700000.0,155700000.0,155700000.0,155700000.0,155700000.0,53200000.0,208900000.0,153900000.0,1400000.0,114200000.0,114000000.0,0.0,-200000.0,38300000.0,-64700000.0,64700000.0,119700000.0,52300000.0,52300000.0,172000000.0,387500000.0,559500000.0,559200000.0,2023-03-31
-7053212.851406,0.282129,332500000.0,-25000000.0,-25000000.0,143000000.0,43100000.0,469800000.0,307500000.0,264400000.0,-65200000.0,65200000.0,160946787.148594,143000000.0,517900000.0,225600000.0,76900000.0,75300000.0,1.86,1.9,143000000.0,143000000.0,143000000.0,143000000.0,143000000.0,56200000.0,199200000.0,13800000.0,,-25000000.0,0.0,24500000.0,500000.0,38800000.0,-65200000.0,65200000.0,250600000.0,48100000.0,48100000.0,298700000.0,469800000.0,768500000.0,768300000.0,2023-06-30
-381418.09291,0.254279,194600000.0,-1500000.0,-1500000.0,61000000.0,43400000.0,408500000.0,193100000.0,149700000.0,-67900000.0,67900000.0,62118581.90709,61000000.0,458700000.0,112300000.0,77100000.0,75200000.0,0.79,0.81,61000000.0,61000000.0,61000000.0,61000000.0,61000000.0,20800000.0,81800000.0,35900000.0,4100000.0,-1500000.0,0.0,0.0,1500000.0,33300000.0,-67900000.0,67900000.0,113800000.0,50200000.0,50200000.0,164000000.0,408500000.0,572500000.0,572300000.0,2023-09-30
-616550.764951,0.198887,194200000.0,-3100000.0,-3100000.0,57600000.0,48600000.0,400200000.0,191100000.0,142500000.0,-70600000.0,70600000.0,60083449.235049,57600000.0,451900000.0,106200000.0,75800000.0,75100000.0,0.76,0.77,57600000.0,57600000.0,57600000.0,57600000.0,57600000.0,14300000.0,71900000.0,33200000.0,400000.0,-3100000.0,0.0,100000.0,3000000.0,35900000.0,-70600000.0,70600000.0,109300000.0,51700000.0,51700000.0,161000000.0,400200000.0,561200000.0,561000000.0,2023-12-31
-861886.051081,0.210216,224600000.0,-4100000.0,-4100000.0,80400000.0,48300000.0,405700000.0,220500000.0,172200000.0,-70400000.0,70400000.0,83638113.948919,80400000.0,460500000.0,126300000.0,74700000.0,74100000.0,1.08,1.09,80400000.0,80400000.0,80400000.0,80400000.0,80400000.0,21400000.0,101800000.0,41800000.0,8100000.0,-4100000.0,0.0,,4100000.0,37800000.0,-70400000.0,70400000.0,130400000.0,54800000.0,54800000.0,185200000.0,405700000.0,590900000.0,590900000.0,2024-03-31
