treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
1032000.0,46925000.0,47957000.0,1419489000.0,1831960000.0,-820927000.0,5733491000.0,829491000.0,-820927000.0,120437000.0,4021968000.0,5645991000.0,4021968000.0,4021968000.0,-403522000.0,-403522000.0,154889000.0,3817304000.0,715118000.0,47957000.0,47957000.0,2906095000.0,2324603000.0,159863000.0,31394000.0,31394000.0,,388886000.0,388886000.0,1744460000.0,120437000.0,1624023000.0,581492000.0,63381000.0,87500000.0,87500000.0,430611000.0,279068000.0,5332000.0,151543000.0,24736000.0,24736000.0,126807000.0,6928063000.0,5517080000.0,89367000.0,6402000.0,6402000.0,4842895000.0,2306165000.0,2536730000.0,578416000.0,-556682000.0,1135098000.0,76077000.0,131211000.0,655232000.0,272578000.0,1410983000.0,125084000.0,6524000.0,578507000.0,292873000.0,98993000.0,186641000.0,408834000.0,408834000.0,-8600000.0,417434000.0,292034000.0,292034000.0,2022-12-31
,46965758.0,46965758.0,1372836000.0,1752812000.0,-707122000.0,5747227000.0,852342000.0,-707122000.0,115838000.0,4110253000.0,5659727000.0,4110253000.0,4110253000.0,-381331000.0,-381331000.0,152249000.0,3878083000.0,717775000.0,47975000.0,47975000.0,2807669000.0,2231957000.0,147536000.0,30924000.0,30924000.0,,388185000.0,388185000.0,1665312000.0,115838000.0,1549474000.0,575712000.0,79403000.0,87500000.0,87500000.0,408809000.0,242394000.0,16862000.0,166415000.0,30176000.0,30176000.0,136239000.0,6917922000.0,5489868000.0,80380000.0,6479000.0,6479000.0,4817375000.0,2269535000.0,2547840000.0,585634000.0,,585634000.0,,585634000.0,,,1428054000.0,134948000.0,4842000.0,614106000.0,311027000.0,107117000.0,195962000.0,410020000.0,410020000.0,-5300000.0,415320000.0,264138000.0,264138000.0,2023-03-31
1007000.0,46991000.0,47998000.0,1307358000.0,1670403000.0,-558985000.0,5773266000.0,890350000.0,-558985000.0,112229000.0,4215092000.0,5685766000.0,4215092000.0,4215092000.0,-381864000.0,-381864000.0,152183000.0,3973446000.0,727695000.0,47998000.0,47998000.0,2680633000.0,2125184000.0,119948000.0,30686000.0,30686000.0,6534000.0,385113000.0,385113000.0,1582903000.0,112229000.0,1470674000.0,555449000.0,65853000.0,87500000.0,87500000.0,402096000.0,239831000.0,5793000.0,162265000.0,20184000.0,20184000.0,142081000.0,6895725000.0,5449926000.0,81747000.0,6278000.0,6278000.0,4774077000.0,2227947000.0,2546130000.0,587824000.0,,587824000.0,,587824000.0,,,1445799000.0,120190000.0,13929000.0,631555000.0,322046000.0,107258000.0,202251000.0,429309000.0,429309000.0,-5500000.0,434809000.0,250816000.0,250816000.0,2023-06-30
1006000.0,46993000.0,47999000.0,1156124000.0,2149433000.0,-394796000.0,6351671000.0,1511849000.0,-394796000.0,111810000.0,4314048000.0,6264171000.0,4314048000.0,4314048000.0,-412150000.0,-412150000.0,152161000.0,4094608000.0,735752000.0,47999000.0,47999000.0,3179586000.0,2594164000.0,106555000.0,30051000.0,30051000.0,6545000.0,389080000.0,389080000.0,2061933000.0,111810000.0,1950123000.0,585422000.0,65265000.0,87500000.0,87500000.0,432657000.0,277596000.0,17428000.0,155061000.0,24375000.0,24375000.0,130686000.0,7493634000.0,5396363000.0,93281000.0,6167000.0,6167000.0,4708844000.0,2180539000.0,2528305000.0,588071000.0,,588071000.0,,588071000.0,,,2097271000.0,138657000.0,26846000.0,625075000.0,327488000.0,111371000.0,186216000.0,425194000.0,425194000.0,-5200000.0,430394000.0,881499000.0,881499000.0,2023-09-30
1006000.0,47040000.0,48046000.0,1592224000.0,1926372000.0,-975027000.0,6256060000.0,800661000.0,-975027000.0,111300000.0,4440988000.0,6168560000.0,4440988000.0,4440988000.0,-314405000.0,-314405000.0,152101000.0,4109736000.0,749712000.0,48046000.0,48046000.0,3091558000.0,2484813000.0,165872000.0,23989000.0,23989000.0,,456080000.0,456080000.0,1838872000.0,111300000.0,1727572000.0,606745000.0,46547000.0,87500000.0,87500000.0,472698000.0,298998000.0,5583000.0,173700000.0,41453000.0,41453000.0,132247000.0,7532546000.0,6125140000.0,98943000.0,6748000.0,6748000.0,5416015000.0,2501960000.0,2914055000.0,603434000.0,-573165000.0,1176599000.0,94633000.0,123521000.0,673841000.0,284604000.0,1407406000.0,107471000.0,7404000.0,626216000.0,335567000.0,111132000.0,179517000.0,443467000.0,443467000.0,-9500000.0,452967000.0,222848000.0,222848000.0,2023-12-31
