tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-348318.042813,0.204893,210800000.0,-1700000.0,-1700000.0,130000000.0,33500000.0,465000000.0,209100000.0,175600000.0,-12100000.0,12100000.0,131351681.957187,130000000.0,634000000.0,175000000.0,75900000.0,75500000.0,1.71,1.72,130000000.0,130000000.0,130000000.0,0.0,130000000.0,130000000.0,33500000.0,163500000.0,-1100000.0,600000.0,-1700000.0,0.0,,-15700000.0,-12100000.0,12100000.0,176700000.0,169000000.0,169000000.0,345700000.0,465000000.0,810700000.0,810700000.0,2022-12-31
-111000.0,0.222,229800000.0,-500000.0,-500000.0,139800000.0,36400000.0,462900000.0,229300000.0,192900000.0,-13100000.0,13100000.0,140189000.0,139800000.0,652600000.0,192300000.0,75900000.0,75600000.0,1.84,1.85,139800000.0,139800000.0,139800000.0,0.0,139800000.0,139800000.0,40000000.0,179800000.0,100000.0,600000.0,-500000.0,,0.0,500000.0,-13100000.0,13100000.0,192800000.0,189700000.0,189700000.0,382500000.0,462900000.0,845400000.0,845400000.0,2023-03-31
-806400.0,0.224,233000000.0,-3600000.0,-3600000.0,138600000.0,37600000.0,468200000.0,229400000.0,191800000.0,-13300000.0,13300000.0,141393600.0,138600000.0,642500000.0,200100000.0,75900000.0,75600000.0,1.82,1.83,138600000.0,138600000.0,138600000.0,100000.0,138500000.0,138500000.0,40000000.0,178500000.0,-11900000.0,-8300000.0,-3600000.0,,,3600000.0,-13300000.0,13300000.0,203700000.0,174300000.0,174300000.0,378000000.0,468200000.0,846200000.0,846200000.0,2023-06-30
18119400.0,0.202,224300000.0,89700000.0,89700000.0,209100000.0,38500000.0,443800000.0,314000000.0,275500000.0,-13700000.0,13700000.0,137519400.0,209100000.0,609700000.0,179600000.0,75900000.0,75600000.0,2.75,2.76,209100000.0,209100000.0,209100000.0,100000.0,209000000.0,209000000.0,52800000.0,261800000.0,91800000.0,2100000.0,89700000.0,93800000.0,300000.0,3800000.0,-13700000.0,13700000.0,183700000.0,165900000.0,165900000.0,349600000.0,443800000.0,793400000.0,793400000.0,2023-09-30
-2684878.74465,0.227532,203200000.0,-11800000.0,-11800000.0,108600000.0,39600000.0,452100000.0,191400000.0,151800000.0,-11600000.0,11600000.0,117715121.25535,108600000.0,625700000.0,160500000.0,75800000.0,75600000.0,1.43,1.43,108600000.0,108600000.0,108600000.0,300000.0,108300000.0,108300000.0,31900000.0,140200000.0,-11400000.0,400000.0,-11800000.0,-9100000.0,0.0,2700000.0,-11600000.0,11600000.0,163200000.0,173600000.0,173600000.0,336800000.0,452100000.0,788900000.0,788900000.0,2023-12-31
-236500.0,0.215,205800000.0,-1100000.0,-1100000.0,121400000.0,40800000.0,443100000.0,204700000.0,163900000.0,-9400000.0,9400000.0,122263500.0,121400000.0,638200000.0,161200000.0,75900000.0,75700000.0,1.6,1.6,121400000.0,121400000.0,121400000.0,100000.0,121300000.0,121300000.0,33200000.0,154500000.0,1600000.0,2700000.0,-1100000.0,,,1100000.0,-9400000.0,9400000.0,162300000.0,195100000.0,195100000.0,357400000.0,443100000.0,800500000.0,800500000.0,2024-03-31
