tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_extraordinary,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-21.992292,0.001047,450258000.0,-21000.0,-21000.0,159020000.0,217306000.0,228336000.0,450237000.0,232931000.0,-70786000.0,65827000.0,-2651000.0,159040978.007708,159020000.0,457319000.0,242363000.0,390245000.0,377689000.0,0.42,0.42,137224000.0,,158248000.0,772000.0,159020000.0,-6334000.0,165354000.0,0.0,165354000.0,-1575000.0,175000.0,167104000.0,-4494000.0,-4473000.0,-21000.0,-70786000.0,2308000.0,65827000.0,-2651000.0,242384000.0,225949000.0,214272000.0,214272000.0,214272000.0,11677000.0,11677000.0,11677000.0,468333000.0,231370000.0,699703000.0,699703000.0,2022-12-31
134665.827888,0.001344,406923000.0,100209000.0,100209000.0,212035000.0,218980000.0,272564000.0,507132000.0,288152000.0,-66842000.0,66401000.0,1538000.0,111960665.827888,212035000.0,507709000.0,297588000.0,390664000.0,378341000.0,0.56,0.56,218322000.0,7059000.0,211263000.0,772000.0,212035000.0,-8036000.0,220071000.0,,220071000.0,-1382000.0,298000.0,221751000.0,91214000.0,-8995000.0,100209000.0,-66842000.0,1979000.0,66401000.0,1538000.0,197379000.0,231995000.0,215830000.0,215830000.0,215830000.0,16165000.0,16165000.0,16165000.0,429374000.0,275714000.0,705088000.0,705088000.0,2023-03-31
-199.643494,0.002295,436660000.0,-87000.0,-87000.0,139203000.0,224562000.0,255323000.0,436573000.0,212011000.0,-65476000.0,65590000.0,2131000.0,139289800.356506,139203000.0,498761000.0,218461000.0,391187000.0,378642000.0,0.37,0.37,142984000.0,4554000.0,138430000.0,773000.0,139203000.0,-5659000.0,144862000.0,,144862000.0,-1223000.0,336000.0,146421000.0,-6651000.0,-6564000.0,-87000.0,-65476000.0,2017000.0,65590000.0,2131000.0,218548000.0,240231000.0,221355000.0,221355000.0,221355000.0,18876000.0,18876000.0,18876000.0,458779000.0,258530000.0,717309000.0,717309000.0,2023-06-30
-53839.859804,0.002001,452716000.0,-26912000.0,-26912000.0,172508000.0,227951000.0,256899000.0,425804000.0,197853000.0,-64291000.0,68891000.0,7627000.0,199366160.140196,172508000.0,498944000.0,252035000.0,391351000.0,378853000.0,0.45,0.45,177296000.0,5561000.0,171735000.0,773000.0,172508000.0,-8778000.0,181286000.0,,127462000.0,-1242000.0,258000.0,128962000.0,-31870000.0,-4958000.0,-26912000.0,-64291000.0,3027000.0,68891000.0,7627000.0,225123000.0,238830000.0,224736000.0,224736000.0,224736000.0,14094000.0,14094000.0,14094000.0,463953000.0,260114000.0,724067000.0,724067000.0,2023-09-30
181363.665926,0.000443,467236000.0,409573000.0,409573000.0,311692000.0,230011000.0,248912000.0,876809000.0,646798000.0,-59543000.0,68674000.0,11049000.0,-97699636.334074,311692000.0,490504000.0,392501000.0,,,,,293746000.0,,310920000.0,772000.0,311692000.0,-10577000.0,322269000.0,,576337000.0,-1531000.0,256000.0,578124000.0,400671000.0,-8902000.0,409573000.0,-59543000.0,1918000.0,68674000.0,11049000.0,236996000.0,238369000.0,226788000.0,226788000.0,226788000.0,11581000.0,11581000.0,11581000.0,475365000.0,252135000.0,727500000.0,727500000.0,2023-12-31
