tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
6946564.885496,0.198473,1209000000.0,35000000.0,35000000.0,386000000.0,422000000.0,1268000000.0,1244000000.0,822000000.0,-287000000.0,298000000.0,,357946564.885496,386000000.0,2415000000.0,753000000.0,,,,,370000000.0,0.0,370000000.0,16000000.0,386000000.0,-34000000.0,420000000.0,420000000.0,104000000.0,524000000.0,58000000.0,23000000.0,24000000.0,-24000000.0,11000000.0,-287000000.0,298000000.0,,753000000.0,1147000000.0,725000000.0,422000000.0,422000000.0,1900000000.0,1268000000.0,3168000000.0,3037000000.0,2022-12-31
6164383.561644,0.171233,1299000000.0,36000000.0,36000000.0,453000000.0,436000000.0,1312000000.0,1335000000.0,899000000.0,-299000000.0,315000000.0,16000000.0,423164383.561644,453000000.0,2489000000.0,830000000.0,483400000.0,483100000.0,0.9,0.9,437000000.0,0.0,437000000.0,16000000.0,453000000.0,-31000000.0,484000000.0,484000000.0,100000000.0,584000000.0,53000000.0,17000000.0,23000000.0,-23000000.0,13000000.0,-299000000.0,315000000.0,16000000.0,830000000.0,1177000000.0,741000000.0,436000000.0,436000000.0,2007000000.0,1312000000.0,3319000000.0,3319000000.0,2023-03-31
3225316.455696,0.124051,1132000000.0,26000000.0,26000000.0,311000000.0,440000000.0,787000000.0,1158000000.0,718000000.0,-305000000.0,323000000.0,18000000.0,288225316.455696,311000000.0,1940000000.0,654000000.0,485700000.0,485400000.0,0.61,0.61,294000000.0,0.0,294000000.0,17000000.0,311000000.0,-35000000.0,346000000.0,346000000.0,49000000.0,395000000.0,46000000.0,20000000.0,23000000.0,-23000000.0,3000000.0,-305000000.0,323000000.0,18000000.0,654000000.0,1153000000.0,713000000.0,440000000.0,440000000.0,1807000000.0,787000000.0,2594000000.0,2594000000.0,2023-06-30
1199255.121043,0.171322,1304000000.0,7000000.0,7000000.0,411000000.0,443000000.0,773000000.0,1311000000.0,868000000.0,-311000000.0,331000000.0,20000000.0,405199255.121043,411000000.0,1898000000.0,821000000.0,487700000.0,487400000.0,0.81,0.81,394000000.0,0.0,394000000.0,17000000.0,411000000.0,-34000000.0,445000000.0,445000000.0,92000000.0,537000000.0,27000000.0,20000000.0,25000000.0,-25000000.0,-18000000.0,-311000000.0,331000000.0,20000000.0,821000000.0,1125000000.0,682000000.0,443000000.0,443000000.0,1946000000.0,773000000.0,2719000000.0,2719000000.0,2023-09-30
15250902.527076,0.214801,1273000000.0,71000000.0,71000000.0,398000000.0,454000000.0,899000000.0,1344000000.0,890000000.0,-314000000.0,336000000.0,22000000.0,342250902.527076,398000000.0,2106000000.0,779000000.0,,,,,381000000.0,0.0,381000000.0,17000000.0,398000000.0,-37000000.0,435000000.0,435000000.0,119000000.0,554000000.0,89000000.0,18000000.0,53000000.0,-30000000.0,18000000.0,-314000000.0,336000000.0,22000000.0,779000000.0,1207000000.0,753000000.0,454000000.0,454000000.0,1986000000.0,899000000.0,2885000000.0,2531000000.0,2023-12-31
