tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2869208.0,0.268,254840000.0,-10706000.0,-10706000.0,131394000.0,52166000.0,3908219000.0,244134000.0,191968000.0,-12450000.0,12450000.0,139230792.0,129942000.0,4582645000.0,191968000.0,136621000.0,134091000.0,0.95,0.97,129942000.0,129942000.0,129942000.0,129942000.0,-1452000.0,131394000.0,48124000.0,179518000.0,-10706000.0,-10706000.0,10706000.0,-12450000.0,12450000.0,202674000.0,674426000.0,10706000.0,674426000.0,877100000.0,3908219000.0,4785319000.0,4785319000.0,2022-10-31
-1738749.395174,0.266843,246174000.0,-6516000.0,-6516000.0,129400000.0,51675000.0,4026414000.0,239658000.0,187983000.0,-13205000.0,11486000.0,134177250.604826,129781000.0,4733377000.0,192793000.0,136000000.0,133393000.0,0.95,0.97,129781000.0,129781000.0,129781000.0,129781000.0,381000.0,129400000.0,47097000.0,176497000.0,-6516000.0,-6681000.0,6681000.0,-13205000.0,11486000.0,196218000.0,706963000.0,3425000.0,706963000.0,903181000.0,4026414000.0,4929595000.0,4929595000.0,2023-01-31
-1269444.0,0.326,244854000.0,-3894000.0,-3894000.0,115988000.0,54190000.0,3843150000.0,240960000.0,186770000.0,-14690000.0,14690000.0,118612556.0,116077000.0,4532478000.0,186770000.0,135902000.0,133312000.0,0.85,0.87,116077000.0,116077000.0,116077000.0,116077000.0,89000.0,115988000.0,56092000.0,172080000.0,-3894000.0,-3894000.0,3894000.0,-14690000.0,14690000.0,190664000.0,689328000.0,3894000.0,689328000.0,879992000.0,3843150000.0,4723142000.0,4723142000.0,2023-04-30
-453024.0,0.286,256678000.0,-1584000.0,-1584000.0,131325000.0,54825000.0,4066727000.0,255094000.0,200269000.0,-16274000.0,16274000.0,132455976.0,131325000.0,4761687000.0,200269000.0,135129000.0,133317000.0,0.97,0.99,131325000.0,131325000.0,131325000.0,131325000.0,0.0,131325000.0,52670000.0,183995000.0,-1584000.0,-1584000.0,1584000.0,-16274000.0,16274000.0,201853000.0,694960000.0,1584000.0,694960000.0,896813000.0,4066727000.0,4963540000.0,4963540000.0,2023-07-31
-1686281.0,0.281,262782000.0,-6001000.0,-6001000.0,130467000.0,57406000.0,4022243000.0,256781000.0,199375000.0,-18004000.0,18004000.0,134781719.0,130467000.0,4719347000.0,199375000.0,134984000.0,133069000.0,0.97,0.98,130467000.0,130467000.0,130467000.0,130467000.0,0.0,130467000.0,50904000.0,181371000.0,-6001000.0,-6001000.0,6001000.0,-18004000.0,18004000.0,205376000.0,697104000.0,,697104000.0,902480000.0,4022243000.0,4924723000.0,4924723000.0,2023-10-31
-2466484.282878,0.264928,282515000.0,-9310000.0,-9310000.0,145872000.0,61275000.0,4394009000.0,273205000.0,211930000.0,-14398000.0,13484000.0,152715515.717122,145872000.0,5135130000.0,214005000.0,,,,,145872000.0,145872000.0,145872000.0,145872000.0,0.0,145872000.0,52574000.0,198446000.0,-9310000.0,-9979000.0,9979000.0,-14398000.0,13484000.0,222154000.0,741121000.0,,741121000.0,963275000.0,4394009000.0,5357284000.0,5357284000.0,2024-01-31
