tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,provision_for_doubtful_accounts,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-23085821.006309,0.199072,20893140000.0,-115967000.0,-115967000.0,8282330000.0,9883969000.0,39505443000.0,20777173000.0,10893204000.0,29970000.0,72750000.0,102706000.0,8375211178.993691,8282330000.0,48354165000.0,10957270000.0,775229358.0,775229358.0,10.9,10.9,8279188000.0,-3142000.0,8282330000.0,8282330000.0,-384071000.0,8666401000.0,8666401000.0,2154053000.0,10820454000.0,-67773000.0,7104000.0,85013000.0,1013000.0,-14000000.0,41090000.0,-200980000.0,29970000.0,,72750000.0,102706000.0,11888257000.0,8848722000.0,-288318000.0,21898000.0,988685000.0,8126457000.0,6177029000.0,1949428000.0,1949428000.0,20736979000.0,39505443000.0,59212422000.0,58903533000.0,2022-12-31
-19687651.337729,0.194694,22317970000.0,-101121000.0,-101121000.0,9643255000.0,9881448000.0,33629816000.0,22216849000.0,12335401000.0,42299000.0,75408000.0,117711000.0,9724688348.662271,9643255000.0,41273870000.0,12173764000.0,776695800.0,775744700.0,12.4,12.4,9642667000.0,-588000.0,9643255000.0,9643255000.0,-229791000.0,9873046000.0,9873046000.0,2386947000.0,12259993000.0,43886000.0,41899000.0,-44000.0,-44000.0,,103108000.0,-101077000.0,42299000.0,4000.0,75408000.0,117711000.0,12173808000.0,7644054000.0,-763227000.0,100368000.0,978038000.0,7328875000.0,5671750000.0,1657125000.0,1657125000.0,19817862000.0,33629816000.0,53447678000.0,53125275000.0,2023-03-31
22657070.171869,0.193763,22549608000.0,116932000.0,116932000.0,9921274000.0,9929223000.0,33076273000.0,22666540000.0,12737317000.0,123171000.0,77657000.0,200832000.0,9826999070.17187,9921274000.0,40963428000.0,12260638000.0,775913900.0,775744700.0,12.8,12.8,9920625000.0,-649000.0,9921274000.0,9921274000.0,-285415000.0,10206689000.0,10206689000.0,2452971000.0,12659660000.0,277522000.0,40085000.0,1671000.0,1671000.0,,120505000.0,115261000.0,123171000.0,4000.0,77657000.0,200832000.0,12258967000.0,7887155000.0,-241256000.0,-29559000.0,923220000.0,7234750000.0,5603963000.0,1630787000.0,1630787000.0,20146122000.0,33076273000.0,53222395000.0,52897772000.0,2023-06-30
-10885600.304825,0.194029,21687126000.0,-56103000.0,-56103000.0,9094604000.0,9913310000.0,33842100000.0,21631023000.0,11717713000.0,56289000.0,80232000.0,136526000.0,9139821399.695175,9094604000.0,41980884000.0,11464449000.0,775904300.0,775744700.0,11.7,11.7,9094148000.0,-456000.0,9094604000.0,9094604000.0,-284870000.0,9379474000.0,9379474000.0,2258007000.0,11637481000.0,116578000.0,56821000.0,-165000.0,-165000.0,,115860000.0,-55938000.0,56289000.0,5000.0,80232000.0,136526000.0,11464614000.0,8138784000.0,-212448000.0,14338000.0,953000000.0,7383894000.0,5874113000.0,1509781000.0,1509781000.0,19603398000.0,33842100000.0,53445498000.0,53117356000.0,2023-09-30
-112476015.872752,0.17693,21103296000.0,-635708000.0,-635708000.0,8298867000.0,9931019000.0,41218811000.0,20467588000.0,10536569000.0,77241000.0,85703000.0,162931000.0,8822098984.127249,8298867000.0,50288818000.0,10454149000.0,779245283.0,779245283.0,10.6,10.6,8296409000.0,-2458000.0,8298867000.0,8298867000.0,-302924000.0,8601791000.0,8601791000.0,1849075000.0,10450866000.0,-716986000.0,5195000.0,-630462000.0,-1462000.0,,-86473000.0,-5246000.0,77241000.0,,85703000.0,162931000.0,12794611000.0,9070007000.0,-487069000.0,66853000.0,1037742000.0,8452481000.0,6449174000.0,2003307000.0,2003307000.0,21864618000.0,41218811000.0,61379429000.0,61049597000.0,2023-12-31
